stage,method,formal_seed,epsilon,hit,hit_iteration,hit_depth,hit_work,hit_epsilon,max_depth,max_work
formal,NOG-FO,627,0.03,True,408.0,410.0,3280.0,0.02452949248254299,962.0,7696.0
formal,NOG-FO,627,0.02,True,432.0,434.0,3472.0,0.01937463879585266,962.0,7696.0
formal,NOG-FO,627,0.015,True,480.0,482.0,3856.0,0.014073314145207405,962.0,7696.0
formal,NOG-FO,627,0.01,True,672.0,674.0,5392.0,0.009738755412399769,962.0,7696.0
formal,NOG-FO,627,0.009,False,,,,0.009939171373844147,962.0,7696.0
formal,NOG-FO,627,0.008,False,,,,0.009939171373844147,962.0,7696.0
formal,NOG-FO,628,0.2,True,144.0,146.0,1168.0,0.19099843502044678,962.0,7696.0
formal,NOG-FO,628,0.1,True,264.0,266.0,2128.0,0.0983487069606781,962.0,7696.0
formal,NOG-FO,628,0.05,True,360.0,362.0,2896.0,0.04947715252637863,962.0,7696.0
formal,NOG-FO,628,0.03,True,432.0,434.0,3472.0,0.026015138253569603,962.0,7696.0
formal,NOG-FO,628,0.02,True,480.0,482.0,3856.0,0.018514659255743027,962.0,7696.0
formal,NOG-FO,628,0.015,True,552.0,554.0,4432.0,0.01273910328745842,962.0,7696.0
formal,NOG-FO,628,0.01,True,672.0,674.0,5392.0,0.009763062000274658,962.0,7696.0
formal,NOG-FO,628,0.009,False,,,,0.011441212147474289,962.0,7696.0
formal,NOG-FO,628,0.008,False,,,,0.011441212147474289,962.0,7696.0
formal,NOG-FO,629,0.2,True,144.0,146.0,1168.0,0.18990959227085114,962.0,7696.0
formal,NOG-FO,629,0.1,True,264.0,266.0,2128.0,0.09389010816812515,962.0,7696.0
formal,NOG-FO,629,0.05,True,360.0,362.0,2896.0,0.04428106173872948,962.0,7696.0
formal,NOG-FO,629,0.03,True,432.0,434.0,3472.0,0.025807207450270653,962.0,7696.0
formal,NOG-FO,629,0.02,True,480.0,482.0,3856.0,0.01818280667066574,962.0,7696.0
formal,NOG-FO,629,0.015,True,528.0,530.0,4240.0,0.014180146157741547,962.0,7696.0
formal,NOG-FO,629,0.01,True,624.0,626.0,5008.0,0.0093733174726367,962.0,7696.0
formal,NOG-FO,629,0.009,True,672.0,674.0,5392.0,0.008888560347259045,962.0,7696.0
formal,NOG-FO,629,0.008,False,,,,0.009154943749308586,962.0,7696.0
formal,NOG-FO,630,0.2,True,144.0,146.0,1168.0,0.19191394746303558,962.0,7696.0
formal,NOG-FO,630,0.1,True,264.0,266.0,2128.0,0.09560371190309525,962.0,7696.0
formal,NOG-FO,630,0.05,True,360.0,362.0,2896.0,0.03935062512755394,962.0,7696.0
formal,NOG-FO,630,0.03,True,408.0,410.0,3280.0,0.02528359182178974,962.0,7696.0
