task_id,method,epsilon,region,worker_count,formal_seed,source,hit,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,censoring_depth,censoring_total_work,censoring_per_worker_work,censoring_training_time,final_stat_proxy
NOG-FO__coarse__m8__seed7,NOG-FO,0.1,coarse,8,7,reuse-formal,True,6,384,48,0.2605088611599058,962,61568,7696,5.742738434812054,0.008546453900635242
NOG-FO__coarse__m8__seed8,NOG-FO,0.1,coarse,8,8,reuse-formal,True,6,384,48,0.32875225110910833,962,61568,7696,5.702102220384404,0.008868986740708351
NOG-FO__coarse__m8__seed9,NOG-FO,0.1,coarse,8,9,reuse-formal,True,6,384,48,0.15024872892536223,962,61568,7696,5.6499450008850545,0.009641322307288647
NOG-FO__medium__m1__seed0,NOG-FO,0.01,medium,1,0,run,True,6,384,384,0.3343294549267739,962,61568,61568,1.9689955541398376,0.009360606782138348
NOG-FO__medium__m1__seed1,NOG-FO,0.01,medium,1,1,run,True,54,3456,3456,0.5690294723026454,962,61568,61568,2.11154562770389,0.00894316378980875
NOG-FO__medium__m1__seed2,NOG-FO,0.01,medium,1,2,run,True,102,6528,6528,0.48322409112006426,962,61568,61568,1.7669533116277307,0.009161199443042278
NOG-FO__medium__m1__seed3,NOG-FO,0.01,medium,1,3,run,True,54,3456,3456,0.4376831967383623,962,61568,61568,2.0287503567524254,0.007701444905251265
NOG-FO__medium__m1__seed4,NOG-FO,0.01,medium,1,4,run,True,54,3456,3456,0.5614849221892655,962,61568,61568,2.001411909237504,0.009537715464830399
NOG-FO__medium__m1__seed5,NOG-FO,0.01,medium,1,5,run,True,102,6528,6528,0.5073829344473779,962,61568,61568,1.8578878070693463,0.008739792741835117
NOG-FO__medium__m1__seed6,NOG-FO,0.01,medium,1,6,run,True,102,6528,6528,0.7082311923149973,962,61568,61568,2.006735837087035,0.007899634540081024
NOG-FO__medium__m1__seed7,NOG-FO,0.01,medium,1,7,run,True,54,3456,3456,0.41983836540021,962,61568,61568,1.92886730004102,0.007644971366971731
NOG-FO__medium__m1__seed8,NOG-FO,0.01,medium,1,8,run,True,102,6528,6528,0.5810646952595562,962,61568,61568,2.0418784990906715,0.00781095027923584
NOG-FO__medium__m1__seed9,NOG-FO,0.01,medium,1,9,run,True,774,49536,49536,1.6232833687681705,962,61568,61568,1.923530428437516,0.009723183698952198
NOG-FO__medium__m2__seed0,NOG-FO,0.01,medium,2,0,run,True,54,3456,1728,0.20095545938238502,962,61568,30784,2.1566200263332576,0.00903347134590149
NOG-FO__medium__m2__seed1,NOG-FO,0.01,medium,2,1,run,True,102,6528,3264,0.4597015550825745,962,61568,30784,2.3908166319597512,0.009023388847708702
NOG-FO__medium__m2__seed2,NOG-FO,0.01,medium,2,2,run,True,54,3456,1728,0.5850098822265863,962,61568,30784,2.6425184067338705,0.008471754379570484
NOG-FO__medium__m2__seed3,NOG-FO,0.01,medium,2,3,run,True,54,3456,1728,0.42770002596080303,962,61568,30784,2.5399542655795813,0.008774791844189167
NOG-FO__medium__m2__seed4,NOG-FO,0.01,medium,2,4,run,True,54,3456,1728,0.18353669811040163,962,61568,30784,2.2166996467858553,0.00815802812576294
NOG-FO__medium__m2__seed5,NOG-FO,0.01,medium,2,5,run,True,54,3456,1728,0.5097109824419022,962,61568,30784,2.5231891912408173,0.008607501164078712
NOG-FO__medium__m2__seed6,NOG-FO,0.01,medium,2,6,run,True,54,3456,1728,0.2761865062639117,962,61568,30784,2.498605699511245,0.008128063753247261
NOG-FO__medium__m2__seed7,NOG-FO,0.01,medium,2,7,run,True,102,6528,3264,0.4431507117114961,962,61568,30784,2.483727065147832,0.008741050027310848
NOG-FO__medium__m2__seed8,NOG-FO,0.01,medium,2,8,run,True,246,15744,7872,0.7713131411001086,962,61568,30784,2.4026556885801256,0.00887974537909031
NOG-FO__medium__m2__seed9,NOG-FO,0.01,medium,2,9,run,True,294,18816,9408,0.7110797241330147,962,61568,30784,2.1762924056965858,0.00927476305514574
NOG-FO__medium__m4__seed0,NOG-FO,0.01,medium,4,0,run,True,54,3456,864,0.31048654997721314,962,61568,15392,3.714605159126222,0.008297495543956757
NOG-FO__medium__m4__seed1,NOG-FO,0.01,medium,4,1,run,True,54,3456,864,0.2928519065026194,962,61568,15392,3.716770318802446,0.00855778157711029
NOG-FO__medium__m4__seed2,NOG-FO,0.01,medium,4,2,run,True,6,384,96,0.2420064201578498,962,61568,15392,3.762760733021423,0.009500506334006786
NOG-FO__medium__m4__seed3,NOG-FO,0.01,medium,4,3,run,True,102,6528,1632,0.5644970971625298,962,61568,15392,3.8739965392742306,0.008846567012369633
NOG-FO__medium__m4__seed4,NOG-FO,0.01,medium,4,4,run,True,102,6528,1632,0.4295824817381799,962,61568,15392,3.738148502772674,0.008696993812918663
NOG-FO__medium__m4__seed5,NOG-FO,0.01,medium,4,5,run,True,54,3456,864,0.34112071222625673,962,61568,15392,3.8290617796592414,0.008454895578324795
NOG-FO__medium__m4__seed6,NOG-FO,0.01,medium,4,6,run,True,54,3456,864,0.29843449709005654,962,61568,15392,3.6618588073179126,0.00906453374773264
NOG-FO__medium__m4__seed7,NOG-FO,0.01,medium,4,7,run,True,54,3456,864,0.4104844641406089,962,61568,15392,3.870209835236892,0.008608649484813213
NOG-FO__medium__m4__seed8,NOG-FO,0.01,medium,4,8,run,True,54,3456,864,0.29667861480265856,962,61568,15392,3.595188206061721,0.008715883828699589
NOG-FO__medium__m4__seed9,NOG-FO,0.01,medium,4,9,run,True,534,34176,8544,2.14315024134703,962,61568,15392,3.7481610057875514,0.010078621096909046
NOG-FO__medium__m8__seed0,NOG-FO,0.01,medium,8,0,reuse-formal,True,6,384,48,0.47479475988075137,962,61568,7696,6.050846831873059,0.008373730815947056
NOG-FO__medium__m8__seed1,NOG-FO,0.01,medium,8,1,reuse-formal,True,150,9600,1200,1.1305752338375896,962,61568,7696,5.72305913339369,0.009551898576319218
NOG-FO__medium__m8__seed2,NOG-FO,0.01,medium,8,2,reuse-formal,True,102,6528,816,0.8095087870024145,962,61568,7696,5.605925141600892,0.00969171803444624
NOG-FO__medium__m8__seed3,NOG-FO,0.01,medium,8,3,reuse-formal,True,54,3456,432,0.4490804588422179,962,61568,7696,5.763176725013182,0.008600149303674698
NOG-FO__medium__m8__seed4,NOG-FO,0.01,medium,8,4,reuse-formal,True,102,6528,816,0.7775446618907154,962,61568,7696,5.9128177794627845,0.008750716224312782
NOG-FO__medium__m8__seed5,NOG-FO,0.01,medium,8,5,reuse-formal,True,54,3456,432,0.5605955319479108,962,61568,7696,5.953616769053042,0.008030177094042301
NOG-FO__medium__m8__seed6,NOG-FO,0.01,medium,8,6,reuse-formal,True,150,9600,1200,1.0700058094225824,962,61568,7696,5.829603765625507,0.007470348849892616
NOG-FO__medium__m8__seed7,NOG-FO,0.01,medium,8,7,reuse-formal,True,54,3456,432,0.6506493878550828,962,61568,7696,5.990632024593651,0.008546453900635242
NOG-FO__medium__m8__seed8,NOG-FO,0.01,medium,8,8,reuse-formal,True,102,6528,816,1.0370777214411646,962,61568,7696,6.301989590050653,0.008868986740708351
NOG-FO__medium__m8__seed9,NOG-FO,0.01,medium,8,9,reuse-formal,True,342,21888,2736,2.0517027385067195,962,61568,7696,5.753462820779532,0.009641322307288647
NOG-FO__fine__m1__seed0,NOG-FO,0.005,fine,1,0,run,False,,,,,61442,31458304,31458304,258.2827667600941,0.006536131724715233
NOG-FO__fine__m1__seed1,NOG-FO,0.005,fine,1,1,run,False,,,,,61442,31458304,31458304,261.9576915123034,0.006184355355799198
NOG-FO__fine__m1__seed2,NOG-FO,0.005,fine,1,2,run,False,,,,,61442,31458304,31458304,259.8372695480939,0.007046678103506565
NOG-FO__fine__m1__seed3,NOG-FO,0.005,fine,1,3,run,False,,,,,61442,31458304,31458304,250.93177482346073,0.007176476530730724
NOG-FO__fine__m1__seed4,NOG-FO,0.005,fine,1,4,run,False,,,,,61442,31458304,31458304,259.63946484494954,0.006922898348420858
NOG-FO__fine__m1__seed5,NOG-FO,0.005,fine,1,5,run,False,,,,,61442,31458304,31458304,258.3771194657311,0.006927224341779947
NOG-FO__fine__m1__seed6,NOG-FO,0.005,fine,1,6,run,False,,,,,61442,31458304,31458304,252.14396565267816,0.0061167022213339806
NOG-FO__fine__m1__seed7,NOG-FO,0.005,fine,1,7,run,False,,,,,61442,31458304,31458304,260.7179184376728,0.006915809586644173
NOG-FO__fine__m1__seed8,NOG-FO,0.005,fine,1,8,run,False,,,,,61442,31458304,31458304,258.42012055939995,0.0065291631035506725
NOG-FO__fine__m1__seed9,NOG-FO,0.005,fine,1,9,run,False,,,,,61442,31458304,31458304,253.02187995123677,0.008140867576003075
NOG-FO__fine__m2__seed0,NOG-FO,0.005,fine,2,0,run,False,,,,,61442,31458304,15729152,343.0710347574204,0.006933175027370453
NOG-FO__fine__m2__seed1,NOG-FO,0.005,fine,2,1,run,False,,,,,61442,31458304,15729152,314.92607108526863,0.006047193892300129
NOG-FO__fine__m2__seed2,NOG-FO,0.005,fine,2,2,run,False,,,,,61442,31458304,15729152,329.1729846633971,0.007318804040551186
NOG-FO__fine__m2__seed3,NOG-FO,0.005,fine,2,3,run,False,,,,,61442,31458304,15729152,329.3709495421499,0.006970411166548729
NOG-FO__fine__m2__seed4,NOG-FO,0.005,fine,2,4,run,False,,,,,61442,31458304,15729152,339.61234326590784,0.006505371071398258
NOG-FO__fine__m2__seed5,NOG-FO,0.005,fine,2,5,run,False,,,,,61442,31458304,15729152,332.9547114095185,0.006757473107427359
