method,epsilon,region,worker_count,num_seeds,hit_count,hit_rate,hit_rate_ci_low,hit_rate_ci_high,depth_num_seeds,depth_hit_count,depth_hit_rate,depth_conditional_mean,depth_conditional_median,depth_capped_mean,depth_restricted_mean,depth_censoring_horizon,depth_conditional_mean_ci_low,depth_conditional_mean_ci_high,depth_capped_mean_ci_low,depth_capped_mean_ci_high,depth_restricted_mean_ci_low,depth_restricted_mean_ci_high,depth_mean_lower_bound,depth_mean_upper_bound,depth_upper_bound_is_unbounded,total_work_num_seeds,total_work_hit_count,total_work_hit_rate,total_work_conditional_mean,total_work_conditional_median,total_work_capped_mean,total_work_restricted_mean,total_work_censoring_horizon,total_work_conditional_mean_ci_low,total_work_conditional_mean_ci_high,total_work_capped_mean_ci_low,total_work_capped_mean_ci_high,total_work_restricted_mean_ci_low,total_work_restricted_mean_ci_high,total_work_mean_lower_bound,total_work_mean_upper_bound,total_work_upper_bound_is_unbounded,per_worker_work_num_seeds,per_worker_work_hit_count,per_worker_work_hit_rate,per_worker_work_conditional_mean,per_worker_work_conditional_median,per_worker_work_capped_mean,per_worker_work_restricted_mean,per_worker_work_censoring_horizon,per_worker_work_conditional_mean_ci_low,per_worker_work_conditional_mean_ci_high,per_worker_work_capped_mean_ci_low,per_worker_work_capped_mean_ci_high,per_worker_work_restricted_mean_ci_low,per_worker_work_restricted_mean_ci_high,per_worker_work_mean_lower_bound,per_worker_work_mean_upper_bound,per_worker_work_upper_bound_is_unbounded,training_time_num_seeds,training_time_hit_count,training_time_hit_rate,training_time_conditional_mean,training_time_conditional_median,training_time_capped_mean,training_time_restricted_mean,training_time_censoring_horizon,training_time_conditional_mean_ci_low,training_time_conditional_mean_ci_high,training_time_capped_mean_ci_low,training_time_capped_mean_ci_high,training_time_restricted_mean_ci_low,training_time_restricted_mean_ci_high,training_time_mean_lower_bound,training_time_mean_upper_bound,training_time_upper_bound_is_unbounded
NOG-FO,0.005,fine,4,10,0,0.0,0.0,0.0,10,0,0.0,,,61442.0,61442.0,61442.0,,,61442.0,61442.0,61442.0,61442.0,61442.0,,True,10,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,10,0,0.0,,,7864576.0,7864576.0,7864576.0,,,7864576.0,7864576.0,7864576.0,7864576.0,7864576.0,,True,10,0,0.0,,,479.6341064795386,494.6938137477264,494.6938137477264,,,473.16886167845223,485.233274172782,494.6938137477264,494.6938137477264,479.6341064795386,,True
NOG-FO,0.005,fine,8,10,0,0.0,0.0,0.0,10,0,0.0,,,61442.0,61442.0,61442.0,,,61442.0,61442.0,61442.0,61442.0,61442.0,,True,10,0,0.0,,,31458304.0,31458304.0,31458304.0,,,31458304.0,31458304.0,31458304.0,31458304.0,31458304.0,,True,10,0,0.0,,,3932288.0,3932288.0,3932288.0,,,3932288.0,3932288.0,3932288.0,3932288.0,3932288.0,,True,10,0,0.0,,,652.0095311479876,656.3708682809956,656.3708682809956,,,650.1657625823049,653.7460320679704,656.3708682809956,656.3708682809956,652.0095311479876,,True
ME-DOL-FO,0.1,coarse,1,10,10,1.0,1.0,1.0,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,0.1299252029042691,0.05556453054305166,0.1299252029042691,0.12992520290426912,1.971398635301739,0.049504438019357624,0.2413432107772678,0.04940583272837103,0.2414285884005949,0.051011907495558256,0.23555763785261663,0.1299252029042691,0.1299252029042691,False
ME-DOL-FO,0.1,coarse,2,10,10,1.0,1.0,1.0,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,12.0,12.0,12.0,12.0,1920.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,False,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,0.08453525481745601,0.06837579025886953,0.08453525481745601,0.084535254817456,2.3522767550311983,0.06447896163444966,0.11253481768071652,0.06481394236907363,0.11486713935155421,0.06492359079420566,0.11470232924912127,0.08453525481745601,0.08453525481745601,False
ME-DOL-FO,0.1,coarse,4,10,10,1.0,1.0,1.0,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,24.0,24.0,24.0,24.0,3840.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,False,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,0.1289998040534556,0.11347071675118059,0.1289998040534556,0.1289998040534556,4.14458579220809,0.11042281182017177,0.15456920070573688,0.11040656187105924,0.15353783622849732,0.1104114593239501,0.15374031050596385,0.1289998040534556,0.1289998040534556,False
ME-DOL-FO,0.1,coarse,8,10,10,1.0,1.0,1.0,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,48.0,48.0,48.0,48.0,7680.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,False,10,10,1.0,6.0,6.0,6.0,6.0,960.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False,10,10,1.0,0.2516313873929903,0.19952696235850453,0.2516313873929903,0.2516313873929903,6.3447257180232555,0.20157949402928352,0.3122832938563079,0.20302431129384785,0.3078569447156042,0.20075310012325645,0.30813103783875706,0.2516313873929903,0.2516313873929903,False
ME-DOL-FO,0.01,medium,1,10,0,0.0,0.0,0.0,10,0,0.0,,,960.0,960.0,960.0,,,960.0,960.0,960.0,960.0,960.0,,True,10,0,0.0,,,960.0,960.0,960.0,,,960.0,960.0,960.0,960.0,960.0,,True,10,0,0.0,,,960.0,960.0,960.0,,,960.0,960.0,960.0,960.0,960.0,,True,10,0,0.0,,,1.7090301073621958,1.8966997920069844,1.8966997920069844,,,1.6465661250520498,1.7788622238207608,1.8966997920069844,1.8966997920069844,1.7090301073621958,,True
ME-DOL-FO,0.01,medium,2,10,4,0.4,0.1,0.7,10,4,0.4,498.0,486.0,775.2,775.2,960.0,246.0,750.0,584.4,933.0,575.4000000000001,942.0,775.2,,True,10,4,0.4,996.0,972.0,1550.4,1550.4,1920.0,492.0,1500.0,1168.8,1854.0,1168.8,1854.0,1550.4,,True,10,4,0.4,498.0,486.0,775.2,775.2,960.0,198.0,750.0,589.2,933.0,579.6,933.0,775.2,,True,10,4,0.4,1.1670656006317586,1.1302729963790625,1.7561057231621817,1.8377731366548689,2.284911494003609,0.6151074380613863,1.7434358861064538,1.3362629725132138,2.1048959663370623,1.4007792138028892,2.1964439702918757,1.7561057231621817,,True
ME-DOL-FO,0.01,medium,4,10,7,0.7,0.4,1.0,10,7,0.7,410.57142857142856,438.0,575.4,575.4000000000001,960.0,204.85714285714286,630.0,361.2,785.4,365.4,785.4000000000001,575.4,,True,10,7,0.7,1642.2857142857142,1752.0,2301.6,2301.6000000000004,3840.0,819.4285714285714,2520.0,1478.4,3124.8,1423.1999999999998,3153.6,2301.6,,True,10,7,0.7,410.57142857142856,438.0,575.4,575.4000000000001,960.0,204.85714285714286,630.0,365.4,780.0,365.40000000000003,785.4000000000001,575.4,,True,10,7,0.7,1.8688771885354072,1.9188937437720597,2.5338821929646658,2.613872740138322,4.352195693878457,0.9826275944443685,2.798975597168984,1.6182067673653364,3.4268741612089797,1.645793201494962,3.5794066020753235,2.5338821929646658,,True
ME-DOL-FO,0.01,medium,8,10,8,0.8,0.5,1.0,10,8,0.8,354.0,222.0,475.2,475.20000000000005,960.0,150.0,588.0,235.8,722.4,235.8,700.1999999999999,475.2,,True,10,8,0.8,2832.0,1776.0,3801.6,3801.6000000000004,7680.0,1104.0,4944.0,1968.0,5678.4,2040.0,5673.5999999999985,3801.6,,True,10,8,0.8,354.0,222.0,475.2,475.20000000000005,960.0,138.0,594.0,246.0,718.2,250.2,718.2,475.2,,True,10,8,0.8,2.4202220412844326,1.4752283749403432,3.171456005377695,3.2430250983918087,6.66517380066216,1.0918036211514845,3.8636184863571543,1.6974119181977585,4.668524039885961,1.7964783532079314,4.899465985572897,3.171456005377695,,True
ME-DOL-FO,0.005,fine,1,10,0,0.0,0.0,0.0,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,82.22448861417361,83.4626370430924,83.4626370430924,,,81.70436690177303,82.70605498575605,83.4626370430924,83.4626370430924,82.22448861417361,,True
ME-DOL-FO,0.005,fine,2,10,0,0.0,0.0,0.0,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,122880.0,122880.0,122880.0,,,122880.0,122880.0,122880.0,122880.0,122880.0,,True,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,132.78622973149177,135.05623706895858,135.05623706895858,,,131.51199081926606,133.9895571886562,135.05623706895858,135.05623706895858,132.78622973149177,,True
ME-DOL-FO,0.005,fine,4,10,0,0.0,0.0,0.0,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,245760.0,245760.0,245760.0,,,245760.0,245760.0,245760.0,245760.0,245760.0,,True,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,217.2993351939367,228.31486160401255,228.31486160401255,,,213.2814641360892,221.42459858411456,228.31486160401255,228.31486160401255,217.2993351939367,,True
ME-DOL-FO,0.005,fine,8,10,0,0.0,0.0,0.0,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,491520.0,491520.0,491520.0,,,491520.0,491520.0,491520.0,491520.0,491520.0,,True,10,0,0.0,,,61440.0,61440.0,61440.0,,,61440.0,61440.0,61440.0,61440.0,61440.0,,True,10,0,0.0,,,356.21798671686554,361.5977880116552,361.5977880116552,,,354.0190337082604,358.5824908286566,361.5977880116552,361.5977880116552,356.21798671686554,,True
