formal_config_id,method,formal_seed,worker_count,rounds,checkpoint_count,partial_sha256,config_sha256,expected_config_sha256,final_depth,final_total_work,final_per_worker_work,final_eval_work,passed,errors,task_id,region,epsilon,source
NOG-FO__coarse__m2__seed3,NOG-FO,3,2,960,21,c115e29e849d81f0b97ea3c66cfae80b15654de3e95de67d160c7bd228dfec33,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed3,coarse,0.1,run
NOG-FO__coarse__m2__seed4,NOG-FO,4,2,960,21,ecf332ab3ec454f28dce8955d9dfda28b7401ac003de38d6644dc84074333b42,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed4,coarse,0.1,run
NOG-FO__coarse__m2__seed5,NOG-FO,5,2,960,21,f298d1f782be8d064147f9f8d5ed31d375157fdcb885c0fe03e0d56707ed16f1,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed5,coarse,0.1,run
NOG-FO__coarse__m2__seed6,NOG-FO,6,2,960,21,82c315a3aad2e1f05914fb9f81f115b04389d76bf78ae4ab39170fd1fa52e79e,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed6,coarse,0.1,run
NOG-FO__coarse__m2__seed7,NOG-FO,7,2,960,21,493044d35c6b12fa0679af1008a1e236b24278660f7a97cb1366ebc0bbd0cc44,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed7,coarse,0.1,run
NOG-FO__coarse__m2__seed8,NOG-FO,8,2,960,21,e3e2f3908f807c0f8c210174795a440da1579fd8ec47cf46bd035331bf228277,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed8,coarse,0.1,run
NOG-FO__coarse__m2__seed9,NOG-FO,9,2,960,21,f836bceaec0bb01c2eae2ed1e64d974632e8d71885f90f9916a5ab5f5d05b04a,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__coarse__m2__seed9,coarse,0.1,run
NOG-FO__coarse__m4__seed0,NOG-FO,0,4,960,21,86ffbf2b277d32d132a6fd870bf96e181675b967b52779436235cfb02c262afd,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed0,coarse,0.1,run
NOG-FO__coarse__m4__seed1,NOG-FO,1,4,960,21,9882f96c94052d9fd408cb95d8cfd6aa94337afaca91b154129bf25de57a2aff,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed1,coarse,0.1,run
NOG-FO__coarse__m4__seed2,NOG-FO,2,4,960,21,d66edfbbaf8c9f8865af2754bf8c38126831e8bec4787ebeb54c4057cc7af683,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed2,coarse,0.1,run
NOG-FO__coarse__m4__seed3,NOG-FO,3,4,960,21,3ec0fcaf067d29410291692a0eb81d7878eaa9ed778dd32389acc944f77df660,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed3,coarse,0.1,run
NOG-FO__coarse__m4__seed4,NOG-FO,4,4,960,21,b90213abc7462dfd59b277d5cd3df0aff2ad163f9695ef9eec18130485d02797,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed4,coarse,0.1,run
NOG-FO__coarse__m4__seed5,NOG-FO,5,4,960,21,a4f9cfc0e24af64f421f02ef9faf1d350188dd5efdfda6183b834977b399bd2c,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed5,coarse,0.1,run
NOG-FO__coarse__m4__seed6,NOG-FO,6,4,960,21,455c983f086d15dd1c39b0ec09d92c74f4129cbab44e4d5f96240bf60b0a8c0b,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed6,coarse,0.1,run
NOG-FO__coarse__m4__seed7,NOG-FO,7,4,960,21,b9e991a3f38823f2f06a605eb42d36548f8f8194aef6b01965b92a45996cc938,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed7,coarse,0.1,run
NOG-FO__coarse__m4__seed8,NOG-FO,8,4,960,21,45c7526469ab026e3aa912b48627357e8575939c985e35516ac91f633fa790a9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed8,coarse,0.1,run
NOG-FO__coarse__m4__seed9,NOG-FO,9,4,960,21,d686041a5e178eeaa5b5405b24be9d7e450328125eb7fdd23d80601c38c93a27,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__coarse__m4__seed9,coarse,0.1,run
NOG-FO__coarse__m8__seed0,NOG-FO,0,8,960,21,afaa257fc700a50203851bf9d3e193f98b8a4b3f22c178189098691c2246e42d,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed0,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed1,NOG-FO,1,8,960,21,f86be21fd3ec8bcf28eba1918c0fd92382de718e273e33d3c916b72372d8261e,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed1,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed2,NOG-FO,2,8,960,21,184638502578a981855b2194fccf5e79598f52f0c10c8ab984b7dac2179987dd,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed2,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed3,NOG-FO,3,8,960,21,eed6079704dacdd8e3ad67c31bf6b0e62c09104c092c85aad8b2fcad882a015e,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed3,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed4,NOG-FO,4,8,960,21,d0f5e254a752ace987bdf0ac366b1942fef520393dc88e207d1182ef9ee8f6eb,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed4,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed5,NOG-FO,5,8,960,21,8a9a8d8fe8a61659d4ad3f9aa7659bd356e059952cce076a7f1c2a5ffc045eb5,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed5,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed6,NOG-FO,6,8,960,21,39fc567d35d129e7326fb37fcae8ce3e388cac3b095d6353fc8baabf9f35337a,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed6,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed7,NOG-FO,7,8,960,21,fc16628fc398950f45031358a4fcd317348513f340a3ae486db1e38047a90ad0,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed7,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed8,NOG-FO,8,8,960,21,6aac72f92e40964ed8b9237b4148ea81027301d90246903b49fb46cc4b3f7134,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed8,coarse,0.1,reuse-formal
NOG-FO__coarse__m8__seed9,NOG-FO,9,8,960,21,f05e9c910c46b40340bb1bde832624fe6fd59ad6aac26ae4937b7a20c313e926,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,7696,172032,True,,NOG-FO__coarse__m8__seed9,coarse,0.1,reuse-formal
