epsilon,num_seeds,paired_hit_count,ratios_use_capped_values,depth_ratio_mean,depth_ratio_sd,depth_ratio_ci_low,depth_ratio_ci_high,work_ratio_mean,work_ratio_sd,work_ratio_ci_low,work_ratio_ci_high
0.01,20,20,False,6.985994971053333,0.5689358550864232,6.745863783324182,7.22210383538814,0.28818005550108106,0.024613092000500738,0.2781760855662873,0.29932154486291734
0.00975,20,20,False,7.011259882502327,0.6299057622710433,6.73415397493221,7.270054957299377,0.28748670669239973,0.026393906035613045,0.27702800685302764,0.29934902588303963
0.0095,20,20,False,6.927719542414131,0.676513324209085,6.651050748446065,7.225132888078254,0.291378493393687,0.02929930728879773,0.2789886351993678,0.3047367169520978
0.00925,20,20,False,6.916638241055542,0.6402102045816842,6.657314112320583,7.197728168393331,0.29152479511029383,0.027246760891761826,0.2805073224231534,0.30349987037977644
0.009,20,20,False,9.202306085843926,0.5131078862973077,8.99941715661257,9.423500717568679,0.32697571165357747,0.018350719175652227,0.3193771868849963,0.3350237581544042
0.00875,20,20,False,9.211272611395685,0.5780602929631168,8.961694850590414,9.449515238550097,0.3269246419347592,0.020783581814640167,0.3184006475271364,0.3360328377279433
0.0085,20,20,False,9.082640673780002,0.6015456034939738,8.841361220712203,9.346945896152725,0.3316812300083499,0.021987730924136535,0.32221666400309024,0.34156363857005984
0.00825,20,20,False,8.993638108656109,0.7470846603011791,8.660422769297359,9.29422885841684,0.33597083675860984,0.030688619684488487,0.32396127193833657,0.3501722801089082
0.008,20,20,False,8.888235149924377,0.7933713318110471,8.517900399862492,9.214065357883936,0.3402717571879992,0.032604650634100694,0.3275707878225985,0.3556235603979428
0.00775,20,20,False,7.072245180966046,0.6666848340510821,6.7886027236978785,7.353150367816577,0.4278514337337453,0.04101202477483333,0.41111900699717313,0.4457195897967429
0.0075,20,20,False,7.04819286304446,0.6296298361570153,6.769512340312806,7.318178013696893,0.428871262701542,0.038264627887202945,0.41240294979141906,0.4470559654011293
0.00725,20,20,False,7.050711088353546,0.6912291867877121,6.759075310832956,7.33895600358379,0.42947158633432686,0.042984710331490296,0.41127581526200313,0.4490988857950683
0.007,20,20,False,6.964050994004061,0.6129525684616014,6.699023218276004,7.231863874733168,0.4340407073654321,0.03914655030939404,0.417963419193938,0.45083273145267533
0.00675,20,20,False,6.962793948498557,0.8262412806718676,6.600462087347755,7.307150617746504,0.437531084389715,0.06045733612388812,0.4136343422579407,0.46712945851613313
0.0065,20,20,False,9.086428854479468,0.9108691051360859,8.706822070309755,9.452139575343695,0.44481192266547787,0.048650146380129704,0.4249597841639447,0.4668868146962528
0.00625,20,20,False,8.765659619554938,1.1159778109394312,8.269961965272634,9.207306241655704,0.46497199949079626,0.07320578070903636,0.43749855126082215,0.49821526382023723
0.006,20,20,False,8.475834396140915,1.218511654041081,7.941056563215555,8.99063839819838,0.48270214466529854,0.08054166662476459,0.44998168454095067,0.5184646427887472
0.00575,20,20,False,7.562956453408943,1.5512871493545772,6.890704591809294,8.191188298865518,0.5541818112536583,0.13280226048298516,0.500443722515011,0.6149674079969581
0.0055,20,20,False,5.842781192372222,2.3765239734937125,4.8806358906067615,6.878777410894324,0.801020901723005,0.319981653092973,0.6694747674538222,0.9456322833502525
0.00525,20,20,False,8.247924206479055,2.7111368597701966,7.120988653620391,9.381402518145247,0.6893754259509994,0.28341235807213294,0.5777073741871364,0.8182983945959342
0.005,20,20,False,4.871723026194507,3.4674726491914356,3.530399583922238,6.4083527678118015,1.6818187627740655,1.2619848799531872,1.1831859972511833,2.2736874942665994
0.00475,20,20,False,2.033506185374182,1.901819417087714,1.4230435096120115,2.9754826606056013,3.4246807560435317,1.5193923097448836,2.7962504024768484,4.066673994936037
0.0045,20,16,True,0.6536192856604838,0.7828609108916341,0.32600856244239024,1.0102370144695791,20.695391865117198,14.939417076401133,14.358733970176445,27.18534062978692
0.00425,20,20,False,6.173298547937915,3.685283204884191,4.620137130922126,7.960947891604006,1.4909195629674499,0.7182100864921568,1.1765280026280416,1.813580531719416
0.004,20,20,False,3.589275432191088,3.3116424535349793,2.30184542564817,5.120840245685035,4.084944703552292,4.502660255155679,2.505423415286666,6.385504751001176
