method,epsilon,segment_id,parameter,batch_total,num_seeds,hit_count,hit_rate,depth_mean_hits,depth_sd_hits,work_mean_hits,work_sd_hits,capped_depth_mean,capped_work_mean
NOG-FO,0.01,n0,M=2;eta=4;batch=16,16,20,20,1.0,450.9,32.07540457963653,7214.4,513.2064732741845,450.9,7214.4
ME-DOL-FO,0.01,m0,H=6;multiplier=12.5;batch=8,8,20,20,1.0,3134.4,109.9370154607676,25075.2,879.4961236861408,3134.4,25075.2
NOG-FO,0.00975,n0,M=2;eta=4;batch=16,16,20,20,1.0,457.3,32.56911678908491,7316.8,521.1058686253585,457.3,7316.8
ME-DOL-FO,0.00975,m0,H=6;multiplier=12.5;batch=8,8,20,20,1.0,3189.0,129.5587653700456,25512.0,1036.4701229603647,3189.0,25512.0
NOG-FO,0.0095,n0,M=2;eta=4;batch=16,16,20,20,1.0,466.6,36.87303964459099,7465.6,589.9686343134558,466.6,7465.6
ME-DOL-FO,0.0095,m0,H=6;multiplier=12.5;batch=8,8,20,20,1.0,3211.2,131.70685151821868,25689.6,1053.6548121457495,3211.2,25689.6
NOG-FO,0.00925,n0,M=2;eta=4;batch=16,16,20,20,1.0,471.5,36.56213168955293,7544.0,584.9941070328468,471.5,7544.0
ME-DOL-FO,0.00925,m0,H=6;multiplier=12.5;batch=8,8,20,20,1.0,3241.5,127.87144037336051,25932.0,1022.9715229868841,3241.5,25932.0
NOG-FO,0.009,n1,M=2;eta=3.8;batch=24,24,20,20,1.0,384.0,17.290094517412353,9216.0,414.96226841789644,384.0,9216.0
ME-DOL-FO,0.009,m1,H=8;multiplier=12.5;batch=8,8,20,20,1.0,3526.8,113.56129807752565,28214.4,908.4903846202052,3526.8,28214.4
NOG-FO,0.00875,n1,M=2;eta=3.8;batch=24,24,20,20,1.0,389.0,20.463060428617787,9336.0,491.1134502868269,389.0,9336.0
ME-DOL-FO,0.00875,m1,H=8;multiplier=12.5;batch=8,8,20,20,1.0,3573.6,117.03278892776386,28588.8,936.2623114221109,3573.6,28588.8
NOG-FO,0.0085,n1,M=2;eta=3.8;batch=24,24,20,20,1.0,398.3,25.40845279988946,9559.2,609.802867197347,398.3,9559.2
ME-DOL-FO,0.0085,m1,H=8;multiplier=12.5;batch=8,8,20,20,1.0,3604.8,110.37619880734204,28838.4,883.0095904587363,3604.8,28838.4
NOG-FO,0.00825,n1,M=2;eta=3.8;batch=24,24,20,20,1.0,407.9,38.93570949249815,9789.6,934.4570278199556,407.9,9789.6
ME-DOL-FO,0.00825,m1,H=8;multiplier=12.5;batch=8,8,20,20,1.0,3643.2,120.13746512356497,29145.6,961.0997209885197,3643.2,29145.6
NOG-FO,0.008,n1,M=2;eta=3.8;batch=24,24,20,20,1.0,416.9,40.701609951346875,10005.6,976.838638832325,416.9,10005.6
ME-DOL-FO,0.008,m1,H=8;multiplier=12.5;batch=8,8,20,20,1.0,3677.2,119.65635004153836,29417.6,957.2508003323069,3677.2,29417.6
NOG-FO,0.00775,n2,M=3;eta=3.6;batch=24,24,20,20,1.0,622.25,59.52343633968229,14934.0,1428.562472152375,622.25,14934.0
ME-DOL-FO,0.00775,m2,H=12;multiplier=12.5;batch=8,8,20,20,1.0,4366.8,165.99860494023815,34934.4,1327.9888395219052,4366.8,34934.4
NOG-FO,0.0075,n2,M=3;eta=3.6;batch=24,24,20,20,1.0,632.75,54.60082416960389,15186.0,1310.4197800704933,632.75,15186.0
ME-DOL-FO,0.0075,m2,H=12;multiplier=12.5;batch=8,8,20,20,1.0,4431.0,170.54649003470547,35448.0,1364.3719202776438,4431.0,35448.0
NOG-FO,0.00725,n2,M=3;eta=3.6;batch=24,24,20,20,1.0,642.65,58.72708959783022,15423.6,1409.4501503479253,642.65,15423.6
ME-DOL-FO,0.00725,m2,H=12;multiplier=12.5;batch=8,8,20,20,1.0,4497.0,192.940132520018,35976.0,1543.521060160144,4497.0,35976.0
NOG-FO,0.007,n2,M=3;eta=3.6;batch=24,24,20,20,1.0,659.9,54.7240926447344,15837.6,1313.3782234736257,659.9,15837.6
ME-DOL-FO,0.007,m2,H=12;multiplier=12.5;batch=8,8,20,20,1.0,4569.0,215.5389816983901,36552.0,1724.3118535871208,4569.0,36552.0
NOG-FO,0.00675,n2,M=3;eta=3.6;batch=24,24,20,20,1.0,674.45,74.30695582656126,16186.8,1783.3669398374702,674.45,16186.8
ME-DOL-FO,0.00675,m2,H=12;multiplier=12.5;batch=8,8,20,20,1.0,4644.0,252.49575296063475,37152.0,2019.966023685078,4644.0,37152.0
NOG-FO,0.0065,n3,M=3;eta=3.4;batch=32,32,20,20,1.0,578.45,64.06450285700959,18510.4,2050.0640914243068,578.45,18510.4
ME-DOL-FO,0.0065,m3,H=16;multiplier=12.5;batch=8,8,20,20,1.0,5209.6,274.11684024383317,41676.8,2192.9347219506653,5209.6,41676.8
NOG-FO,0.00625,n3,M=3;eta=3.4;batch=32,32,20,20,1.0,615.8,90.28586180629425,19705.6,2889.147577801416,615.8,19705.6
ME-DOL-FO,0.00625,m3,H=16;multiplier=12.5;batch=8,8,20,20,1.0,5315.2,343.65613168122763,42521.6,2749.249053449821,5315.2,42521.6
NOG-FO,0.006,n3,M=3;eta=3.4;batch=32,32,20,20,1.0,647.3,94.52267898290475,20713.6,3024.725727452952,647.3,20713.6
ME-DOL-FO,0.006,m3,H=16;multiplier=12.5;batch=8,8,20,20,1.0,5388.8,333.91231121201173,43110.4,2671.298489696094,5388.8,43110.4
NOG-FO,0.00575,n3,M=3;eta=3.4;batch=32,32,20,20,1.0,757.1,161.45845155626685,24227.2,5166.670449800539,757.1,24227.2
ME-DOL-FO,0.00575,m3,H=16;multiplier=12.5;batch=8,8,20,20,1.0,5502.4,368.5268539811762,44019.2,2948.2148318494096,5502.4,44019.2
NOG-FO,0.0055,n3,M=3;eta=3.4;batch=32,32,20,20,1.0,1126.7,455.71206283192276,36054.4,14582.786010621528,1126.7,36054.4
ME-DOL-FO,0.0055,m3,H=16;multiplier=12.5;batch=8,8,20,20,1.0,5658.4,455.4944566073225,45267.2,3643.95565285858,5658.4,45267.2
NOG-FO,0.00525,n4,M=3;eta=3.2;batch=40,40,20,20,1.0,939.5,385.069850122915,37580.0,15402.794004916599,939.5,37580.0
ME-DOL-FO,0.00525,m4,H=24;multiplier=12.5;batch=8,8,20,20,1.0,6830.4,397.7587737627709,54643.2,3182.070190102167,6830.4,54643.2
NOG-FO,0.005,n4,M=3;eta=3.2;batch=40,40,20,20,1.0,2390.75,1893.3323692702018,95630.0,75733.29477080808,2390.75,95630.0
ME-DOL-FO,0.005,m4,H=24;multiplier=12.5;batch=8,8,20,20,1.0,7036.8,457.864332928894,56294.4,3662.914663431152,7036.8,56294.4
NOG-FO,0.00475,n4,M=3;eta=3.2;batch=40,40,20,20,1.0,5155.4,2531.8740178186717,206216.0,101274.96071274686,5155.4,206216.0
ME-DOL-FO,0.00475,m4,H=24;multiplier=12.5;batch=8,8,20,20,1.0,7393.2,802.4563342768581,59145.6,6419.650674214865,7393.2,59145.6
NOG-FO,0.0045,n4,M=3;eta=3.2;batch=40,40,20,16,0.8,24170.9375,17777.567011897325,966837.5,711102.680475893,31625.15,1265006.0
ME-DOL-FO,0.0045,m4,H=24;multiplier=12.5;batch=8,8,20,20,1.0,7630.8,875.1378598165037,61046.4,7001.1028785320295,7630.8,61046.4
NOG-FO,0.00425,n5,M=4;eta=3;batch=56,56,20,20,1.0,2050.8,954.5349708241788,114844.8,53453.95836615401,2050.8,114844.8
ME-DOL-FO,0.00425,m5,H=40;multiplier=12.5;batch=8,8,20,20,1.0,9690.0,678.8070030343094,77520.0,5430.456024274476,9690.0,77520.0
NOG-FO,0.004,n5,M=4;eta=3;batch=56,56,20,20,1.0,5897.4,6613.572045422958,330254.4,370360.0345436856,5897.4,330254.4
ME-DOL-FO,0.004,m5,H=40;multiplier=12.5;batch=8,8,20,20,1.0,10146.0,905.4943401258785,81168.0,7243.954721007028,10146.0,81168.0
