method,formal_seed,worker_count,passed,checkpoint_count,max_abs_trajectory_difference,final_depth,final_total_work,final_per_worker_work,final_eval_work,training_time,communication_time,evaluation_time,end_to_end_time
NOG-FO,0,1,True,3,0.0,10,160,160,24,0.44739270210266113,0.0023114830255508423,0.0602569580078125,4.285751193761826
NOG-FO,0,2,True,3,0.0,10,160,80,24,0.6512736827135086,0.01502247154712677,0.07714302837848663,4.487955570220947
NOG-FO,0,8,True,3,1.4901161193847656e-08,10,160,20,24,2.6774851083755493,0.08846218883991241,0.07347200810909271,8.543879091739655
ME-DOL-FO,0,1,True,3,0.0,8,8,8,24,0.31310026347637177,0.0015893131494522095,0.0453459769487381,3.579925447702408
ME-DOL-FO,0,2,True,3,0.0,8,16,8,24,0.4306100159883499,0.01140567660331726,0.04604369401931763,3.5561752021312714
ME-DOL-FO,0,8,True,3,0.0,8,64,8,24,0.9386331886053085,0.06432545185089111,0.043601587414741516,6.646656468510628
