scope,method,epsilon,data_B_total,num_seeds,hit_count,hit_rate,depth_mean_hits,depth_sd_hits,work_mean_hits,work_sd_hits,capped_depth_mean,capped_work_mean,mean_final_stat_proxy
primary,NOG-FO,0.0055,32,30,30,1.0,928.4,175.0746835712868,29708.8,5602.389874281178,928.4,29708.8,0.0054673326667398214
primary,ME-DOL-FO,0.0055,96,30,30,1.0,380.0,56.40249444227041,36480.0,5414.63946645796,380.0,36480.0,0.004983459288875262
primary,NOG-FO,0.00525,64,30,30,1.0,633.2,67.04316674275277,40524.8,4290.762671536178,633.2,40524.8,0.004963813458258907
primary,ME-DOL-FO,0.00525,128,30,30,1.0,359.2,43.88574507388083,45977.6,5617.375369456746,359.2,45977.6,0.004471506977764269
primary,NOG-FO,0.005,64,30,30,1.0,707.6,97.35594132021336,45286.4,6230.780244493655,707.6,45286.4,0.004963813458258907
primary,ME-DOL-FO,0.005,128,30,30,1.0,373.6,50.29677442183921,47820.8,6437.987125995419,373.6,47820.8,0.004471506977764269
primary,NOG-FO,0.00475,96,30,30,1.0,578.8,92.7341026435445,55564.8,8902.473853780273,578.8,55564.8,0.004705284046940506
primary,ME-DOL-FO,0.00475,128,30,30,1.0,424.0,81.28621208951779,54272.0,10404.635147458277,424.0,54272.0,0.004471506977764269
primary,NOG-FO,0.0045,128,30,30,1.0,550.8,110.56419573854072,70502.4,14152.217054533212,550.8,70502.4,0.004495028507274886
primary,ME-DOL-FO,0.0045,128,30,30,1.0,468.8,96.35795334280296,60006.4,12333.818027878779,468.8,60006.4,0.004471506977764269
primary,NOG-FO,0.00425,256,30,30,1.0,389.2,54.84926051744312,99635.2,14041.410692465439,389.2,99635.2,0.003980769760285815
primary,ME-DOL-FO,0.00425,192,30,30,1.0,394.4,52.23395645455695,75724.8,10028.919639274935,394.4,75724.8,0.0038765211589634418
primary,NOG-FO,0.004,256,30,30,1.0,430.0,84.57928335244863,110080.0,21652.29653822685,430.0,110080.0,0.003980769760285815
primary,ME-DOL-FO,0.004,192,30,30,1.0,456.0,73.77131486256513,87552.0,14164.092453612506,456.0,87552.0,0.0038765211589634418
