batch_total,epsilon,num_seeds,paired_hit_count,depth_ratio_mean,work_ratio_mean
32,0.01,30,30,0.4620468021681399,2.1764855514855515
32,0.00975,30,30,0.46760318050697736,2.1555552664927666
32,0.0095,30,30,0.4705631214410379,2.1446875292463528
32,0.00925,30,30,0.47193266213949625,2.1394559362206422
32,0.009,30,30,0.4815521944007887,2.095846120110826
32,0.00875,30,30,0.49233111521470385,2.0526737274163747
32,0.0085,30,30,0.5076765046200526,1.9999636449697724
32,0.00825,30,30,0.5356670267183895,1.9122272419392516
32,0.008,30,30,0.5723656226037764,1.8113665959489618
32,0.00775,30,30,0.6079071375017694,1.7165209721724637
32,0.0075,30,30,0.6787367103946234,1.5710285960102417
32,0.00725,30,30,0.8635627078096355,1.3052932729483546
32,0.007,30,30,1.1787359099359516,1.0665946422790729
32,0.00675,30,30,2.2940142543280073,0.69349564458666
32,0.0065,30,30,6.35845774011602,0.372122038621837
32,0.00625,30,16,7.149091230482038,0.27059140730728465
32,0.006,30,2,12.741199818947807,0.10999177631578948
32,0.00575,30,0,,
32,0.0055,30,0,,
32,0.00525,30,0,,
32,0.005,30,0,,
32,0.00475,30,0,,
32,0.0045,30,0,,
32,0.00425,30,0,,
32,0.004,30,0,,
64,0.01,30,30,0.5723787112586236,1.751595117845118
64,0.00975,30,30,0.5745785825310179,1.7445075757575756
64,0.0095,30,30,0.57803911631872,1.7343628593628593
64,0.00925,30,30,0.5816340355961122,1.723442760942761
64,0.009,30,30,0.5836884920858019,1.719623432123432
64,0.00875,30,30,0.5834221847926533,1.7206335331335332
64,0.0085,30,30,0.5870836631643049,1.7099394586894587
64,0.00825,30,30,0.5925243131420279,1.6963738576238576
64,0.008,30,30,0.6008640632460579,1.6756114602989602
64,0.00775,30,30,0.6001560689501686,1.6778534618975796
64,0.0075,30,30,0.6082316782966367,1.656887853431971
64,0.00725,30,30,0.6075595118653564,1.659433319267878
64,0.007,30,30,0.6228460634715838,1.618495819267878
64,0.00675,30,30,0.6466210817879002,1.5636250842929764
64,0.0065,30,30,0.6682764123416469,1.5187104093399242
64,0.00625,30,30,0.7106910737889822,1.4418404355481884
64,0.006,30,30,0.7362120952130194,1.3863569607135784
64,0.00575,30,30,0.9617355046950498,1.1456974927493728
64,0.0055,30,30,1.3724117814539671,0.8870404283165444
64,0.00525,30,30,3.071205791812793,0.5270185059364358
64,0.005,30,26,7.784240668222599,0.2741693541201164
64,0.00475,30,6,10.592195228121787,0.12842139865113836
64,0.0045,30,0,,
64,0.00425,30,0,,
64,0.004,30,0,,
96,0.01,30,30,0.6514404051898498,1.5378577441077441
96,0.00975,30,30,0.6493880862210643,1.5417718855218856
96,0.0095,30,30,0.6507690954801671,1.5392045454545453
96,0.00925,30,30,0.6631111028285135,1.5115433177933177
96,0.009,30,30,0.6647851141532833,1.506934731934732
96,0.00875,30,30,0.66735304035068,1.5013370888370887
96,0.0085,30,30,0.6699606608969315,1.4961894586894586
96,0.00825,30,30,0.6683691131842194,1.5019991582491583
96,0.008,30,30,0.6728200517028212,1.4928370240870241
96,0.00775,30,30,0.6807164968516447,1.4770770895770895
96,0.0075,30,30,0.6822701926413545,1.4717446904946905
96,0.00725,30,30,0.6953422207475853,1.444228734228734
96,0.007,30,30,0.6985906040764619,1.4392853327228328
96,0.00675,30,30,0.6988363953928207,1.4383761955636956
96,0.0065,30,30,0.6973741564013691,1.4427361874236875
96,0.00625,30,30,0.7197334971644632,1.4056492080450413
96,0.006,30,30,0.7485761611275932,1.353794041964514
96,0.00575,30,30,0.7629574453624086,1.337233238193313
96,0.0055,30,30,0.7917044607060754,1.2913028555814288
96,0.00525,30,30,0.8154901657995166,1.2534642465473218
96,0.005,30,30,0.9341855159326063,1.1539047922234411
96,0.00475,30,30,1.39219969331997,0.9397418429473707
96,0.0045,30,30,2.486749491787643,0.6545402854559575
96,0.00425,30,23,5.744533876829101,0.5282577896455609
96,0.004,30,1,5.225382932166302,0.19137353433835846
128,0.01,30,30,0.7143961297340624,1.402377946127946
128,0.00975,30,30,0.7120716800732831,1.4068981481481482
128,0.0095,30,30,0.7140297140239887,1.4035479797979797
128,0.00925,30,30,0.7186213608908482,1.3943434343434342
128,0.009,30,30,0.7220908596456073,1.3879629629629628
128,0.00875,30,30,0.7196290040935505,1.3929924242424243
128,0.0085,30,30,0.7244725617610855,1.384090909090909
128,0.00825,30,30,0.7252053931812327,1.383582621082621
128,0.008,30,30,0.735427441939378,1.3658265345765346
128,0.00775,30,30,0.7347257223409551,1.3675731675731675
128,0.0075,30,30,0.7371644534869188,1.361352305102305
128,0.00725,30,30,0.7452040945279919,1.347087172087172
128,0.007,30,30,0.7580530900268531,1.3238146113146112
128,0.00675,30,30,0.7591887118030703,1.3205865893365893
128,0.0065,30,30,0.7684797518637301,1.3070442867317866
128,0.00625,30,30,0.7642175478606341,1.3140843762718764
128,0.006,30,30,0.760395941811905,1.3198612382987382
128,0.00575,30,30,0.7809231917131811,1.2910814389858507
128,0.0055,30,30,0.7891608180679127,1.2839460709497474
128,0.00525,30,30,0.8251302059958541,1.2312484469721312
128,0.005,30,30,0.8367845340495108,1.2169390013652783
128,0.00475,30,30,0.8825230708285341,1.180810766914353
128,0.0045,30,30,0.871356917261259,1.20722638862033
128,0.00425,30,30,1.246937106831808,1.0991747624825146
128,0.004,30,30,1.7454149951126887,0.8904037782507164
