dataset,method,objective_mean,objective_std,stat_proxy_mean,stat_proxy_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,depth_mean,total_work_mean,seed_count
a9a,DGFM,0.37381742149591446,0.004058367445248873,0.0158778560115024,0.006015814707039677,0.840998438000679,0.001598299829636136,0.8437872380018234,0.0022464566543222595,7680.0,983040.0,20
a9a,DGFM+,0.40647503137588503,0.012584592612643514,0.026174426171928583,0.009426085608028349,0.8287460416555404,0.005370132761425431,0.8308396220207215,0.005882548385606837,6822.0,983040.0,20
a9a,ME-DOL-ZO,0.40592401176691056,0.008630326559703569,0.019227203261107165,0.007281080409102406,0.833787351846695,0.0031615834058817747,0.8343160718679428,0.003180919903648407,3840.0,983040.0,20
a9a,NOG-ZO,0.416908323764801,0.001562038748765935,0.025172236748039672,0.0030683366181247884,0.7978010535240173,0.0036846045413484116,0.8010718017816544,0.0035866515310452765,7680.0,983040.0,20
ijcnn1,DGFM,0.18589050173759458,0.004158354558017704,0.014959065197035609,0.004593847872517593,0.9256451278924942,0.002453177887038517,0.924488827586174,0.004343858119540245,7680.0,983040.0,20
ijcnn1,DGFM+,0.1971411764621734,0.002860576667823715,0.020709831546992005,0.005879698828359572,0.9038977861404419,0.0009988903467289653,0.9051989585161209,0.00034648564517468543,6822.0,983040.0,20
ijcnn1,ME-DOL-ZO,0.1821330919861793,0.0026728598663711537,0.014787883590906811,0.00324002278106009,0.9232046395540238,0.0027120595550632538,0.9199561655521393,0.004078952304916034,3840.0,983040.0,20
ijcnn1,NOG-ZO,0.19195926636457442,0.001044876887705772,0.01232702936977142,0.0020866597202601317,0.9045088976621628,0.0006427397174075401,0.9053499966859817,0.00017598658026877196,7680.0,983040.0,20
