threshold,method,seed,hit,first_hit_round,first_hit_work,first_hit_eval_work,first_hit_time_sec,first_hit_stat_proxy,first_hit_train_loss,first_hit_test_acc,final_stat_proxy,final_train_loss,final_test_acc
2.0,NOG,10000,True,8.0,2560.0,512.0,0.7001395225524902,0.08602561801671982,2.304696822166443,0.112,0.07223598659038544,2.3011730909347534,0.113
2.0,SmoothedSGD,20000,True,1.0,256.0,512.0,0.5567288398742676,0.07594123482704163,2.303762435913086,0.112,0.08391023427248001,2.301702380180359,0.119
1.5,NOG,10000,True,8.0,2560.0,512.0,0.7001395225524902,0.08602561801671982,2.304696822166443,0.112,0.07223598659038544,2.3011730909347534,0.113
1.5,SmoothedSGD,20000,True,1.0,256.0,512.0,0.5567288398742676,0.07594123482704163,2.303762435913086,0.112,0.08391023427248001,2.301702380180359,0.119
1.0,NOG,10000,True,8.0,2560.0,512.0,0.7001395225524902,0.08602561801671982,2.304696822166443,0.112,0.07223598659038544,2.3011730909347534,0.113
1.0,SmoothedSGD,20000,True,1.0,256.0,512.0,0.5567288398742676,0.07594123482704163,2.303762435913086,0.112,0.08391023427248001,2.301702380180359,0.119
0.7,NOG,10000,True,8.0,2560.0,512.0,0.7001395225524902,0.08602561801671982,2.304696822166443,0.112,0.07223598659038544,2.3011730909347534,0.113
0.7,SmoothedSGD,20000,True,1.0,256.0,512.0,0.5567288398742676,0.07594123482704163,2.303762435913086,0.112,0.08391023427248001,2.301702380180359,0.119
0.5,NOG,10000,True,8.0,2560.0,512.0,0.7001395225524902,0.08602561801671982,2.304696822166443,0.112,0.07223598659038544,2.3011730909347534,0.113
0.5,SmoothedSGD,20000,True,1.0,256.0,512.0,0.5567288398742676,0.07594123482704163,2.303762435913086,0.112,0.08391023427248001,2.301702380180359,0.119
