method,epsilon,seed_count,hit_count,hit_rate,first_hit_depth_mean,first_hit_depth_sd,first_hit_work_mean,first_hit_work_sd,capped_depth_mean,capped_depth_sd,capped_work_mean,capped_work_sd,source,scope
current_NOG-opt,0.016,20,20,1,501.2,25.35142475,4009.6,202.811398,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.016,20,20,1,492.4,20.93197001,3939.2,167.4557601,492.4,,3939.2,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.015,20,20,1,275.6,34.29653964,2204.8,274.3723172,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.015,20,20,1,513.2,25.94244642,4105.6,207.5395714,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.015,20,20,1,499.2,19.67525831,3993.6,157.4020665,499.2,,3993.6,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.014,20,20,1,287.6,38.85519677,2300.8,310.8415741,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.014,20,20,1,526.4,26.14614795,4211.2,209.1691836,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.014,20,20,1,508,19.89445837,4064,159.1556669,508,,4064,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.013,20,20,1,334.4,86.1029983,2675.2,688.8239864,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.013,20,20,1,544.4,36.02104648,4355.2,288.1683718,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.013,20,20,1,518.9,23.20140649,4151.2,185.6112519,518.9,,4151.2,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.012,20,17,0.85,593.5294118,203.8130631,4748.235294,1630.504505,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.012,20,20,1,561.2,37.42445021,4489.6,299.3956017,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.012,20,20,1,538.9,28.46586136,4311.2,227.7268909,538.9,,4311.2,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.0115,20,7,0.35,674,203.646753,5392,1629.174024,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.0115,20,20,1,569.6,42.13062394,4556.8,337.0449915,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.0115,20,20,1,546,28.23957656,4368,225.9166125,546,,4368,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.011,20,1,0.05,866,,6928,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.011,20,20,1,586.4,39.91359088,4691.2,319.308727,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.011,20,20,1,566.2,29.33580532,4529.6,234.6864425,566.2,,4529.6,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.01075,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.01075,20,20,1,597.2,39.39756872,4777.6,315.1805498,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.01075,20,20,1,574.1,30.3347985,4592.8,242.678388,574.1,,4592.8,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.0105,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.0105,20,20,1,612.8,37.72699717,4902.4,301.8159774,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.0105,20,20,1,587.2,37.65438396,4697.6,301.2350717,587.2,,4697.6,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.01025,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.01025,20,20,1,624.8,34.36277055,4998.4,274.9021644,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.01025,20,20,1,400.4,29.34800271,6406.4,469.5680434,400.4,,6406.4,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.01,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.01,20,20,1,653.6,45.58670166,5228.8,364.6936133,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.01,20,20,1,408.9,37.71625365,6542.4,603.4600584,408.9,,6542.4,,theory_validation_v4_formal_summary,primary
current_NOG-nonopt,0.0095,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.0095,20,15,0.75,739.6,67.55822885,5916.8,540.4658308,962,0,7696,0,current_ablation_raw_trajectories,
v4_NOG-FO,0.0095,20,20,1,418.7,38.77750297,6699.2,620.4400476,418.7,,6699.2,,theory_validation_v4_formal_summary,exploratory_censored
current_NOG-nonopt,0.009,20,0,0,,,,,962,0,7696,0,current_ablation_raw_trajectories,
current_NOG-opt,0.009,20,8,0.4,770,104.2195485,6160,833.7563879,962,0,7696,0,current_ablation_raw_trajectories,
