baseline,ratio_direction,epsilon,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.2,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.5962307692307696,0.061454345345294724,1.5692307692307694,1.6206923076923079,0.3990576923076924,0.015363586336323681,0.39311538461538464,0.4056346153846154
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.18,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.6440322580645161,0.0586396249915253,1.6187056451612902,1.669358870967742,0.41100806451612903,0.014659906247881325,0.40467641129032256,0.41721874999999997
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.16,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.6544117647058822,0.06289969811130419,1.6274369747899162,1.6811439075630252,0.41360294117647056,0.015724924527826048,0.4069214810924371,0.4202205882352941
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.14,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.7189271255060732,0.05229561756718238,1.695242914979757,1.7407894736842107,0.4297317813765183,0.013073904391795595,0.42381072874493936,0.43519736842105267
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.12,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.7864111498257838,0.047892816759534926,1.7655901567944252,1.8063588850174217,0.44660278745644594,0.011973204189883731,0.44159407665505224,0.45141550522648083
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.1,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.8878985507246373,0.043550093216611345,1.8678985507246377,1.9066666666666658,0.4719746376811593,0.010887523304152836,0.46697463768115943,0.47666666666666657
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.09,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",1.9361933395004627,0.049820234371907225,1.9148936170212767,1.9564523589269196,0.48404833487511567,0.012455058592976806,0.4787234042553192,0.4891195941258095
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.08,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.0137117346938775,0.06536273407865092,1.9859693877551023,2.040561224489796,0.5034279336734694,0.01634068351966273,0.49644451530612255,0.51015625
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.07,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.0958235294117644,0.06376687074341361,2.0678794117647064,2.121,0.5239558823529411,0.015941717685853403,0.5166897058823529,0.5304705882352941
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.06,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.175816400580552,0.06733209715520126,2.146970246734398,2.2038461538461536,0.543954100145138,0.016833024288800316,0.5365384615384616,0.5506485849056604
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.05,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.3144654088050314,0.07336816850691341,2.2843278301886794,2.3461818658280924,0.5786163522012578,0.018342042126728353,0.5709103118448637,0.5862683438155136
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.04,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.479626623376623,0.08703401791068315,2.443731331168831,2.5168392857142856,0.6199066558441557,0.021758504477670786,0.610713372564935,0.6291729910714285
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.03,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.7172413793103454,0.112135857968664,2.6681329401088933,2.7622890199637022,0.6793103448275863,0.028033964492166,0.6670028924682397,0.6911187046279491
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.025,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.945864991233197,0.13910032525523067,2.8890111776738747,3.00530501168907,0.7364662478082993,0.03477508131380767,0.7222632049970776,0.7518306180596143
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.02,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.290889830508475,0.19826445656075156,3.207324152542373,3.370091101694915,0.8227224576271187,0.04956611414018789,0.8012711864406781,0.8441035487288137
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.018,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.5465601555987774,0.23528938431372606,3.4492254098360657,3.6539928973325924,0.8866400388996943,0.058822346078431516,0.8629912171783829,0.9117233780216728
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.016,18,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19",4.153460837887067,0.5255940968874411,3.929376138433516,4.393010018214936,1.0383652094717668,0.13139852422186027,0.9787235314207651,1.0964395491803278
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.015,11,20,False,"0,1,3,5,6,9,10,12,15,16,19",5.63205855487717,1.5312681998896056,4.877535394932936,6.599580549012065,1.4080146387192924,0.3828170499724014,1.2264930171626365,1.6419719755059854
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.014,1,20,False,3,4.622950819672131,0.0,4.622950819672131,4.622950819672131,1.1557377049180328,0.0,1.1557377049180328,1.1557377049180328
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.013,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.012,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.0115,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.011,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.01075,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.0105,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.01025,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.01,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.0095,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.009,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.008,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.007,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.006,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.005,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.004,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.003,0,20,False,,,,,,,,,
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.002,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.2,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.5555384615384624,0.10711691281736462,3.510923076923077,3.6020076923076925,0.4444423076923078,0.013389614102170577,0.43894230769230774,0.4501730769230769
DGFM,DGFM/NOG-ZO,0.18,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.77258064516129,0.08501641166621854,3.7336559139784944,3.8058118279569895,0.4715725806451613,0.010627051458277317,0.4667735215053764,0.47594153225806446
DGFM,DGFM/NOG-ZO,0.16,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.9540336134453775,0.08691268799308412,3.919493697478991,3.991344537815126,0.4942542016806722,0.010864085999135515,0.4898778886554621,0.49894957983193267
DGFM,DGFM/NOG-ZO,0.14,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.2074898785425106,0.09063264062643786,4.168016194331985,4.246558704453442,0.5259362348178138,0.011329080078304733,0.521002024291498,0.5307692307692307
DGFM,DGFM/NOG-ZO,0.12,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.415331010452962,0.09071012607005731,4.374442508710802,4.452793263646923,0.5519163763066203,0.011338765758757164,0.5470238095238096,0.5564096980255517
DGFM,DGFM/NOG-ZO,0.1,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.74584541062802,0.07843957272644882,4.7125120772946865,4.779178743961353,0.5932306763285025,0.009804946590806102,0.5886835748792272,0.5972222222222223
DGFM,DGFM/NOG-ZO,0.09,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.913829787234043,0.10547767091989728,4.869148936170213,4.958510638297873,0.6142287234042554,0.01318470886498716,0.6079787234042554,0.619813829787234
DGFM,DGFM/NOG-ZO,0.08,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.138265306122449,0.0850471704823309,5.101229804421769,5.174023171768708,0.6422831632653061,0.010630896310291363,0.6378611288265306,0.6466731770833334
DGFM,DGFM/NOG-ZO,0.07,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.389294117647058,0.09206895660312026,5.350458823529412,5.428014705882353,0.6736617647058822,0.011508619575390032,0.6687500000000001,0.6782500000000001
DGFM,DGFM/NOG-ZO,0.06,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.6351233671988386,0.11392085320290941,5.5889468432510885,5.684615384615385,0.7043904208998548,0.014240106650363677,0.6982674165457186,0.7103381259071119
DGFM,DGFM/NOG-ZO,0.05,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.044828791055206,0.11026771071888956,5.994618273934312,6.090953004891683,0.7556035988819008,0.013783463839861195,0.7497945055904961,0.7611940950384346
DGFM,DGFM/NOG-ZO,0.04,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.513311688311688,0.13553641943461492,6.457271915584414,6.569936688311688,0.814163961038961,0.016942052429326865,0.8073530844155845,0.8211827313311689
DGFM,DGFM/NOG-ZO,0.03,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.2095886267392615,0.21606895479121369,7.120174682395645,7.300031760435571,0.9011985783424077,0.02700861934890171,0.8900708938294012,0.9126761947973382
DGFM,DGFM/NOG-ZO,0.025,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.687843366452365,0.2381878777662503,7.589616452367039,7.787410870835767,0.9609804208065457,0.029773484720781288,0.9488895382817065,0.9731943125365282
DGFM,DGFM/NOG-ZO,0.02,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.404180790960453,0.30958799125026876,8.264258474576271,8.531082627118646,1.0505225988700566,0.038698498906283595,1.0339157838983053,1.0670176553672317
DGFM,DGFM/NOG-ZO,0.018,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.790805316291564,0.3883504931883913,8.627035507548392,8.957472341854219,1.0988506645364455,0.048543811648548915,1.0779894921621747,1.1186616696188756
DGFM,DGFM/NOG-ZO,0.016,18,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19",9.389101396478445,0.45669921750334164,9.188639951426836,9.590724043715845,1.1736376745598056,0.057087402187917705,1.1495858948087432,1.1981451123254403
DGFM,DGFM/NOG-ZO,0.015,11,20,False,"0,1,3,5,6,9,10,12,15,16,19",9.853168918160986,0.5148108462511101,9.585279433681075,10.15712946492957,1.2316461147701232,0.06435135578138876,1.1982116244411327,1.2695550694678142
DGFM,DGFM/NOG-ZO,0.014,1,20,False,3,11.278688524590164,0.0,11.278688524590164,11.278688524590164,1.4098360655737705,0.0,1.4098360655737705,1.4098360655737705
DGFM,DGFM/NOG-ZO,0.013,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.012,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.0115,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.011,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.01075,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.0105,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.01025,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.01,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.0095,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.009,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.008,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.007,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.006,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.005,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.004,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.003,0,20,False,,,,,,,,,
DGFM,DGFM/NOG-ZO,0.002,0,20,False,,,,,,,,,
DGFM+,DGFM+/NOG-ZO,0.2,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.5196923076923072,0.29536082900179333,3.391523076923077,3.6504730769230758,0.4707836538461539,0.039211244285410694,0.453298076923077,0.4874287259615385
DGFM+,DGFM+/NOG-ZO,0.18,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.752795698924731,0.3079595145852897,3.6219032258064523,3.879903225806452,0.5009744623655914,0.041116306668045055,0.4838794522849462,0.5184423723118279
DGFM+,DGFM+/NOG-ZO,0.16,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.939579831932773,0.28035691935458656,3.82116806722689,4.063277310924369,0.5255514705882354,0.036909223840114636,0.5099012605042017,0.5420252757352941
