method,formal_seed,checkpoints,final_depth,final_work,median_depth_gap,max_depth_gap,median_work_gap,max_work_gap,raw_floor,raw_floor_depth,raw_floor_work,raw_floor_work_fraction,confirmed_floor,confirmed_floor_depth,confirmed_floor_work,confirmed_floor_work_fraction,raw_to_confirmed_floor_gap,final_proxy,final_over_confirmed_floor,last_20_percent_proxy_slope,tail_improving,early_rebound,late_floor,extension_outlook
DGFM,0,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0103654209524393,7424,950272,0.9666666666666667,0.0103778047487139,7416,949248,0.965625,1.2383796274601303e-05,0.0106497006490826,1.0261997510024838,-0.005991698233350843,True,False,True,extension_plausible_but_unproven
DGFM,1,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0103042628616094,4648,594944,0.6052083333333333,0.0103890467435121,4640,593920,0.6041666666666666,8.47838819026999e-05,0.0115152169018983,1.1083997585331387,-0.007105351285515063,True,False,False,extension_plausible_but_unproven
DGFM,2,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0102529237046837,5792,741376,0.7541666666666667,0.0103993201628327,4328,553984,0.5635416666666667,0.0001463964581490014,0.0114273801445961,1.0988583835929677,0.002050006998015671,False,False,False,extension_uncertain
DGFM,3,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0104211987927556,6616,846848,0.8614583333333333,0.0105184894055128,6616,846848,0.8614583333333333,9.729061275719902e-05,0.0118664493784308,1.128151478881704,0.004098815532205212,False,False,True,extension_plausible_but_unproven
DGFM,4,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0106007391586899,5696,729088,0.7416666666666667,0.0106675084680318,6552,838656,0.853125,6.676930934190056e-05,0.0126068806275725,1.1818017923634723,0.007968996078852495,False,False,True,extension_plausible_but_unproven
DGFM,5,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0107632856816053,6808,871424,0.8864583333333333,0.0108514837920665,4712,603136,0.6135416666666667,8.819811046120035e-05,0.01264872495085,1.1656216968316775,0.002007944307726357,False,False,False,extension_uncertain
DGFM,6,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0107283936813473,6536,836608,0.8510416666666667,0.0109175546094775,6528,835584,0.85,0.00018916092813019841,0.0123189976438879,1.1283660200970107,0.0043441140026034795,False,False,True,extension_plausible_but_unproven
DGFM,7,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0102979419752955,5864,750592,0.7635416666666667,0.0104344831779599,5808,743424,0.75625,0.0001365412026643996,0.0109236948192119,1.0468841276475802,-0.0069488958181174705,True,False,False,extension_plausible_but_unproven
DGFM,8,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0105256671085953,6448,825344,0.8395833333333333,0.0105638606473803,6440,824320,0.8385416666666666,3.8193538784999856e-05,0.0111396051943302,1.0545013386836637,0.001813392202495893,False,False,True,extension_plausible_but_unproven
DGFM,9,961,7680,983040,8.0,8.0,1024.0,1024.0,0.0103962449356913,5696,729088,0.7416666666666667,0.0104599436745047,5696,729088,0.7416666666666667,6.369873881340027e-05,0.0114100230857729,1.0908302607387785,0.001884012779437299,False,False,False,extension_uncertain
