method,formal_seeds,anomaly_seeds,formal_early_rebound_rate,anomaly_early_rebound_rate,formal_late_floor_rate,anomaly_late_floor_rate,formal_mean_confirmed_floor,anomaly_mean_confirmed_floor,difference_confirmed_floor,difference_confirmed_floor_ci_low,difference_confirmed_floor_ci_high,formal_mean_confirmed_floor_work_fraction,anomaly_mean_confirmed_floor_work_fraction,difference_confirmed_floor_work_fraction,difference_confirmed_floor_work_fraction_ci_low,difference_confirmed_floor_work_fraction_ci_high,formal_mean_final_over_confirmed_floor,anomaly_mean_final_over_confirmed_floor,difference_final_over_confirmed_floor,difference_final_over_confirmed_floor_ci_low,difference_final_over_confirmed_floor_ci_high,trajectory_pattern_replicated,budget_extension_decision
NOG-ZO,20,5,1.0,1.0,0.0,0.0,0.014928465243428893,0.01463047042489048,-0.0002979948185384135,-0.0007104286877438012,9.904639679008076e-05,0.2539583333333333,0.25416666666666665,0.0002083333333333659,-0.0022916666666666363,0.002708333333333368,1.972510557160841,1.92077619880469,-0.05173435835615092,-0.16800243386802322,0.06015774292646951,True,do_not_extend_same_frozen_configuration
ME-DOL-ZO,20,5,0.0,0.0,0.45,0.0,0.012711082212626883,0.01292517818510526,0.00021409597247837656,-0.00012132932199168016,0.0005298655445221902,0.73265625,0.594375,-0.13828125000000002,-0.2509374999999998,-0.03374609374999997,1.1217112420313293,1.125038873731874,0.00332763170054462,-0.062224293623905726,0.0882581571329557,True,no_extension_needed_for_current_paper_claim
DGFM,20,5,0.0,0.0,0.5,0.2,0.01050715991295869,0.01040323246270414,-0.00010392745025454911,-0.0006339589064009424,0.00041755710262804846,0.7699479166666666,0.7902083333333333,0.02026041666666667,-0.0669348958333333,0.12630729166666646,1.105480915943336,1.074146647697003,-0.03133426824633312,-0.07371904710415011,0.01734726745728052,True,no_extension_needed_for_current_paper_claim
DGFM+,20,5,0.0,0.0,0.5,0.0,0.026756818220019296,0.02647647745907302,-0.0002803407609462752,-0.0010965755954384917,0.0005091885384172349,0.7143359374999999,0.6036458333333334,-0.11069010416666647,-0.2645983072916666,0.033125325520833235,1.0830686752297563,1.1131081462055328,0.030039470975776528,-0.028332981682990872,0.08802428222643166,True,no_extension_needed_for_current_paper_claim
