baseline,ratio_direction,complete_pairing_points,formal_seeds,epsilon_high,epsilon_low,theory_depth_ratio_exponent,observed_depth_ratio_slope,depth_slope_ci_low,depth_slope_ci_high,depth_spearman,depth_ratio_high_epsilon,depth_ratio_low_epsilon,observed_depth_ratio_growth,theory_depth_ratio_growth,theory_work_ratio_exponent,observed_work_ratio_slope,work_slope_ci_low,work_slope_ci_high,work_spearman,work_ratio_high_epsilon,work_ratio_low_epsilon,observed_work_ratio_growth,theory_work_ratio_growth,depth_direction_supported,exact_depth_exponent_inside_ci,work_direction_supported,exact_work_exponent_inside_ci
ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,16,20,0.2,0.018,1.3333333333333333,0.3189365933667661,0.30770868736372753,0.3306490604769013,1.0,1.5962307692307696,3.5465601555987774,2.221834225954609,24.79381296600628,0.0,0.31893659336676594,0.30721099985350436,0.3303768347178799,1.0,0.3990576923076924,0.8866400388996943,2.221834225954609,1.0,True,False,False,False
DGFM,DGFM/NOG-ZO,16,20,0.2,0.018,2.3333333333333335,0.3629267784941298,0.3568149260463951,0.3692268333915988,1.0,3.555538461538462,8.790805316291562,2.472425881869895,275.4868107334033,1.0,0.36292677849412974,0.3569385749664247,0.36940071304249666,1.0,0.44444230769230775,1.0988506645364453,2.472425881869895,11.111111111111112,True,False,True,False
DGFM+,DGFM+/NOG-ZO,13,20,0.2,0.03,1.3333333333333333,0.5293657303652822,0.4963520184602423,0.5609796232453644,1.0,3.5196923076923072,11.3870538415003,3.2352412785100078,12.547147051747045,0.0,0.5266988269274937,0.49178188998142414,0.5590076981276445,1.0,0.4707836538461539,1.5140350877192985,3.215989075555427,1.0,True,False,False,False
