method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
NOG-ZO,8,0.2,True,104.0,106496.0,0.1985096633434295,960.0,983040.0,104.0,106496.0
NOG-ZO,8,0.18,True,120.0,122880.0,0.1798785924911499,960.0,983040.0,120.0,122880.0
NOG-ZO,8,0.16,True,136.0,139264.0,0.159381166100502,960.0,983040.0,136.0,139264.0
NOG-ZO,8,0.14,True,152.0,155648.0,0.137658342719078,960.0,983040.0,152.0,155648.0
NOG-ZO,8,0.12,True,164.0,167936.0,0.1199324652552604,960.0,983040.0,164.0,167936.0
NOG-ZO,8,0.1,True,180.0,184320.0,0.0958914756774902,960.0,983040.0,180.0,184320.0
NOG-ZO,8,0.09,True,188.0,192512.0,0.0842782855033874,960.0,983040.0,188.0,192512.0
NOG-ZO,8,0.08,True,192.0,196608.0,0.0784100070595741,960.0,983040.0,192.0,196608.0
NOG-ZO,8,0.07,True,200.0,204800.0,0.0659058317542076,960.0,983040.0,200.0,204800.0
NOG-ZO,8,0.06,True,208.0,212992.0,0.0540035553276538,960.0,983040.0,208.0,212992.0
NOG-ZO,8,0.05,True,212.0,217088.0,0.04791771620512,960.0,983040.0,212.0,217088.0
NOG-ZO,8,0.04,True,220.0,225280.0,0.0367248505353927,960.0,983040.0,220.0,225280.0
NOG-ZO,8,0.03,True,228.0,233472.0,0.0267795082181692,960.0,983040.0,228.0,233472.0
