dataset,method,objective_mean,objective_std,stat_proxy_mean,stat_proxy_std,accuracy_mean,accuracy_std,depth_mean,depth_std,total_work_mean,total_work_std,seed_count
a9a,DGFM,0.37400053590536114,0.003862649824649407,0.015529584279283826,0.005596079037988091,0.8411995947360993,0.0015150423864350845,7680.0,0.0,983040.0,0.0,20
a9a,DGFM+,0.40520985424518585,0.010729179535887317,0.02482285909354681,0.009564281859036303,0.8292051792144776,0.0050729571709336885,6822.0,0.0,983040.0,0.0,20
a9a,ME-DOL-ZO,0.40592401176691056,0.00863032655970356,0.019227203261107165,0.007281080409102405,0.833787351846695,0.0031615834058817613,3840.0,0.0,983040.0,0.0,20
a9a,NOG-ZO,0.3871292546391487,0.0011621385348482432,0.01820993507280941,0.002956299280438569,0.8333405017852783,0.0009423101592568179,7680.0,0.0,983040.0,0.0,20
ijcnn1,DGFM,0.18589050173759458,0.004158354558017705,0.014959065197035609,0.004593847872517593,0.9256451278924942,0.0024531778870385446,7680.0,0.0,983040.0,0.0,20
ijcnn1,DGFM+,0.1971411764621734,0.0028605766678237144,0.020709831546992005,0.005879698828359572,0.9038977861404419,0.000998890346728961,6822.0,0.0,983040.0,0.0,20
ijcnn1,ME-DOL-ZO,0.1821330919861793,0.0026728598663711516,0.014787883590906811,0.0032400227810600907,0.9232046395540238,0.0027120595550632707,3840.0,0.0,983040.0,0.0,20
ijcnn1,NOG-ZO,0.19195927307009694,0.0010448759631368557,0.01232702936977142,0.0020866597202601317,0.9045088976621628,0.0006427397174075341,7680.0,0.0,983040.0,0.0,20
