method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,small_batch,large_batch,restart_period,restart_mixing_rounds,candidate_id,candidate_parameters,batch_size,epoch_length,domain_radius,theory_multiplier
DGFM+,DGFM+,1,1,8,x_bar,0.4961328506469726,101,100101,200101,845318908,szo,2048,2048,256,"[256, 256, 256, 256, 256, 256, 256, 256]",8192,2,2,0.7267054319381714,0.0103661585599184,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,48,48,8,x_bar,6.004724740982056,101,100101,200101,845318908,szo,27648,27648,3456,"[3456, 3456, 3456, 3456, 3456, 3456, 3456, 3456]",16384,96,96,0.7267540693283081,0.0101699102669954,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,96,96,8,x_bar,11.966282844543455,101,100101,200101,845318908,szo,55296,55296,6912,"[6912, 6912, 6912, 6912, 6912, 6912, 6912, 6912]",24576,192,192,0.726762592792511,0.0113949347287416,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,144,144,8,x_bar,17.847506284713745,101,100101,200101,845318908,szo,82944,82944,10368,"[10368, 10368, 10368, 10368, 10368, 10368, 10368, 10368]",32768,288,288,0.7267650961875916,0.0118863172829151,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,192,192,8,x_bar,23.714629888534542,101,100101,200101,845318908,szo,110592,110592,13824,"[13824, 13824, 13824, 13824, 13824, 13824, 13824, 13824]",40960,384,384,0.7267748713493347,0.0115642305463552,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,240,240,8,x_bar,29.654860258102417,101,100101,200101,845318908,szo,138240,138240,17280,"[17280, 17280, 17280, 17280, 17280, 17280, 17280, 17280]",49152,480,480,0.7267744541168213,0.0105836112052202,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,288,288,8,x_bar,35.604917764663696,101,100101,200101,845318908,szo,165888,165888,20736,"[20736, 20736, 20736, 20736, 20736, 20736, 20736, 20736]",57344,576,576,0.7267727255821228,0.0119682317599654,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,336,336,8,x_bar,41.513622522354126,101,100101,200101,845318908,szo,193536,193536,24192,"[24192, 24192, 24192, 24192, 24192, 24192, 24192, 24192]",65536,672,672,0.7267734408378601,0.0107835009694099,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,384,384,8,x_bar,47.42096304893494,101,100101,200101,845318908,szo,221184,221184,27648,"[27648, 27648, 27648, 27648, 27648, 27648, 27648, 27648]",73728,768,768,0.7267836928367615,0.0109552107751369,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
DGFM+,DGFM+,432,432,8,x_bar,53.41684627532959,101,100101,200101,845318908,szo,248832,248832,31104,"[31104, 31104, 31104, 31104, 31104, 31104, 31104, 31104]",81920,864,864,0.7267959713935852,0.011564802378416,0.1,0.001,16.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-16,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 16}",,,,
