dataset,method,budget_view,target_index,target_budget,epsilon_mean,epsilon_std,epsilon_ci95_low,epsilon_ci95_high,actual_budget_min,actual_budget_max,seed_count,clipped_above_0p05
a9a,NOG-ZO,communication_depth,0,0.0,0.35905738174915314,0.005119408878775069,0.35666142464199974,0.36145333885630654,0.0,0.0,20,True
a9a,NOG-ZO,communication_depth,1,768.0,0.35905738472938536,0.005119410766836574,0.356661426738592,0.3614533427201787,771.0,771.0,20,True
a9a,NOG-ZO,communication_depth,2,1536.0,0.28543855249881744,0.00654287299906592,0.28237639367647605,0.28850071132115884,1539.0,1539.0,20,True
a9a,NOG-ZO,communication_depth,3,2304.0,0.03743806611746544,0.002206990528112923,0.03640516275567778,0.038470969479253096,2307.0,2307.0,20,False
a9a,NOG-ZO,communication_depth,4,3072.0,0.029783671908080532,0.0018840732364446252,0.02890189849084626,0.030665445325314802,3075.0,3075.0,20,False
a9a,NOG-ZO,communication_depth,5,3840.0,0.028373418748378704,0.003009706842287685,0.02696483258736225,0.029782004909395157,3843.0,3843.0,20,False
a9a,ME-DOL-ZO,communication_depth,0,0.0,0.35905738174915314,0.005119408878775069,0.35666142464199974,0.36145333885630654,0.0,0.0,20,True
a9a,ME-DOL-ZO,communication_depth,1,768.0,0.021998708415776433,0.007924558655682128,0.018289900801121042,0.025707516030431823,774.0,774.0,20,False
a9a,ME-DOL-ZO,communication_depth,2,1536.0,0.021951541770249546,0.00776933072293842,0.018315383064382823,0.02558770047611627,1542.0,1542.0,20,False
a9a,ME-DOL-ZO,communication_depth,3,2304.0,0.019194952631369194,0.007205091814784565,0.015822865863129604,0.022567039399608784,2310.0,2310.0,20,False
a9a,ME-DOL-ZO,communication_depth,4,3072.0,0.02299877307377751,0.009295126034809077,0.01864852018084665,0.02734902596670837,3078.0,3078.0,20,False
a9a,ME-DOL-ZO,communication_depth,5,3840.0,0.01922720326110717,0.007281080409102406,0.015819552736010167,0.02263485378620417,3840.0,3840.0,20,False
a9a,DGFM,communication_depth,0,0.0,0.35905738174915314,0.005119408878775069,0.35666142464199974,0.36145333885630654,0.0,0.0,20,True
a9a,DGFM,communication_depth,1,768.0,0.026227398309856605,0.008395911443890494,0.022297990799856535,0.030156805819856674,768.0,768.0,20,False
a9a,DGFM,communication_depth,2,1536.0,0.01936602056957776,0.006389736391508596,0.016375531885709494,0.022356509253446028,1536.0,1536.0,20,False
a9a,DGFM,communication_depth,3,2304.0,0.02014205530285831,0.006639915494950384,0.017034479194416908,0.023249631411299713,2304.0,2304.0,20,False
a9a,DGFM,communication_depth,4,3072.0,0.018394999438896723,0.006700516824637109,0.015259061035119263,0.021530937842674184,3072.0,3072.0,20,False
a9a,DGFM,communication_depth,5,3840.0,0.017254379903897592,0.007454144655323227,0.013765732818348845,0.020743026989446342,3840.0,3840.0,20,False
a9a,DGFM+,communication_depth,0,0.0,0.35905738174915314,0.005119408878775069,0.35666142464199974,0.36145333885630654,0.0,0.0,20,True
a9a,DGFM+,communication_depth,1,768.0,0.04895397815853354,0.015417932724086078,0.04173816352785581,0.056169792789211276,768.0,768.0,20,False
a9a,DGFM+,communication_depth,2,1536.0,0.036299725901335414,0.00861546444256866,0.03226756442500132,0.04033188737766951,1536.0,1536.0,20,False
a9a,DGFM+,communication_depth,3,2304.0,0.03218994718044991,0.011079903659088753,0.027004392647263193,0.03737550171363663,2304.0,2304.0,20,False
a9a,DGFM+,communication_depth,4,3072.0,0.032041536457836584,0.0106159409409735,0.02707312316072719,0.037009949754945974,3072.0,3072.0,20,False
a9a,DGFM+,communication_depth,5,3840.0,0.028852636460214805,0.009611709460442482,0.024354217963282646,0.033351054957146964,3840.0,3840.0,20,False
ijcnn1,NOG-ZO,communication_depth,0,0.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,0.0,0.0,20,True
ijcnn1,NOG-ZO,communication_depth,1,768.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,771.0,771.0,20,True
ijcnn1,NOG-ZO,communication_depth,2,1536.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,1539.0,1539.0,20,True
ijcnn1,NOG-ZO,communication_depth,3,2304.0,0.204595997929573,0.003094550179938735,0.20314770386425485,0.20604429199489116,2307.0,2307.0,20,True
ijcnn1,NOG-ZO,communication_depth,4,3072.0,0.10042353533208366,0.0027190413749512954,0.09915098479720288,0.10169608586696444,3075.0,3075.0,20,True
ijcnn1,NOG-ZO,communication_depth,5,3840.0,0.027963799051940387,0.0040306172552917775,0.026077412110067116,0.029850185993813658,3843.0,3843.0,20,False
ijcnn1,ME-DOL-ZO,communication_depth,0,0.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,0.0,0.0,20,True
ijcnn1,ME-DOL-ZO,communication_depth,1,768.0,0.0200606442522257,0.0040996410185032426,0.01814195319479045,0.021979335309660952,774.0,774.0,20,False
ijcnn1,ME-DOL-ZO,communication_depth,2,1536.0,0.015353254461660932,0.0035490912601125126,0.013692228622553284,0.01701428030076858,1542.0,1542.0,20,False
ijcnn1,ME-DOL-ZO,communication_depth,3,2304.0,0.013961978582665274,0.0030615495667636107,0.012529129279730761,0.015394827885599786,2310.0,2310.0,20,False
ijcnn1,ME-DOL-ZO,communication_depth,4,3072.0,0.017478964198380666,0.005439341948150437,0.014933273805698685,0.020024654591062646,3078.0,3078.0,20,False
ijcnn1,ME-DOL-ZO,communication_depth,5,3840.0,0.014787883590906811,0.00324002278106009,0.013271506252537773,0.01630426092927585,3840.0,3840.0,20,False
ijcnn1,DGFM,communication_depth,0,0.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,0.0,0.0,20,True
ijcnn1,DGFM,communication_depth,1,768.0,0.026496231090277385,0.008670825661074032,0.022438159766130866,0.030554302414423903,768.0,768.0,20,False
ijcnn1,DGFM,communication_depth,2,1536.0,0.020816063601523598,0.007849521519510086,0.017142374447606364,0.02448975275544083,1536.0,1536.0,20,False
ijcnn1,DGFM,communication_depth,3,2304.0,0.017805677838623468,0.003217907194344614,0.016299650913441682,0.019311704763805254,2304.0,2304.0,20,False
ijcnn1,DGFM,communication_depth,4,3072.0,0.018764992989599667,0.007221129242587046,0.01538540047410806,0.022144585505091272,3072.0,3072.0,20,False
ijcnn1,DGFM,communication_depth,5,3840.0,0.016875444399192883,0.005465366476033316,0.014317574152543814,0.019433314645841953,3840.0,3840.0,20,False
ijcnn1,DGFM+,communication_depth,0,0.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,0.0,0.0,20,True
ijcnn1,DGFM+,communication_depth,1,768.0,0.03256210898980495,0.0049218751167056625,0.03025860052903635,0.03486561745057355,768.0,768.0,20,False
ijcnn1,DGFM+,communication_depth,2,1536.0,0.033012447878718335,0.009452186356606412,0.02858868849252371,0.03743620726491296,1536.0,1536.0,20,False
ijcnn1,DGFM+,communication_depth,3,2304.0,0.032927654497325376,0.008869374789228883,0.0287766593208384,0.03707864967381235,2304.0,2304.0,20,False
ijcnn1,DGFM+,communication_depth,4,3072.0,0.02767243301495905,0.00917405255214416,0.02337884425613975,0.03196602177377835,3072.0,3072.0,20,False
ijcnn1,DGFM+,communication_depth,5,3840.0,0.02858684351667758,0.009253737281398068,0.024255961156603053,0.0329177258767521,3840.0,3840.0,20,False
a9a,NOG-ZO,training_work,0,0.0,0.35905738174915314,0.005119408878775069,0.35666142464199974,0.36145333885630654,0.0,0.0,20,True
a9a,NOG-ZO,training_work,1,98304.0,0.35905738472938536,0.005119410766836574,0.356661426738592,0.3614533427201787,98688.0,98688.0,20,True
a9a,NOG-ZO,training_work,2,196608.0,0.28543855249881744,0.00654287299906592,0.28237639367647605,0.28850071132115884,196992.0,196992.0,20,True
a9a,NOG-ZO,training_work,3,294912.0,0.03743806611746544,0.002206990528112923,0.03640516275567778,0.038470969479253096,295296.0,295296.0,20,False
a9a,NOG-ZO,training_work,4,393216.0,0.029783671908080532,0.0018840732364446252,0.02890189849084626,0.030665445325314802,393600.0,393600.0,20,False
a9a,NOG-ZO,training_work,5,491520.0,0.028373418748378704,0.003009706842287685,0.02696483258736225,0.029782004909395157,491904.0,491904.0,20,False
a9a,NOG-ZO,training_work,6,589824.0,0.027724280860274987,0.0028853065384261134,0.026373915833617406,0.02907464588693257,590208.0,590208.0,20,False
a9a,NOG-ZO,training_work,7,688128.0,0.02747469581663604,0.002358805292034768,0.026370740958239585,0.028578650675032496,688512.0,688512.0,20,False
a9a,NOG-ZO,training_work,8,786432.0,0.025980262737721166,0.002213059140613531,0.0249445191778568,0.02701600629758553,786816.0,786816.0,20,False
a9a,NOG-ZO,training_work,9,884736.0,0.025189378671348045,0.0019459864062308253,0.024278628998712363,0.026100128343983727,885120.0,885120.0,20,False
a9a,NOG-ZO,training_work,10,983040.0,0.025172236748039672,0.0030683366181247884,0.023736211007291636,0.02660826248878771,983040.0,983040.0,20,False
a9a,ME-DOL-ZO,training_work,0,0.0,0.35905738174915314,0.005119408878775069,0.35666142464199974,0.36145333885630654,0.0,0.0,20,True
a9a,ME-DOL-ZO,training_work,1,98304.0,0.028999175783246716,0.014976445182927909,0.021989983682045605,0.03600836788444783,99840.0,99840.0,20,False
a9a,ME-DOL-ZO,training_work,2,196608.0,0.021998708415776433,0.007924558655682128,0.018289900801121042,0.025707516030431823,198144.0,198144.0,20,False
a9a,ME-DOL-ZO,training_work,3,294912.0,0.02295353002846236,0.00940752359416607,0.018550673458516253,0.02735638659840847,296448.0,296448.0,20,False
a9a,ME-DOL-ZO,training_work,4,393216.0,0.021951541770249546,0.00776933072293842,0.018315383064382823,0.02558770047611627,394752.0,394752.0,20,False
a9a,ME-DOL-ZO,training_work,5,491520.0,0.02217997317202386,0.009176354874160401,0.01788530689333295,0.02647463945071477,493056.0,493056.0,20,False
a9a,ME-DOL-ZO,training_work,6,589824.0,0.019194952631369194,0.007205091814784565,0.015822865863129604,0.022567039399608784,591360.0,591360.0,20,False
a9a,ME-DOL-ZO,training_work,7,688128.0,0.019984523858874993,0.007922951109855844,0.016276468598825138,0.023692579118924847,689664.0,689664.0,20,False
a9a,ME-DOL-ZO,training_work,8,786432.0,0.02299877307377751,0.009295126034809077,0.01864852018084665,0.02734902596670837,787968.0,787968.0,20,False
a9a,ME-DOL-ZO,training_work,9,884736.0,0.019684031419455964,0.009264750434166613,0.015347994745226662,0.024020068093685266,886272.0,886272.0,20,False
a9a,ME-DOL-ZO,training_work,10,983040.0,0.01922720326110717,0.007281080409102406,0.015819552736010167,0.02263485378620417,983040.0,983040.0,20,False
a9a,DGFM,training_work,0,0.0,0.35905738174915314,0.005119408878775069,0.35666142464199974,0.36145333885630654,0.0,0.0,20,True
a9a,DGFM,training_work,1,98304.0,0.026227398309856605,0.008395911443890494,0.022297990799856535,0.030156805819856674,98304.0,98304.0,20,False
a9a,DGFM,training_work,2,196608.0,0.01936602056957776,0.006389736391508596,0.016375531885709494,0.022356509253446028,196608.0,196608.0,20,False
a9a,DGFM,training_work,3,294912.0,0.02014205530285831,0.006639915494950384,0.017034479194416908,0.023249631411299713,294912.0,294912.0,20,False
a9a,DGFM,training_work,4,393216.0,0.018394999438896723,0.006700516824637109,0.015259061035119263,0.021530937842674184,393216.0,393216.0,20,False
a9a,DGFM,training_work,5,491520.0,0.017254379903897592,0.007454144655323227,0.013765732818348845,0.020743026989446342,491520.0,491520.0,20,False
a9a,DGFM,training_work,6,589824.0,0.017537905415520035,0.0068020341578955874,0.014354455437285543,0.020721355393754526,589824.0,589824.0,20,False
a9a,DGFM,training_work,7,688128.0,0.014330216404050545,0.003925740678821444,0.012492913210851816,0.016167519597249273,688128.0,688128.0,20,False
a9a,DGFM,training_work,8,786432.0,0.01562926550395782,0.004398883932723259,0.013570524451675843,0.017688006556239796,786432.0,786432.0,20,False
a9a,DGFM,training_work,9,884736.0,0.01675460636615748,0.006664253355192979,0.013635639788503332,0.019873572943811632,884736.0,884736.0,20,False
a9a,DGFM,training_work,10,983040.0,0.0158778560115024,0.006015814707039677,0.01306236806280425,0.01869334396020055,983040.0,983040.0,20,False
a9a,DGFM+,training_work,0,0.0,0.35905738174915314,0.005119408878775069,0.35666142464199974,0.36145333885630654,0.0,0.0,20,True
a9a,DGFM+,training_work,1,98304.0,0.04895397815853354,0.015417932724086078,0.04173816352785581,0.056169792789211276,110592.0,110592.0,20,False
a9a,DGFM+,training_work,2,196608.0,0.036299725901335414,0.00861546444256866,0.03226756442500132,0.04033188737766951,221184.0,221184.0,20,False
a9a,DGFM+,training_work,3,294912.0,0.03218994718044991,0.011079903659088753,0.027004392647263193,0.03737550171363663,331776.0,331776.0,20,False
a9a,DGFM+,training_work,4,393216.0,0.032041536457836584,0.0106159409409735,0.02707312316072719,0.037009949754945974,442368.0,442368.0,20,False
a9a,DGFM+,training_work,5,491520.0,0.032041536457836584,0.0106159409409735,0.02707312316072719,0.037009949754945974,442368.0,442368.0,20,False
a9a,DGFM+,training_work,6,589824.0,0.028852636460214805,0.009611709460442482,0.024354217963282646,0.033351054957146964,552960.0,552960.0,20,False
a9a,DGFM+,training_work,7,688128.0,0.022368752397596798,0.006539788144549292,0.01930803733161062,0.025429467463582975,663552.0,663552.0,20,False
a9a,DGFM+,training_work,8,786432.0,0.02371126930229361,0.009744409930074192,0.019150745073847238,0.028271793530739983,774144.0,774144.0,20,False
a9a,DGFM+,training_work,9,884736.0,0.0250504037830978,0.011195450179304864,0.019810771813848806,0.030290035752346796,884736.0,884736.0,20,False
a9a,DGFM+,training_work,10,983040.0,0.02617442617192859,0.009426085608028347,0.021762882312084463,0.030585970031772717,983040.0,983040.0,20,False
ijcnn1,NOG-ZO,training_work,0,0.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,0.0,0.0,20,True
ijcnn1,NOG-ZO,training_work,1,98304.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,98688.0,98688.0,20,True
ijcnn1,NOG-ZO,training_work,2,196608.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,196992.0,196992.0,20,True
ijcnn1,NOG-ZO,training_work,3,294912.0,0.204595997929573,0.003094550179938735,0.20314770386425485,0.20604429199489116,295296.0,295296.0,20,True
ijcnn1,NOG-ZO,training_work,4,393216.0,0.10042353533208366,0.0027190413749512954,0.09915098479720288,0.10169608586696444,393600.0,393600.0,20,True
ijcnn1,NOG-ZO,training_work,5,491520.0,0.027963799051940387,0.0040306172552917775,0.026077412110067116,0.029850185993813658,491904.0,491904.0,20,False
ijcnn1,NOG-ZO,training_work,6,589824.0,0.01836356548592442,0.002995019678248539,0.0169618531292664,0.019765277842582443,590208.0,590208.0,20,False
ijcnn1,NOG-ZO,training_work,7,688128.0,0.018207833170890766,0.004485100334151621,0.016108741600678506,0.020306924741103027,688512.0,688512.0,20,False
ijcnn1,NOG-ZO,training_work,8,786432.0,0.01471509709954257,0.0023892365612546694,0.013596899968748334,0.015833294230336806,786816.0,786816.0,20,False
ijcnn1,NOG-ZO,training_work,9,884736.0,0.013414586987346353,0.0029491656278429396,0.01203433498686667,0.014794838987826036,885120.0,885120.0,20,False
ijcnn1,NOG-ZO,training_work,10,983040.0,0.01232702936977142,0.0020866597202601317,0.011350442559584032,0.013303616179958807,983040.0,983040.0,20,False
ijcnn1,ME-DOL-ZO,training_work,0,0.0,0.3039053663611412,0.002228775927301437,0.3028622671186857,0.3049484656035967,0.0,0.0,20,True
ijcnn1,ME-DOL-ZO,training_work,1,98304.0,0.025083170644938906,0.004785080346860917,0.02284368410716805,0.02732265718270976,99840.0,99840.0,20,False
