dataset,search_seed,candidate_id,candidate_parameters,epsilon_25,epsilon_50,epsilon_75,epsilon_100,actual_work_25,actual_work_50,actual_work_75,actual_work_100,final_epsilon,final_depth,final_work,log_epsilon_score
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-3em05__smooth_B-8,"{""M"": 2, ""data_B_total"": 128, ""eta"": 3e-05, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,204800,401408,598016,983040,0.3627978265285492,480,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-9em05__smooth_B-1,"{""M"": 2, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.0487865656614303,222208,467968,713728,983040,0.0487865656614303,3840,983040,-1.515507238149988
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-9em05__smooth_B-2,"{""M"": 2, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-9em05__smooth_B-4,"{""M"": 2, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-9em05__smooth_B-8,"{""M"": 2, ""data_B_total"": 128, ""eta"": 9e-05, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,204800,401408,598016,983040,0.3627978265285492,480,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-9em06__smooth_B-1,"{""M"": 2, ""data_B_total"": 128, ""eta"": 9e-06, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.2836157083511352,0.0996078103780746,222208,467968,713728,983040,0.0996078103780746,3840,983040,-1.3986172249835527
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-9em06__smooth_B-2,"{""M"": 2, ""data_B_total"": 128, ""eta"": 9e-06, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-9em06__smooth_B-4,"{""M"": 2, ""data_B_total"": 128, ""eta"": 9e-06, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-128__eta-9em06__smooth_B-8,"{""M"": 2, ""data_B_total"": 128, ""eta"": 9e-06, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,204800,401408,598016,983040,0.3627978265285492,480,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-0p0003__smooth_B-1,"{""M"": 2, ""data_B_total"": 256, ""eta"": 0.0003, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-0p0003__smooth_B-2,"{""M"": 2, ""data_B_total"": 256, ""eta"": 0.0003, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-0p0003__smooth_B-4,"{""M"": 2, ""data_B_total"": 256, ""eta"": 0.0003, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,204800,401408,598016,983040,0.3627978265285492,480,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-256__eta-0p0003__smooth_B-8,"{""M"": 2, ""data_B_total"": 256, ""eta"": 0.0003, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,16384,409600,409600,983040,0.3627978265285492,240,983040,-1.0139095515844887
