dataset,method,objective_mean,objective_std,stat_proxy_mean,stat_proxy_std,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,depth_mean,total_work_mean,seed_count,objective_ci95_low,objective_ci95_high,stat_proxy_ci95_low,stat_proxy_ci95_high,train_accuracy_ci95_low,train_accuracy_ci95_high,test_accuracy_ci95_low,test_accuracy_ci95_high
a9a,DGFM,0.3738174214959144,0.0040583674452488,0.0158778560115024,0.0060158147070396,0.840998438000679,0.0015982998296361,0.8437872380018234,0.0022464566543222,7680.0,983040.0,20,0.3719180470653629,0.3757167959264659,0.013062368062804286,0.01869334396020051,0.8402504106547767,0.8417464653465813,0.8427358639244078,0.844838612079239
a9a,DGFM+,0.406475031375885,0.0125845926126435,0.0261744261719285,0.0094260856080283,0.8287460416555404,0.0053701327614254,0.8308396220207215,0.0058825483856068,6822.0,983040.0,20,0.4005852607353911,0.4123648020163789,0.021762882312084394,0.030585970031772606,0.8262327421592961,0.8312593411517848,0.8280865046303323,0.8335927394111107
a9a,ME-DOL-ZO,0.4059240117669105,0.0086303265597035,0.0192272032611071,0.0072810804091024,0.833787351846695,0.0031615834058817,0.8343160718679428,0.0031809199036484,3840.0,983040.0,20,0.40188489460564875,0.40996312892817227,0.0158195527360101,0.0226348537862041,0.8323076852659328,0.8352670184274571,0.8328273555276579,0.8358047882082277
a9a,NOG-ZO,0.416908323764801,0.0015620387487659,0.0251722367480396,0.0030683366181247,0.7978010535240173,0.0036846045413484,0.8010718017816544,0.0035866515310452,7680.0,983040.0,20,0.41617726712713504,0.417639380402467,0.023736211007291605,0.026608262488787594,0.7960766055170424,0.7995255015309922,0.7993931971946446,0.8027504063686641
ijcnn1,DGFM,0.1858905017375945,0.0041583545580177,0.0149590651970356,0.0045938478725175,0.9256451278924942,0.0024531778870385,0.924488827586174,0.0043438581195402,7680.0,983040.0,20,0.18394433189781995,0.18783667157736905,0.012809078212215334,0.017109052181855867,0.9244970053000734,0.926793250484915,0.9224558394071817,0.9265218157651663
ijcnn1,DGFM+,0.1971411764621734,0.0028605766678237,0.020709831546992,0.0058796988283595,0.903897786140442,0.0009988903467289,0.9051989585161208,0.0003464856451746,6822.0,983040.0,20,0.1958023853712244,0.19847996755312242,0.01795804779044625,0.023461615303537745,0.9034302910678303,0.9043652812130537,0.905036798242593,0.9053611187896485
ijcnn1,ME-DOL-ZO,0.1821330919861793,0.0026728598663711,0.0147878835909068,0.00324002278106,0.9232046395540238,0.0027120595550632,0.9199561655521392,0.004078952304916,3840.0,983040.0,20,0.18088215506262004,0.18338402890973857,0.013271506252537804,0.016304260929275796,0.921935356611433,0.9244739224966145,0.9180471571107112,0.9218651739935673
ijcnn1,NOG-ZO,0.1919592663645744,0.0010448768877057,0.0123270293697714,0.0020866597202601,0.9045088976621628,0.0006427397174075,0.9053499966859816,0.0001759865802687,7680.0,983040.0,20,0.19147024892828832,0.19244828380086046,0.011350442559584027,0.013303616179958774,0.9042080862148965,0.9048097091094291,0.9052676324310953,0.9054323609408679
