dataset,method,objective_mean,objective_std,stat_proxy_mean,stat_proxy_std,train_accuracy_mean,train_accuracy_std,depth_mean,total_work_mean,seeds
a9a,NOG-ZO,0.41710883378982544,,0.023669911548495293,,0.7951537370681763,,7680.0,983040.0,1
ijcnn1,NOG-ZO,0.1904640942811966,,0.01148128416389227,,0.9050610065460205,,7680.0,983040.0,1
