epsilon,nog_hit_rate,me_dol_hit_rate,full_hit_comparison,ratios_are_hit_only_if_not_full_hit,nog_depth_mean,me_dol_depth_mean,depth_improvement_me_over_nog,nog_total_work_mean,me_dol_total_work_mean,total_work_ratio_nog_over_me,nog_per_worker_work_mean,me_dol_per_worker_work_mean,per_worker_work_ratio_nog_over_me,nog_training_time_mean,me_dol_training_time_mean,training_time_improvement_me_over_nog
0.011,1.0,1.0,True,False,15.6,111.6,7.153846153846153,3993.6,892.8,4.473118279569893,499.2,111.6,4.473118279569893,0.6634018808603287,3.1924529910087585,4.812245914751772
0.01,1.0,1.0,True,False,34.8,213.6,6.137931034482759,17817.6,1708.8,10.42696629213483,2227.2,213.6,10.42696629213483,1.3753470361232758,7.575043514370918,5.5077324598181985
0.009,1.0,1.0,True,False,54.0,578.4,10.71111111111111,13824.0,4627.2,2.987551867219917,1728.0,578.4,2.987551867219917,2.501673212647438,19.913025051355362,7.959882590053425
0.008,1.0,0.2,False,True,67.6,1164.0,17.218934911242606,34611.2,9312.0,3.7168384879725083,4326.4,1164.0,3.7168384879725083,2.444875830411911,39.54752993583679,16.175680353130183
0.0075,0.8,0.6,False,True,94.0,3368.0,35.829787234042556,48128.0,26944.0,1.7862232779097387,6016.0,3368.0,1.7862232779097387,3.2636499032378197,112.87511555353801,34.58554652003459
