formal_config_id,method,epsilon,delta,formal_seed,worker_count,parameters,pilot_selection_status,confirmed_consecutive,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_per_worker_work,final_stat_proxy,end_to_end_time
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0__rounds-3840__frozen-4192f5a77b5c,ME-DOL-FO,0.0075,0.1,3,8,"{""epoch_length"": 24, ""theory_multiplier"": 10.0}",pilot-infeasible-censored,2,True,False,3720,3720,29760,3720,100.42404809594154,0.007486178074032068,3840,3840,30720,3840,0.007387212943285704,111.66160795092583
ME-DOL-FO__epoch_length-24__theory_multiplier-10p0__rounds-3840__frozen-4192f5a77b5c,ME-DOL-FO,0.0075,0.1,4,8,"{""epoch_length"": 24, ""theory_multiplier"": 10.0}",pilot-infeasible-censored,2,False,True,,,,,,,3840,3840,30720,3840,0.008506285026669502,110.45191296935081
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,0.011,0.1,0,8,"{""epoch_length"": 6, ""theory_multiplier"": 10.0}",full-hit,2,True,False,6,6,48,6,0.43154090642929077,0.010033338330686092,1920,1920,15360,1920,0.008232464082539082,56.93790413439274
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,0.011,0.1,1,8,"{""epoch_length"": 6, ""theory_multiplier"": 10.0}",full-hit,2,True,False,6,6,48,6,0.393706738948822,0.010938777588307858,1920,1920,15360,1920,0.008156107738614082,57.39228071272373
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,0.011,0.1,2,8,"{""epoch_length"": 6, ""theory_multiplier"": 10.0}",full-hit,2,True,False,6,6,48,6,0.42723892629146576,0.010085673071444035,1920,1920,15360,1920,0.008740215562283993,57.16100186109543
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,0.011,0.1,3,8,"{""epoch_length"": 6, ""theory_multiplier"": 10.0}",full-hit,2,True,False,6,6,48,6,0.3768598735332489,0.010549544356763363,1920,1920,15360,1920,0.007546091917902231,57.345455557107925
ME-DOL-FO__epoch_length-6__theory_multiplier-10p0__rounds-1920__frozen-753f0e310e01,ME-DOL-FO,0.011,0.1,4,8,"{""epoch_length"": 6, ""theory_multiplier"": 10.0}",full-hit,2,True,False,534,534,4272,534,14.332918509840965,0.01074964739382267,1920,1920,15360,1920,0.009521175175905228,58.63860985636711
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.011,0.1,0,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,4,6,1536,192,0.3838329315185547,0.009504313580691814,960,962,246272,30784,0.0075017549097537994,47.57371596992016
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.009,0.1,0,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,52,54,13824,1728,2.8395522236824036,0.008010532706975937,960,962,246272,30784,0.0075017549097537994,47.57371596992016
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__frozen-be6f4a373a71,NOG-FO,0.011,0.1,1,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",full-hit,2,True,False,4,6,1536,192,0.3836110532283783,0.010472150519490242,960,962,246272,30784,0.007431202568113804,40.39877824485302
