method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,batch_size,candidate_id,candidate_parameters
DGFM,DGFM,1,1,8,x_bar,0.0712594985961914,100,100100,200100,1955363566,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7314669489860535,0.009832245297729969,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,48,48,8,x_bar,0.3556840419769287,100,100100,200100,1955363566,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7315648794174194,0.011324960738420486,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,96,96,8,x_bar,0.6477460861206055,100,100100,200100,1955363566,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.731599748134613,0.010870992206037045,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,144,144,8,x_bar,0.9361565113067627,100,100100,200100,1955363566,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7316368818283081,0.010331881232559681,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,192,192,8,x_bar,1.2244131565093994,100,100100,200100,1955363566,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7317177057266235,0.011283810250461102,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,240,240,8,x_bar,1.5198242664337158,100,100100,200100,1955363566,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7317395210266113,0.010953023098409176,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,288,288,8,x_bar,1.8178982734680176,100,100100,200100,1955363566,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.7317659854888916,0.010745530016720295,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,336,336,8,x_bar,2.119065523147583,100,100100,200100,1955363566,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.7317875623703003,0.011435366235673428,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,384,384,8,x_bar,2.409822940826416,100,100100,200100,1955363566,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7318077087402344,0.011088783852756023,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,432,432,8,x_bar,2.7064316272735596,100,100100,200100,1955363566,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.7318346500396729,0.011160561814904213,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,480,480,8,x_bar,3.0083913803100586,100,100100,200100,1955363566,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7318322658538818,0.010163021273911,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
DGFM,DGFM,1,1,8,x_bar,0.0713953971862793,101,100101,200101,1563543781,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7267129421234131,0.010342487134039402,0.1,0.001,1,DGFM__eta-0p001,"{""eta"": 0.001}"
