method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,batch_size,candidate_id,candidate_parameters
DGFM,DGFM,1,1,8,x_bar,0.0747377872467041,100,100100,200100,1955363566,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7314934730529785,0.009843872860074043,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,48,48,8,x_bar,0.3613886833190918,100,100100,200100,1955363566,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7317847609519958,0.011552938260138035,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,96,96,8,x_bar,0.6498088836669922,100,100100,200100,1955363566,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7318910956382751,0.01140788197517395,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,144,144,8,x_bar,0.9373636245727539,100,100100,200100,1955363566,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7320020794868469,0.011329012922942638,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,192,192,8,x_bar,1.2266619205474854,100,100100,200100,1955363566,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7322356104850769,0.012302623130381107,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,240,240,8,x_bar,1.517939567565918,100,100100,200100,1955363566,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7322951555252075,0.012091063894331455,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,288,288,8,x_bar,1.8203692436218262,100,100100,200100,1955363566,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.7323675155639648,0.012092896737158298,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,336,336,8,x_bar,2.115910053253174,100,100100,200100,1955363566,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.7324331998825073,0.012475693598389626,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,384,384,8,x_bar,2.4199166297912598,100,100100,200100,1955363566,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7324925661087036,0.012592121958732605,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,432,432,8,x_bar,2.7208335399627686,100,100100,200100,1955363566,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.7325589060783386,0.012483229860663414,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,480,480,8,x_bar,3.023411273956299,100,100100,200100,1955363566,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7325478792190552,0.011575787328183651,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,1,1,8,x_bar,0.07005906105041504,101,100101,200101,1563543781,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7267307639122009,0.010353771969676018,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,48,48,8,x_bar,0.35477328300476074,101,100101,200101,1563543781,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7270045876502991,0.010456926189363003,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,96,96,8,x_bar,0.642570972442627,101,100101,200101,1563543781,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7271865010261536,0.012254435569047928,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,144,144,8,x_bar,0.9333841800689697,101,100101,200101,1563543781,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7272875905036926,0.012727176770567894,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,192,192,8,x_bar,1.2281177043914795,101,100101,200101,1563543781,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7273739576339722,0.012569672428071499,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,240,240,8,x_bar,1.5231890678405762,101,100101,200101,1563543781,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7274681329727173,0.012460951693356037,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,288,288,8,x_bar,1.8219349384307861,101,100101,200101,1563543781,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.7275158762931824,0.013710700906813145,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,336,336,8,x_bar,2.111105442047119,101,100101,200101,1563543781,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.7275716662406921,0.012218097224831581,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,384,384,8,x_bar,2.401378631591797,101,100101,200101,1563543781,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7275784015655518,0.013004753738641739,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,432,432,8,x_bar,2.6964261531829834,101,100101,200101,1563543781,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.7276204824447632,0.013865400105714798,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
DGFM,DGFM,480,480,8,x_bar,2.9889259338378906,101,100101,200101,1563543781,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7276148796081543,0.012422064319252968,0.1,0.003,1,DGFM__eta-0p003,"{""eta"": 0.003}"
