method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,epoch_length,domain_radius,lr_or_eta,theory_multiplier,candidate_id,candidate_parameters
ME-DOL-FO,ME-DOL,12,12,8,epoch_w_bar,0.34374117851257324,100,100100,200100,119421887,sfo,96,96,12,"[12, 12, 12, 12, 12, 12, 12, 12]",8192,12,12,0.7314541935920715,0.010305073112249374,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,60,60,8,epoch_w_bar,0.8913929462432861,100,100100,200100,119421887,sfo,480,480,60,"[60, 60, 60, 60, 60, 60, 60, 60]",16384,60,60,0.7314573526382446,0.010548166930675507,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,108,108,8,epoch_w_bar,1.404576063156128,100,100100,200100,119421887,sfo,864,864,108,"[108, 108, 108, 108, 108, 108, 108, 108]",24576,108,108,0.7314585447311401,0.01077982410788536,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,156,156,8,epoch_w_bar,1.9505770206451416,100,100100,200100,119421887,sfo,1248,1248,156,"[156, 156, 156, 156, 156, 156, 156, 156]",32768,156,156,0.731459379196167,0.010671036317944527,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,204,204,8,epoch_w_bar,2.498882293701172,100,100100,200100,119421887,sfo,1632,1632,204,"[204, 204, 204, 204, 204, 204, 204, 204]",40960,204,204,0.7314594984054565,0.010256909765303135,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,252,252,8,epoch_w_bar,3.0385453701019287,100,100100,200100,119421887,sfo,2016,2016,252,"[252, 252, 252, 252, 252, 252, 252, 252]",49152,252,252,0.7314591407775879,0.011905487626791,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,300,300,8,epoch_w_bar,3.582866668701172,100,100100,200100,119421887,sfo,2400,2400,300,"[300, 300, 300, 300, 300, 300, 300, 300]",57344,300,300,0.7314600348472595,0.010278181172907352,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,348,348,8,epoch_w_bar,4.116151571273804,100,100100,200100,119421887,sfo,2784,2784,348,"[348, 348, 348, 348, 348, 348, 348, 348]",65536,348,348,0.7314608693122864,0.01014257688075304,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,396,396,8,epoch_w_bar,4.652646064758301,100,100100,200100,119421887,sfo,3168,3168,396,"[396, 396, 396, 396, 396, 396, 396, 396]",73728,396,396,0.7314613461494446,0.010242133401334286,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
ME-DOL-FO,ME-DOL,444,444,8,epoch_w_bar,5.198036193847656,100,100100,200100,119421887,sfo,3552,3552,444,"[444, 444, 444, 444, 444, 444, 444, 444]",81920,444,444,0.7314625978469849,0.011468609794974327,0.1,12,0.00022097086912079608,6.378879538497859e-05,0.3,ME-DOL-FO__theory_multiplier-0p3,"{""theory_multiplier"": 0.3}"
