method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,batch_size,candidate_id,candidate_parameters
DGFM,DGFM,1,1,8,x_bar,0.07445454597473145,100,100100,200100,1955363566,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7318557500839233,0.010365213267505169,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,48,48,8,x_bar,0.3579864501953125,100,100100,200100,1955363566,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7346867918968201,0.014172384515404701,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,96,96,8,x_bar,0.6579461097717285,100,100100,200100,1955363566,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7356264591217041,0.013819110579788685,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,144,144,8,x_bar,0.9545822143554688,100,100100,200100,1955363566,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7366708517074585,0.013087513856589794,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,192,192,8,x_bar,1.239133596420288,100,100100,200100,1955363566,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.738252580165863,0.014302423223853111,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,240,240,8,x_bar,1.5269825458526611,100,100100,200100,1955363566,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7387470602989197,0.013653594069182873,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,288,288,8,x_bar,1.8122930526733398,100,100100,200100,1955363566,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.7396175265312195,0.01420293003320694,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,336,336,8,x_bar,2.0985426902770996,100,100100,200100,1955363566,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.7404283285140991,0.014491941779851913,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,384,384,8,x_bar,2.373852252960205,100,100100,200100,1955363566,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7411640286445618,0.014506762847304344,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,432,432,8,x_bar,2.659715414047241,100,100100,200100,1955363566,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.7412615418434143,0.014109650626778603,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,480,480,8,x_bar,2.948119878768921,100,100100,200100,1955363566,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7412380576133728,0.013757331296801567,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
DGFM,DGFM,1,1,8,x_bar,0.06867551803588867,101,100101,200101,1563543781,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7269713282585144,0.01067047007381916,0.1,0.03,1,DGFM__eta-0p03,"{""eta"": 0.03}"
