method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,epoch_length,domain_radius,lr_or_eta,theory_multiplier,candidate_id,candidate_parameters
ME-DOL-ZO,ME-DOL,12,12,8,epoch_w_bar,0.13646292686462402,100,100100,200100,969222037,szo,192,192,24,"[24, 24, 24, 24, 24, 24, 24, 24]",8192,12,12,0.7314728498458862,0.010304361581802368,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,60,60,8,epoch_w_bar,0.4531528949737549,100,100100,200100,969222037,szo,960,960,120,"[120, 120, 120, 120, 120, 120, 120, 120]",16384,60,60,0.7315616011619568,0.01071906741708517,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,108,108,8,epoch_w_bar,0.767449140548706,100,100100,200100,969222037,szo,1728,1728,216,"[216, 216, 216, 216, 216, 216, 216, 216]",24576,108,108,0.7315973043441772,0.010949617251753807,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,156,156,8,epoch_w_bar,1.0869226455688477,100,100100,200100,969222037,szo,2496,2496,312,"[312, 312, 312, 312, 312, 312, 312, 312]",32768,156,156,0.7316141128540039,0.010786069557070732,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,204,204,8,epoch_w_bar,1.4064140319824219,100,100100,200100,969222037,szo,3264,3264,408,"[408, 408, 408, 408, 408, 408, 408, 408]",40960,204,204,0.7316389083862305,0.01022756565362215,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,252,252,8,epoch_w_bar,1.72172212600708,100,100100,200100,969222037,szo,4032,4032,504,"[504, 504, 504, 504, 504, 504, 504, 504]",49152,252,252,0.731655478477478,0.012267619371414185,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,300,300,8,epoch_w_bar,2.0340840816497803,100,100100,200100,969222037,szo,4800,4800,600,"[600, 600, 600, 600, 600, 600, 600, 600]",57344,300,300,0.7316820025444031,0.010487251915037632,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,348,348,8,epoch_w_bar,2.350203037261963,100,100100,200100,969222037,szo,5568,5568,696,"[696, 696, 696, 696, 696, 696, 696, 696]",65536,348,348,0.7317028641700745,0.010278741829097271,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,396,396,8,epoch_w_bar,2.6532468795776367,100,100100,200100,969222037,szo,6336,6336,792,"[792, 792, 792, 792, 792, 792, 792, 792]",73728,396,396,0.7316961288452148,0.010749159380793571,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,444,444,8,epoch_w_bar,2.9629502296447754,100,100100,200100,969222037,szo,7104,7104,888,"[888, 888, 888, 888, 888, 888, 888, 888]",81920,444,444,0.7317137122154236,0.011468468233942986,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,480,480,8,epoch_w_bar,3.2100682258605957,100,100100,200100,969222037,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,480,480,0.7317214012145996,0.009978925809264183,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,12,12,8,epoch_w_bar,0.12633395195007324,101,100101,200101,478642035,szo,192,192,24,"[24, 24, 24, 24, 24, 24, 24, 24]",8192,12,12,0.7267242074012756,0.012224427424371243,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
ME-DOL-ZO,ME-DOL,60,60,8,epoch_w_bar,0.44669151306152344,101,100101,200101,478642035,szo,960,960,120,"[120, 120, 120, 120, 120, 120, 120, 120]",16384,60,60,0.7268053889274597,0.01134488359093666,0.1,12,0.002209708691207961,0.000637887953849786,3.0,ME-DOL-ZO__theory_multiplier-3p0,"{""theory_multiplier"": 3.0}"
