method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy
NOG-FO,NOG,12,12,1,2,y_bar,0.1,12,0.3,0.009413333609700203,0.26128149032592773,3,100003,200003,2091228043,sfo,7168,7168,3584,"[3584, 3584]",8192,14,14,0.7295517325401306,0.0096296900883317
NOG-FO,NOG,60,60,5,2,y_bar,0.1,12,0.3,0.0071625239215791225,1.1536457538604736,3,100003,200003,2091228043,sfo,31744,31744,15872,"[15872, 15872]",16384,62,62,0.7295044660568237,0.00784499291330576
NOG-FO,NOG,108,108,9,2,y_bar,0.1,12,0.3,0.008277309127151966,2.0575881004333496,3,100003,200003,2091228043,sfo,56320,56320,28160,"[28160, 28160]",24576,110,110,0.7294073104858398,0.008321058936417103
NOG-FO,NOG,156,156,13,2,y_bar,0.1,12,0.3,0.008235967718064785,2.8749351501464844,3,100003,200003,2091228043,sfo,80896,80896,40448,"[40448, 40448]",32768,158,158,0.7293156385421753,0.006220428738743067
NOG-FO,NOG,204,204,17,2,y_bar,0.1,12,0.3,0.007351654581725597,3.690500497817993,3,100003,200003,2091228043,sfo,105472,105472,52736,"[52736, 52736]",40960,206,206,0.7291996479034424,0.007246720604598522
NOG-FO,NOG,252,252,21,2,y_bar,0.1,12,0.3,0.008115891367197037,4.500699996948242,3,100003,200003,2091228043,sfo,130048,130048,65024,"[65024, 65024]",49152,254,254,0.729025661945343,0.007388860918581486
NOG-FO,NOG,300,300,25,2,y_bar,0.1,12,0.3,0.0072955177165567875,5.312901973724365,3,100003,200003,2091228043,sfo,154624,154624,77312,"[77312, 77312]",57344,302,302,0.7289711236953735,0.007331437431275845
NOG-FO,NOG,348,348,29,2,y_bar,0.1,12,0.3,0.008432513102889061,6.1597900390625,3,100003,200003,2091228043,sfo,179200,179200,89600,"[89600, 89600]",65536,350,350,0.7288501858711243,0.0072101023979485035
NOG-FO,NOG,396,396,33,2,y_bar,0.1,12,0.3,0.00996739137917757,7.0434770584106445,3,100003,200003,2091228043,sfo,203776,203776,101888,"[101888, 101888]",73728,398,398,0.7287424206733704,0.007960609160363674
NOG-FO,NOG,444,444,37,2,y_bar,0.1,12,0.3,0.007117019966244698,7.885818004608154,3,100003,200003,2091228043,sfo,228352,228352,114176,"[114176, 114176]",81920,446,446,0.7286379337310791,0.007793125230818987
NOG-FO,NOG,492,492,41,2,y_bar,0.1,12,0.3,0.008111720904707909,8.73117446899414,3,100003,200003,2091228043,sfo,252928,252928,126464,"[126464, 126464]",90112,494,494,0.728448212146759,0.007779565639793873
NOG-FO,NOG,540,540,45,2,y_bar,0.1,12,0.3,0.00880502536892891,9.544512033462524,3,100003,200003,2091228043,sfo,277504,277504,138752,"[138752, 138752]",98304,542,542,0.7283207774162292,0.007197854109108448
NOG-FO,NOG,588,588,49,2,y_bar,0.1,12,0.3,0.007468963973224163,10.397632598876953,3,100003,200003,2091228043,sfo,302080,302080,151040,"[151040, 151040]",106496,590,590,0.7281902432441711,0.006526832468807697
NOG-FO,NOG,636,636,53,2,y_bar,0.1,12,0.3,0.007679463364183903,11.248496055603027,3,100003,200003,2091228043,sfo,326656,326656,163328,"[163328, 163328]",114688,638,638,0.7281214594841003,0.008089437149465084
NOG-FO,NOG,684,684,57,2,y_bar,0.1,12,0.3,0.00831257738173008,12.109777688980103,3,100003,200003,2091228043,sfo,351232,351232,175616,"[175616, 175616]",122880,686,686,0.728042483329773,0.007766237948089838
NOG-FO,NOG,732,732,61,2,y_bar,0.1,12,0.3,0.007013300899416208,12.958412885665894,3,100003,200003,2091228043,sfo,375808,375808,187904,"[187904, 187904]",131072,734,734,0.7279582619667053,0.007539516314864159
NOG-FO,NOG,780,780,65,2,y_bar,0.1,12,0.3,0.006977480836212635,13.818925857543945,3,100003,200003,2091228043,sfo,400384,400384,200192,"[200192, 200192]",139264,782,782,0.7278420925140381,0.0075146653689444065
NOG-FO,NOG,828,828,69,2,y_bar,0.1,12,0.3,0.0075723291374742985,14.698052406311035,3,100003,200003,2091228043,sfo,424960,424960,212480,"[212480, 212480]",147456,830,830,0.7277454733848572,0.007650155574083328
NOG-FO,NOG,876,876,73,2,y_bar,0.1,12,0.3,0.008166459389030933,15.560250520706177,3,100003,200003,2091228043,sfo,449536,449536,224768,"[224768, 224768]",155648,878,878,0.7276216745376587,0.007132641039788723
NOG-FO,NOG,924,924,77,2,y_bar,0.1,12,0.3,0.007696440909057856,16.3900728225708,3,100003,200003,2091228043,sfo,474112,474112,237056,"[237056, 237056]",163840,926,926,0.7275717854499817,0.006749397609382868
NOG-FO,NOG,960,960,80,2,y_bar,0.1,12,0.3,0.007801154628396034,17.052897691726685,3,100003,200003,2091228043,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7275084257125854,0.007482070010155439
