method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy
NOG-ZO,NOG,12,12,1,4,y_bar,0.1,12,0.3,0.08203957229852676,0.26952528953552246,4,100004,200004,402500822,szo,14336,14336,3584,"[3584, 3584, 3584, 3584]",8192,14,14,0.727498471736908,0.011011006310582161
NOG-ZO,NOG,60,60,5,4,y_bar,0.1,12,0.3,0.06801170855760574,1.1752307415008545,4,100004,200004,402500822,szo,63488,63488,15872,"[15872, 15872, 15872, 15872]",16384,62,62,0.7276025414466858,0.011109177954494953
NOG-ZO,NOG,108,108,9,4,y_bar,0.1,12,0.3,0.07196949422359467,2.0888102054595947,4,100004,200004,402500822,szo,112640,112640,28160,"[28160, 28160, 28160, 28160]",24576,110,110,0.7276596426963806,0.010636448860168457
NOG-ZO,NOG,156,156,13,4,y_bar,0.1,12,0.3,0.07095939666032791,2.9811172485351562,4,100004,200004,402500822,szo,161792,161792,40448,"[40448, 40448, 40448, 40448]",32768,158,158,0.727669358253479,0.010462594218552113
NOG-ZO,NOG,204,204,17,4,y_bar,0.1,12,0.3,0.07140962034463882,3.8715081214904785,4,100004,200004,402500822,szo,210944,210944,52736,"[52736, 52736, 52736, 52736]",40960,206,206,0.7276462316513062,0.010404858738183975
NOG-ZO,NOG,252,252,21,4,y_bar,0.1,12,0.3,0.07615852355957031,4.746984004974365,4,100004,200004,402500822,szo,260096,260096,65024,"[65024, 65024, 65024, 65024]",49152,254,254,0.7276962995529175,0.010701846331357956
NOG-ZO,NOG,300,300,25,4,y_bar,0.1,12,0.3,0.07934080809354782,5.646099090576172,4,100004,200004,402500822,szo,309248,309248,77312,"[77312, 77312, 77312, 77312]",57344,302,302,0.7276891469955444,0.00985600147396326
NOG-ZO,NOG,348,348,29,4,y_bar,0.1,12,0.3,0.07305999100208282,6.539003849029541,4,100004,200004,402500822,szo,358400,358400,89600,"[89600, 89600, 89600, 89600]",65536,350,350,0.7276918292045593,0.010392808355391026
NOG-ZO,NOG,396,396,33,4,y_bar,0.1,12,0.3,0.07129383087158203,7.428652048110962,4,100004,200004,402500822,szo,407552,407552,101888,"[101888, 101888, 101888, 101888]",73728,398,398,0.7276857495307922,0.00963104423135519
NOG-ZO,NOG,444,444,37,4,y_bar,0.1,12,0.3,0.06572922319173813,8.334534406661987,4,100004,200004,402500822,szo,456704,456704,114176,"[114176, 114176, 114176, 114176]",81920,446,446,0.7277110815048218,0.009637665934860706
NOG-ZO,NOG,492,492,41,4,y_bar,0.1,12,0.3,0.07126932591199875,9.23190975189209,4,100004,200004,402500822,szo,505856,505856,126464,"[126464, 126464, 126464, 126464]",90112,494,494,0.7276961207389832,0.009624836035072803
NOG-ZO,NOG,540,540,45,4,y_bar,0.1,12,0.3,0.0778517872095108,10.131917238235474,4,100004,200004,402500822,szo,555008,555008,138752,"[138752, 138752, 138752, 138752]",98304,542,542,0.7276968955993652,0.009032961912453175
NOG-ZO,NOG,588,588,49,4,y_bar,0.1,12,0.3,0.08541911840438843,11.02563762664795,4,100004,200004,402500822,szo,604160,604160,151040,"[151040, 151040, 151040, 151040]",106496,590,590,0.7276739478111267,0.009958622045814991
NOG-ZO,NOG,636,636,53,4,y_bar,0.1,12,0.3,0.06741441786289215,11.91926908493042,4,100004,200004,402500822,szo,653312,653312,163328,"[163328, 163328, 163328, 163328]",114688,638,638,0.7276604175567627,0.008349001407623291
NOG-ZO,NOG,684,684,57,4,y_bar,0.1,12,0.3,0.07421773672103882,12.802624225616455,4,100004,200004,402500822,szo,702464,702464,175616,"[175616, 175616, 175616, 175616]",122880,686,686,0.7276607751846313,0.00893491879105568
NOG-ZO,NOG,732,732,61,4,y_bar,0.1,12,0.3,0.07416566461324692,13.702744245529175,4,100004,200004,402500822,szo,751616,751616,187904,"[187904, 187904, 187904, 187904]",131072,734,734,0.7276555299758911,0.009717445820569992
NOG-ZO,NOG,780,780,65,4,y_bar,0.1,12,0.3,0.07996957749128342,14.606487512588501,4,100004,200004,402500822,szo,800768,800768,200192,"[200192, 200192, 200192, 200192]",139264,782,782,0.7276521325111389,0.008402431383728981
NOG-ZO,NOG,828,828,69,4,y_bar,0.1,12,0.3,0.06713800877332687,15.491638660430908,4,100004,200004,402500822,szo,849920,849920,212480,"[212480, 212480, 212480, 212480]",147456,830,830,0.7276492714881897,0.008147232234477997
NOG-ZO,NOG,876,876,73,4,y_bar,0.1,12,0.3,0.06534536182880402,16.380643844604492,4,100004,200004,402500822,szo,899072,899072,224768,"[224768, 224768, 224768, 224768]",155648,878,878,0.7276772260665894,0.00912015326321125
NOG-ZO,NOG,924,924,77,4,y_bar,0.1,12,0.3,0.06711088120937347,17.25774621963501,4,100004,200004,402500822,szo,948224,948224,237056,"[237056, 237056, 237056, 237056]",163840,926,926,0.727649450302124,0.008497469127178192
NOG-ZO,NOG,960,960,80,4,y_bar,0.1,12,0.3,0.07670082151889801,17.937008142471313,4,100004,200004,402500822,szo,985088,985088,246272,"[246272, 246272, 246272, 246272]",172032,962,962,0.7276393175125122,0.009087800979614258
