method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,batch_size
DGFM,DGFM,1,1,8,x_bar,0.06580519676208496,4,100004,200004,196979118,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7274388670921326,0.010126912035048008,0.1,0.001,1
DGFM,DGFM,48,48,8,x_bar,0.35810303688049316,4,100004,200004,196979118,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7275251746177673,0.011289090849459171,0.1,0.001,1
DGFM,DGFM,96,96,8,x_bar,0.643606424331665,4,100004,200004,196979118,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7275612950325012,0.010740081779658794,0.1,0.001,1
DGFM,DGFM,144,144,8,x_bar,0.9357421398162842,4,100004,200004,196979118,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7275910973548889,0.010381678119301796,0.1,0.001,1
DGFM,DGFM,192,192,8,x_bar,1.275409460067749,4,100004,200004,196979118,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7276178002357483,0.00973688717931509,0.1,0.001,1
DGFM,DGFM,240,240,8,x_bar,1.5934462547302246,4,100004,200004,196979118,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7276557683944702,0.00992216169834137,0.1,0.001,1
DGFM,DGFM,288,288,8,x_bar,1.923764944076538,4,100004,200004,196979118,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.727709174156189,0.010609094053506851,0.1,0.001,1
DGFM,DGFM,336,336,8,x_bar,2.2520275115966797,4,100004,200004,196979118,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.727734386920929,0.011519595980644226,0.1,0.001,1
DGFM,DGFM,384,384,8,x_bar,2.5595571994781494,4,100004,200004,196979118,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7277370095252991,0.011350998654961586,0.1,0.001,1
DGFM,DGFM,432,432,8,x_bar,2.854248046875,4,100004,200004,196979118,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.7277434468269348,0.010447023436427116,0.1,0.001,1
DGFM,DGFM,480,480,8,x_bar,3.1962170600891113,4,100004,200004,196979118,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7277259230613708,0.011596235446631908,0.1,0.001,1
DGFM,DGFM,528,528,8,x_bar,3.5037834644317627,4,100004,200004,196979118,szo,8448,8448,1056,"[1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056]",98304,1056,1056,0.7277477979660034,0.011237281374633312,0.1,0.001,1
DGFM,DGFM,576,576,8,x_bar,3.8006463050842285,4,100004,200004,196979118,szo,9216,9216,1152,"[1152, 1152, 1152, 1152, 1152, 1152, 1152, 1152]",106496,1152,1152,0.7277593016624451,0.01080112811177969,0.1,0.001,1
DGFM,DGFM,624,624,8,x_bar,4.11566948890686,4,100004,200004,196979118,szo,9984,9984,1248,"[1248, 1248, 1248, 1248, 1248, 1248, 1248, 1248]",114688,1248,1248,0.7278000712394714,0.011528688482940197,0.1,0.001,1
DGFM,DGFM,672,672,8,x_bar,4.420040130615234,4,100004,200004,196979118,szo,10752,10752,1344,"[1344, 1344, 1344, 1344, 1344, 1344, 1344, 1344]",122880,1344,1344,0.7278177738189697,0.010562046431005001,0.1,0.001,1
DGFM,DGFM,720,720,8,x_bar,4.715208053588867,4,100004,200004,196979118,szo,11520,11520,1440,"[1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440]",131072,1440,1440,0.7277971506118774,0.011520108208060265,0.1,0.001,1
DGFM,DGFM,768,768,8,x_bar,5.020284414291382,4,100004,200004,196979118,szo,12288,12288,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",139264,1536,1536,0.7278122305870056,0.01075686700642109,0.1,0.001,1
DGFM,DGFM,816,816,8,x_bar,5.328067779541016,4,100004,200004,196979118,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",147456,1632,1632,0.7278238534927368,0.010827695950865746,0.1,0.001,1
DGFM,DGFM,864,864,8,x_bar,5.638427495956421,4,100004,200004,196979118,szo,13824,13824,1728,"[1728, 1728, 1728, 1728, 1728, 1728, 1728, 1728]",155648,1728,1728,0.7278178334236145,0.011467363685369492,0.1,0.001,1
DGFM,DGFM,912,912,8,x_bar,5.944181203842163,4,100004,200004,196979118,szo,14592,14592,1824,"[1824, 1824, 1824, 1824, 1824, 1824, 1824, 1824]",163840,1824,1824,0.7277881503105164,0.011077389121055603,0.1,0.001,1
DGFM,DGFM,960,960,8,x_bar,6.250947713851929,4,100004,200004,196979118,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7277777791023254,0.010851617902517319,0.1,0.001,1
