method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy
NOG-ZO,NOG,12,12,1,8,y_bar,0.1,12,0.3,0.07623589783906937,0.4823603630065918,0,100000,200000,952307147,szo,14336,14336,1792,"[1792, 1792, 1792, 1792, 1792, 1792, 1792, 1792]",8192,14,14,0.7296151518821716,0.009930313564836979
NOG-ZO,NOG,60,60,5,8,y_bar,0.1,12,0.3,0.06789985299110413,2.1763916015625,0,100000,200000,952307147,szo,63488,63488,7936,"[7936, 7936, 7936, 7936, 7936, 7936, 7936, 7936]",16384,62,62,0.7297452092170715,0.010572460480034351
NOG-ZO,NOG,108,108,9,8,y_bar,0.1,12,0.3,0.0741090178489685,3.889866352081299,0,100000,200000,952307147,szo,112640,112640,14080,"[14080, 14080, 14080, 14080, 14080, 14080, 14080, 14080]",24576,110,110,0.7297751307487488,0.010934441350400448
NOG-ZO,NOG,156,156,13,8,y_bar,0.1,12,0.3,0.06683120131492615,5.576184034347534,0,100000,200000,952307147,szo,161792,161792,20224,"[20224, 20224, 20224, 20224, 20224, 20224, 20224, 20224]",32768,158,158,0.7297998666763306,0.009332424029707909
NOG-ZO,NOG,204,204,17,8,y_bar,0.1,12,0.3,0.0789879634976387,7.257267236709595,0,100000,200000,952307147,szo,210944,210944,26368,"[26368, 26368, 26368, 26368, 26368, 26368, 26368, 26368]",40960,206,206,0.7298034429550171,0.010586255230009556
NOG-ZO,NOG,252,252,21,8,y_bar,0.1,12,0.3,0.08808755874633789,8.931603193283081,0,100000,200000,952307147,szo,260096,260096,32512,"[32512, 32512, 32512, 32512, 32512, 32512, 32512, 32512]",49152,254,254,0.729806661605835,0.01018507406115532
NOG-ZO,NOG,300,300,25,8,y_bar,0.1,12,0.3,0.06788758188486099,10.62278437614441,0,100000,200000,952307147,szo,309248,309248,38656,"[38656, 38656, 38656, 38656, 38656, 38656, 38656, 38656]",57344,302,302,0.7298070192337036,0.009826450608670712
NOG-ZO,NOG,348,348,29,8,y_bar,0.1,12,0.3,0.0793236643075943,12.328646421432495,0,100000,200000,952307147,szo,358400,358400,44800,"[44800, 44800, 44800, 44800, 44800, 44800, 44800, 44800]",65536,350,350,0.7297877669334412,0.009211765602231026
NOG-ZO,NOG,396,396,33,8,y_bar,0.1,12,0.3,0.06892099231481552,14.0266752243042,0,100000,200000,952307147,szo,407552,407552,50944,"[50944, 50944, 50944, 50944, 50944, 50944, 50944, 50944]",73728,398,398,0.7297908067703247,0.00830919574946165
NOG-ZO,NOG,444,444,37,8,y_bar,0.1,12,0.3,0.07373765856027603,15.739666938781738,0,100000,200000,952307147,szo,456704,456704,57088,"[57088, 57088, 57088, 57088, 57088, 57088, 57088, 57088]",81920,446,446,0.729754626750946,0.008199606090784073
NOG-ZO,NOG,492,492,41,8,y_bar,0.1,12,0.3,0.07716101408004761,17.456031560897827,0,100000,200000,952307147,szo,505856,505856,63232,"[63232, 63232, 63232, 63232, 63232, 63232, 63232, 63232]",90112,494,494,0.729779064655304,0.009613856673240662
NOG-ZO,NOG,540,540,45,8,y_bar,0.1,12,0.3,0.07626073807477951,19.166481733322144,0,100000,200000,952307147,szo,555008,555008,69376,"[69376, 69376, 69376, 69376, 69376, 69376, 69376, 69376]",98304,542,542,0.7297732830047607,0.008982238359749317
NOG-ZO,NOG,588,588,49,8,y_bar,0.1,12,0.3,0.07641513645648956,20.859997510910034,0,100000,200000,952307147,szo,604160,604160,75520,"[75520, 75520, 75520, 75520, 75520, 75520, 75520, 75520]",106496,590,590,0.7297747135162354,0.00920776091516018
NOG-ZO,NOG,636,636,53,8,y_bar,0.1,12,0.3,0.07383172959089279,22.59819722175598,0,100000,200000,952307147,szo,653312,653312,81664,"[81664, 81664, 81664, 81664, 81664, 81664, 81664, 81664]",114688,638,638,0.7297701239585876,0.009481827728450298
NOG-ZO,NOG,684,684,57,8,y_bar,0.1,12,0.3,0.07820161432027817,24.35334324836731,0,100000,200000,952307147,szo,702464,702464,87808,"[87808, 87808, 87808, 87808, 87808, 87808, 87808, 87808]",122880,686,686,0.7297600507736206,0.008979619480669498
NOG-ZO,NOG,732,732,61,8,y_bar,0.1,12,0.3,0.07413677126169205,26.062252521514893,0,100000,200000,952307147,szo,751616,751616,93952,"[93952, 93952, 93952, 93952, 93952, 93952, 93952, 93952]",131072,734,734,0.729777991771698,0.008359357714653015
NOG-ZO,NOG,780,780,65,8,y_bar,0.1,12,0.3,0.0742252841591835,27.818034648895264,0,100000,200000,952307147,szo,800768,800768,100096,"[100096, 100096, 100096, 100096, 100096, 100096, 100096, 100096]",139264,782,782,0.7297470569610596,0.009028536267578602
NOG-ZO,NOG,828,828,69,8,y_bar,0.1,12,0.3,0.08479722589254379,29.564037799835205,0,100000,200000,952307147,szo,849920,849920,106240,"[106240, 106240, 106240, 106240, 106240, 106240, 106240, 106240]",147456,830,830,0.729733943939209,0.008604195900261402
NOG-ZO,NOG,876,876,73,8,y_bar,0.1,12,0.3,0.06292718648910522,31.256382942199707,0,100000,200000,952307147,szo,899072,899072,112384,"[112384, 112384, 112384, 112384, 112384, 112384, 112384, 112384]",155648,878,878,0.7297276854515076,0.008779614232480526
NOG-ZO,NOG,924,924,77,8,y_bar,0.1,12,0.3,0.0774480551481247,32.94495344161987,0,100000,200000,952307147,szo,948224,948224,118528,"[118528, 118528, 118528, 118528, 118528, 118528, 118528, 118528]",163840,926,926,0.7297358512878418,0.008127454668283463
NOG-ZO,NOG,960,960,80,8,y_bar,0.1,12,0.3,0.08432036638259888,34.23156404495239,0,100000,200000,952307147,szo,985088,985088,123136,"[123136, 123136, 123136, 123136, 123136, 123136, 123136, 123136]",172032,962,962,0.729766845703125,0.009642940014600754
