method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy
NOG-FO,NOG,12,12,1,1,y_bar,0.1,12,0.3,0.011316368356347084,0.15876555442810059,4,100004,200004,1593696051,sfo,7168,7168,7168,[7168],8192,14,14,0.7274799346923828,0.010169598273932934
NOG-FO,NOG,60,60,5,1,y_bar,0.1,12,0.3,0.007759919855743647,0.6291744709014893,4,100004,200004,1593696051,sfo,31744,31744,31744,[31744],16384,62,62,0.7274085283279419,0.00841887854039669
NOG-FO,NOG,108,108,9,1,y_bar,0.1,12,0.3,0.007667986676096916,1.0891444683074951,4,100004,200004,1593696051,sfo,56320,56320,56320,[56320],24576,110,110,0.7273489832878113,0.007922517135739326
NOG-FO,NOG,156,156,13,1,y_bar,0.1,12,0.3,0.008672105148434639,1.5959153175354004,4,100004,200004,1593696051,sfo,80896,80896,80896,[80896],32768,158,158,0.7271921038627625,0.007715292740613222
NOG-FO,NOG,204,204,17,1,y_bar,0.1,12,0.3,0.007620865944772959,2.0626814365386963,4,100004,200004,1593696051,sfo,105472,105472,105472,[105472],40960,206,206,0.7271000146865845,0.007055150344967842
NOG-FO,NOG,252,252,21,1,y_bar,0.1,12,0.3,0.007017562631517649,2.536280632019043,4,100004,200004,1593696051,sfo,130048,130048,130048,[130048],49152,254,254,0.7270060777664185,0.00798675138503313
NOG-FO,NOG,300,300,25,1,y_bar,0.1,12,0.3,0.008249194361269474,3.009751319885254,4,100004,200004,1593696051,sfo,154624,154624,154624,[154624],57344,302,302,0.7268742918968201,0.0069705112837255
NOG-FO,NOG,348,348,29,1,y_bar,0.1,12,0.3,0.007324725855141878,3.4423625469207764,4,100004,200004,1593696051,sfo,179200,179200,179200,[179200],65536,350,350,0.7267876863479614,0.0072013880126178265
NOG-FO,NOG,396,396,33,1,y_bar,0.1,12,0.3,0.007465744856745005,3.9113621711730957,4,100004,200004,1593696051,sfo,203776,203776,203776,[203776],73728,398,398,0.7265963554382324,0.007250879425555468
NOG-FO,NOG,444,444,37,1,y_bar,0.1,12,0.3,0.008276592008769512,4.345503330230713,4,100004,200004,1593696051,sfo,228352,228352,228352,[228352],81920,446,446,0.7264555096626282,0.006695875432342291
NOG-FO,NOG,492,492,41,1,y_bar,0.1,12,0.3,0.008338029496371746,4.824822187423706,4,100004,200004,1593696051,sfo,252928,252928,252928,[252928],90112,494,494,0.7263424396514893,0.006986889522522688
NOG-FO,NOG,540,540,45,1,y_bar,0.1,12,0.3,0.008058284409344196,5.275336503982544,4,100004,200004,1593696051,sfo,277504,277504,277504,[277504],98304,542,542,0.7261936068534851,0.007467098534107208
NOG-FO,NOG,588,588,49,1,y_bar,0.1,12,0.3,0.008153465576469898,5.738762378692627,4,100004,200004,1593696051,sfo,302080,302080,302080,[302080],106496,590,590,0.726064920425415,0.00764815416187048
NOG-FO,NOG,636,636,53,1,y_bar,0.1,12,0.3,0.008383238688111305,6.203432321548462,4,100004,200004,1593696051,sfo,326656,326656,326656,[326656],114688,638,638,0.7259275317192078,0.006950960494577885
NOG-FO,NOG,684,684,57,1,y_bar,0.1,12,0.3,0.008647270500659943,6.672980070114136,4,100004,200004,1593696051,sfo,351232,351232,351232,[351232],122880,686,686,0.7257618308067322,0.007302701007574797
NOG-FO,NOG,732,732,61,1,y_bar,0.1,12,0.3,0.007742493413388729,7.141046524047852,4,100004,200004,1593696051,sfo,375808,375808,375808,[375808],131072,734,734,0.7256202101707458,0.008275741711258888
NOG-FO,NOG,780,780,65,1,y_bar,0.1,12,0.3,0.007605710532516241,7.6089653968811035,4,100004,200004,1593696051,sfo,400384,400384,400384,[400384],139264,782,782,0.7254865169525146,0.007218494545668364
NOG-FO,NOG,828,828,69,1,y_bar,0.1,12,0.3,0.008427116088569164,8.06011438369751,4,100004,200004,1593696051,sfo,424960,424960,424960,[424960],147456,830,830,0.7253731489181519,0.0067310454323887825
NOG-FO,NOG,876,876,73,1,y_bar,0.1,12,0.3,0.007032423280179501,8.519974946975708,4,100004,200004,1593696051,sfo,449536,449536,449536,[449536],155648,878,878,0.725264310836792,0.007539353799074888
NOG-FO,NOG,924,924,77,1,y_bar,0.1,12,0.3,0.006451809778809547,8.985615491867065,4,100004,200004,1593696051,sfo,474112,474112,474112,[474112],163840,926,926,0.7251572608947754,0.007880260236561298
NOG-FO,NOG,960,960,80,1,y_bar,0.1,12,0.3,0.0075019425712525845,9.347384691238403,4,100004,200004,1593696051,sfo,492544,492544,492544,[492544],172032,962,962,0.7250539064407349,0.007750034332275391
