method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy
NOG-ZO,NOG,12,12,1,4,y_bar,0.1,12,0.3,0.07651523500680923,0.26697778701782227,3,100003,200003,918763096,szo,14336,14336,3584,"[3584, 3584, 3584, 3584]",8192,14,14,0.7295894026756287,0.010461617261171341
NOG-ZO,NOG,60,60,5,4,y_bar,0.1,12,0.3,0.07468510419130325,1.1716187000274658,3,100003,200003,918763096,szo,63488,63488,15872,"[15872, 15872, 15872, 15872]",16384,62,62,0.7297033071517944,0.01054448913782835
NOG-ZO,NOG,108,108,9,4,y_bar,0.1,12,0.3,0.0720706582069397,2.063244342803955,3,100003,200003,918763096,szo,112640,112640,28160,"[28160, 28160, 28160, 28160]",24576,110,110,0.729733407497406,0.010999061167240143
NOG-ZO,NOG,156,156,13,4,y_bar,0.1,12,0.3,0.08043859899044037,2.9590375423431396,3,100003,200003,918763096,szo,161792,161792,40448,"[40448, 40448, 40448, 40448]",32768,158,158,0.729728639125824,0.009053041227161884
NOG-ZO,NOG,204,204,17,4,y_bar,0.1,12,0.3,0.07586868107318878,3.8535783290863037,3,100003,200003,918763096,szo,210944,210944,52736,"[52736, 52736, 52736, 52736]",40960,206,206,0.729759931564331,0.010014292784035206
NOG-ZO,NOG,252,252,21,4,y_bar,0.1,12,0.3,0.06715145707130432,4.74924635887146,3,100003,200003,918763096,szo,260096,260096,65024,"[65024, 65024, 65024, 65024]",49152,254,254,0.7297437191009521,0.009308909066021442
NOG-ZO,NOG,300,300,25,4,y_bar,0.1,12,0.3,0.07479484379291534,5.642766237258911,3,100003,200003,918763096,szo,309248,309248,77312,"[77312, 77312, 77312, 77312]",57344,302,302,0.7297441363334656,0.009526921436190605
NOG-ZO,NOG,348,348,29,4,y_bar,0.1,12,0.3,0.06922563910484314,6.536290645599365,3,100003,200003,918763096,szo,358400,358400,89600,"[89600, 89600, 89600, 89600]",65536,350,350,0.7297305464744568,0.009081823751330376
NOG-ZO,NOG,396,396,33,4,y_bar,0.1,12,0.3,0.07000569999217987,7.408740520477295,3,100003,200003,918763096,szo,407552,407552,101888,"[101888, 101888, 101888, 101888]",73728,398,398,0.7297356724739075,0.010307904332876205
NOG-ZO,NOG,444,444,37,4,y_bar,0.1,12,0.3,0.07238063961267471,8.295786380767822,3,100003,200003,918763096,szo,456704,456704,114176,"[114176, 114176, 114176, 114176]",81920,446,446,0.7297595739364624,0.009477761574089527
NOG-ZO,NOG,492,492,41,4,y_bar,0.1,12,0.3,0.07948090881109238,9.263465166091919,3,100003,200003,918763096,szo,505856,505856,126464,"[126464, 126464, 126464, 126464]",90112,494,494,0.7297345995903015,0.007735474035143852
NOG-ZO,NOG,540,540,45,4,y_bar,0.1,12,0.3,0.07698403298854828,10.159934282302856,3,100003,200003,918763096,szo,555008,555008,138752,"[138752, 138752, 138752, 138752]",98304,542,542,0.7297146320343018,0.008325363509356976
NOG-ZO,NOG,588,588,49,4,y_bar,0.1,12,0.3,0.07438147813081741,11.061794996261597,3,100003,200003,918763096,szo,604160,604160,151040,"[151040, 151040, 151040, 151040]",106496,590,590,0.7297536134719849,0.008673680014908314
NOG-ZO,NOG,636,636,53,4,y_bar,0.1,12,0.3,0.07158347219228745,11.948321104049683,3,100003,200003,918763096,szo,653312,653312,163328,"[163328, 163328, 163328, 163328]",114688,638,638,0.7297568917274475,0.010969000868499279
NOG-ZO,NOG,684,684,57,4,y_bar,0.1,12,0.3,0.07005658000707626,12.839969873428345,3,100003,200003,918763096,szo,702464,702464,175616,"[175616, 175616, 175616, 175616]",122880,686,686,0.7297676801681519,0.009678563103079796
NOG-ZO,NOG,732,732,61,4,y_bar,0.1,12,0.3,0.07688190042972565,13.743385314941406,3,100003,200003,918763096,szo,751616,751616,187904,"[187904, 187904, 187904, 187904]",131072,734,734,0.729731023311615,0.009545995853841305
NOG-ZO,NOG,780,780,65,4,y_bar,0.1,12,0.3,0.07302677631378174,14.666399717330933,3,100003,200003,918763096,szo,800768,800768,200192,"[200192, 200192, 200192, 200192]",139264,782,782,0.7297234535217285,0.009569758549332619
NOG-ZO,NOG,828,828,69,4,y_bar,0.1,12,0.3,0.07271963357925415,15.58445143699646,3,100003,200003,918763096,szo,849920,849920,212480,"[212480, 212480, 212480, 212480]",147456,830,830,0.7297118902206421,0.0072245169430971146
NOG-ZO,NOG,876,876,73,4,y_bar,0.1,12,0.3,0.07171504944562912,16.480485200881958,3,100003,200003,918763096,szo,899072,899072,224768,"[224768, 224768, 224768, 224768]",155648,878,878,0.7297371625900269,0.00910658948123455
NOG-ZO,NOG,924,924,77,4,y_bar,0.1,12,0.3,0.08382200449705124,17.38596796989441,3,100003,200003,918763096,szo,948224,948224,237056,"[237056, 237056, 237056, 237056]",163840,926,926,0.7297093868255615,0.008517310954630375
NOG-ZO,NOG,960,960,80,4,y_bar,0.1,12,0.3,0.0869709849357605,18.085859775543213,3,100003,200003,918763096,szo,985088,985088,246272,"[246272, 246272, 246272, 246272]",172032,962,962,0.7297310829162598,0.009021058678627014
