method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,batch_size
DGFM,DGFM,1,1,8,x_bar,0.07107758522033691,2,100002,200002,741198208,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7175056338310242,0.012946744449436665,0.1,0.001,1
DGFM,DGFM,48,48,8,x_bar,0.3510420322418213,2,100002,200002,741198208,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7175790667533875,0.011424468830227852,0.1,0.001,1
DGFM,DGFM,96,96,8,x_bar,0.6526069641113281,2,100002,200002,741198208,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7175989747047424,0.01216254010796547,0.1,0.001,1
DGFM,DGFM,144,144,8,x_bar,0.9476470947265625,2,100002,200002,741198208,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7176374793052673,0.012237000279128551,0.1,0.001,1
DGFM,DGFM,192,192,8,x_bar,1.2457005977630615,2,100002,200002,741198208,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7176581025123596,0.013144411146640778,0.1,0.001,1
DGFM,DGFM,240,240,8,x_bar,1.5463693141937256,2,100002,200002,741198208,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7176800966262817,0.011529653333127499,0.1,0.001,1
DGFM,DGFM,288,288,8,x_bar,1.8372938632965088,2,100002,200002,741198208,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.7177329659461975,0.012583875097334385,0.1,0.001,1
DGFM,DGFM,336,336,8,x_bar,2.133124828338623,2,100002,200002,741198208,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.7177338600158691,0.012697701342403889,0.1,0.001,1
DGFM,DGFM,384,384,8,x_bar,2.4237356185913086,2,100002,200002,741198208,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7177416086196899,0.013028276152908802,0.1,0.001,1
DGFM,DGFM,432,432,8,x_bar,2.7144014835357666,2,100002,200002,741198208,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.717717707157135,0.012402999214828014,0.1,0.001,1
DGFM,DGFM,480,480,8,x_bar,3.0048487186431885,2,100002,200002,741198208,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7177191376686096,0.012105443514883518,0.1,0.001,1
DGFM,DGFM,528,528,8,x_bar,3.2978813648223877,2,100002,200002,741198208,szo,8448,8448,1056,"[1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056]",98304,1056,1056,0.7177207469940186,0.013090693391859531,0.1,0.001,1
DGFM,DGFM,576,576,8,x_bar,3.600498676300049,2,100002,200002,741198208,szo,9216,9216,1152,"[1152, 1152, 1152, 1152, 1152, 1152, 1152, 1152]",106496,1152,1152,0.7177162766456604,0.011254043318331242,0.1,0.001,1
DGFM,DGFM,624,624,8,x_bar,3.8954739570617676,2,100002,200002,741198208,szo,9984,9984,1248,"[1248, 1248, 1248, 1248, 1248, 1248, 1248, 1248]",114688,1248,1248,0.7177374362945557,0.012228009290993214,0.1,0.001,1
DGFM,DGFM,672,672,8,x_bar,4.1879448890686035,2,100002,200002,741198208,szo,10752,10752,1344,"[1344, 1344, 1344, 1344, 1344, 1344, 1344, 1344]",122880,1344,1344,0.7177266478538513,0.010861472226679325,0.1,0.001,1
DGFM,DGFM,720,720,8,x_bar,4.475944995880127,2,100002,200002,741198208,szo,11520,11520,1440,"[1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440]",131072,1440,1440,0.7177178859710693,0.012014857493340969,0.1,0.001,1
DGFM,DGFM,768,768,8,x_bar,4.768837213516235,2,100002,200002,741198208,szo,12288,12288,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",139264,1536,1536,0.7177402973175049,0.012227562256157398,0.1,0.001,1
DGFM,DGFM,816,816,8,x_bar,5.0608179569244385,2,100002,200002,741198208,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",147456,1632,1632,0.717739999294281,0.011481119319796562,0.1,0.001,1
DGFM,DGFM,864,864,8,x_bar,5.349115610122681,2,100002,200002,741198208,szo,13824,13824,1728,"[1728, 1728, 1728, 1728, 1728, 1728, 1728, 1728]",155648,1728,1728,0.7177691459655762,0.012464483268558979,0.1,0.001,1
DGFM,DGFM,912,912,8,x_bar,5.643413782119751,2,100002,200002,741198208,szo,14592,14592,1824,"[1824, 1824, 1824, 1824, 1824, 1824, 1824, 1824]",163840,1824,1824,0.7177684307098389,0.01196086872369051,0.1,0.001,1
DGFM,DGFM,960,960,8,x_bar,5.945204734802246,2,100002,200002,741198208,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7177783846855164,0.011487416923046112,0.1,0.001,1
