method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,small_batch,large_batch,restart_period,restart_mixing_rounds
DGFM+,DGFM+,1,1,8,x_bar,0.2844667434692383,2,100002,200002,393487922,szo,1024,1024,128,"[128, 128, 128, 128, 128, 128, 128, 128]",8192,2,2,0.7174872159957886,0.012993555516004562,0.1,0.001,8,64,48,1
DGFM+,DGFM+,48,48,8,x_bar,2.932370662689209,2,100002,200002,393487922,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",16384,96,96,0.7175734639167786,0.011234584264457226,0.1,0.001,8,64,48,1
DGFM+,DGFM+,96,96,8,x_bar,5.792654275894165,2,100002,200002,393487922,szo,26112,26112,3264,"[3264, 3264, 3264, 3264, 3264, 3264, 3264, 3264]",24576,192,192,0.7176154851913452,0.012458802200853825,0.1,0.001,8,64,48,1
DGFM+,DGFM+,144,144,8,x_bar,8.678223848342896,2,100002,200002,393487922,szo,39168,39168,4896,"[4896, 4896, 4896, 4896, 4896, 4896, 4896, 4896]",32768,288,288,0.7176473140716553,0.01265134010463953,0.1,0.001,8,64,48,1
DGFM+,DGFM+,192,192,8,x_bar,11.57686734199524,2,100002,200002,393487922,szo,52224,52224,6528,"[6528, 6528, 6528, 6528, 6528, 6528, 6528, 6528]",40960,384,384,0.7176557183265686,0.013703866861760616,0.1,0.001,8,64,48,1
DGFM+,DGFM+,240,240,8,x_bar,14.442983388900757,2,100002,200002,393487922,szo,65280,65280,8160,"[8160, 8160, 8160, 8160, 8160, 8160, 8160, 8160]",49152,480,480,0.7176918983459473,0.01207935530692339,0.1,0.001,8,64,48,1
DGFM+,DGFM+,288,288,8,x_bar,17.31753373146057,2,100002,200002,393487922,szo,78336,78336,9792,"[9792, 9792, 9792, 9792, 9792, 9792, 9792, 9792]",57344,576,576,0.7177101373672485,0.013269398361444473,0.1,0.001,8,64,48,1
DGFM+,DGFM+,336,336,8,x_bar,20.173124313354492,2,100002,200002,393487922,szo,91392,91392,11424,"[11424, 11424, 11424, 11424, 11424, 11424, 11424, 11424]",65536,672,672,0.7177456021308899,0.012477437034249306,0.1,0.001,8,64,48,1
DGFM+,DGFM+,384,384,8,x_bar,23.041481494903564,2,100002,200002,393487922,szo,104448,104448,13056,"[13056, 13056, 13056, 13056, 13056, 13056, 13056, 13056]",73728,768,768,0.7177852988243103,0.013177325017750263,0.1,0.001,8,64,48,1
DGFM+,DGFM+,432,432,8,x_bar,25.886343955993652,2,100002,200002,393487922,szo,117504,117504,14688,"[14688, 14688, 14688, 14688, 14688, 14688, 14688, 14688]",81920,864,864,0.7178018093109131,0.013469835743308067,0.1,0.001,8,64,48,1
DGFM+,DGFM+,480,480,8,x_bar,28.746753931045532,2,100002,200002,393487922,szo,130560,130560,16320,"[16320, 16320, 16320, 16320, 16320, 16320, 16320, 16320]",90112,960,960,0.7177945971488953,0.012611025013029575,0.1,0.001,8,64,48,1
DGFM+,DGFM+,528,528,8,x_bar,31.60279083251953,2,100002,200002,393487922,szo,143616,143616,17952,"[17952, 17952, 17952, 17952, 17952, 17952, 17952, 17952]",98304,1056,1056,0.7177929878234863,0.013610834255814552,0.1,0.001,8,64,48,1
DGFM+,DGFM+,576,576,8,x_bar,34.44522953033447,2,100002,200002,393487922,szo,156672,156672,19584,"[19584, 19584, 19584, 19584, 19584, 19584, 19584, 19584]",106496,1152,1152,0.7178150415420532,0.011721111834049225,0.1,0.001,8,64,48,1
DGFM+,DGFM+,624,624,8,x_bar,37.288625717163086,2,100002,200002,393487922,szo,169728,169728,21216,"[21216, 21216, 21216, 21216, 21216, 21216, 21216, 21216]",114688,1248,1248,0.7178276777267456,0.013122152537107468,0.1,0.001,8,64,48,1
DGFM+,DGFM+,672,672,8,x_bar,40.13119029998779,2,100002,200002,393487922,szo,182784,182784,22848,"[22848, 22848, 22848, 22848, 22848, 22848, 22848, 22848]",122880,1344,1344,0.7178305387496948,0.011952058412134647,0.1,0.001,8,64,48,1
DGFM+,DGFM+,720,720,8,x_bar,42.98614311218262,2,100002,200002,393487922,szo,195840,195840,24480,"[24480, 24480, 24480, 24480, 24480, 24480, 24480, 24480]",131072,1440,1440,0.7178483009338379,0.012417349964380264,0.1,0.001,8,64,48,1
DGFM+,DGFM+,768,768,8,x_bar,45.83066010475159,2,100002,200002,393487922,szo,208896,208896,26112,"[26112, 26112, 26112, 26112, 26112, 26112, 26112, 26112]",139264,1536,1536,0.7178560495376587,0.013032273389399052,0.1,0.001,8,64,48,1
DGFM+,DGFM+,816,816,8,x_bar,48.69697546958923,2,100002,200002,393487922,szo,221952,221952,27744,"[27744, 27744, 27744, 27744, 27744, 27744, 27744, 27744]",147456,1632,1632,0.7178766131401062,0.012448225170373917,0.1,0.001,8,64,48,1
DGFM+,DGFM+,864,864,8,x_bar,51.55154752731323,2,100002,200002,393487922,szo,235008,235008,29376,"[29376, 29376, 29376, 29376, 29376, 29376, 29376, 29376]",155648,1728,1728,0.7178748250007629,0.013253988698124886,0.1,0.001,8,64,48,1
DGFM+,DGFM+,912,912,8,x_bar,54.4328236579895,2,100002,200002,393487922,szo,248064,248064,31008,"[31008, 31008, 31008, 31008, 31008, 31008, 31008, 31008]",163840,1824,1824,0.7178627252578735,0.01238721702247858,0.1,0.001,8,64,48,1
