method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,batch_size
DGFM,DGFM,1,1,8,x_bar,0.06743264198303223,0,100000,200000,2024481442,szo,16,16,2,"[2, 2, 2, 2, 2, 2, 2, 2]",8192,2,2,0.7295660972595215,0.010496537201106548,0.1,0.001,1
DGFM,DGFM,48,48,8,x_bar,0.3491032123565674,0,100000,200000,2024481442,szo,768,768,96,"[96, 96, 96, 96, 96, 96, 96, 96]",16384,96,96,0.7296525835990906,0.010976565070450306,0.1,0.001,1
DGFM,DGFM,96,96,8,x_bar,0.6438193321228027,0,100000,200000,2024481442,szo,1536,1536,192,"[192, 192, 192, 192, 192, 192, 192, 192]",24576,192,192,0.7296906113624573,0.010513681918382645,0.1,0.001,1
DGFM,DGFM,144,144,8,x_bar,0.9307632446289062,0,100000,200000,2024481442,szo,2304,2304,288,"[288, 288, 288, 288, 288, 288, 288, 288]",32768,288,288,0.7297059297561646,0.01098688319325447,0.1,0.001,1
DGFM,DGFM,192,192,8,x_bar,1.2221944332122803,0,100000,200000,2024481442,szo,3072,3072,384,"[384, 384, 384, 384, 384, 384, 384, 384]",40960,384,384,0.7297353744506836,0.010348116047680378,0.1,0.001,1
DGFM,DGFM,240,240,8,x_bar,1.5115694999694824,0,100000,200000,2024481442,szo,3840,3840,480,"[480, 480, 480, 480, 480, 480, 480, 480]",49152,480,480,0.7297622561454773,0.010628954507410526,0.1,0.001,1
DGFM,DGFM,288,288,8,x_bar,1.7988667488098145,0,100000,200000,2024481442,szo,4608,4608,576,"[576, 576, 576, 576, 576, 576, 576, 576]",57344,576,576,0.7297857403755188,0.010138039477169514,0.1,0.001,1
DGFM,DGFM,336,336,8,x_bar,2.088362455368042,0,100000,200000,2024481442,szo,5376,5376,672,"[672, 672, 672, 672, 672, 672, 672, 672]",65536,672,672,0.7298091650009155,0.011340584605932236,0.1,0.001,1
DGFM,DGFM,384,384,8,x_bar,2.3752529621124268,0,100000,200000,2024481442,szo,6144,6144,768,"[768, 768, 768, 768, 768, 768, 768, 768]",73728,768,768,0.7298225164413452,0.010865053161978722,0.1,0.001,1
DGFM,DGFM,432,432,8,x_bar,2.6684763431549072,0,100000,200000,2024481442,szo,6912,6912,864,"[864, 864, 864, 864, 864, 864, 864, 864]",81920,864,864,0.729851484298706,0.01054343394935131,0.1,0.001,1
DGFM,DGFM,480,480,8,x_bar,2.9550585746765137,0,100000,200000,2024481442,szo,7680,7680,960,"[960, 960, 960, 960, 960, 960, 960, 960]",90112,960,960,0.7298258543014526,0.011133563704788685,0.1,0.001,1
DGFM,DGFM,528,528,8,x_bar,3.247176170349121,0,100000,200000,2024481442,szo,8448,8448,1056,"[1056, 1056, 1056, 1056, 1056, 1056, 1056, 1056]",98304,1056,1056,0.7298731207847595,0.010712917894124985,0.1,0.001,1
DGFM,DGFM,576,576,8,x_bar,3.536555290222168,0,100000,200000,2024481442,szo,9216,9216,1152,"[1152, 1152, 1152, 1152, 1152, 1152, 1152, 1152]",106496,1152,1152,0.7298850417137146,0.010902922600507736,0.1,0.001,1
DGFM,DGFM,624,624,8,x_bar,3.82826828956604,0,100000,200000,2024481442,szo,9984,9984,1248,"[1248, 1248, 1248, 1248, 1248, 1248, 1248, 1248]",114688,1248,1248,0.7299177646636963,0.011182833462953568,0.1,0.001,1
DGFM,DGFM,672,672,8,x_bar,4.116807222366333,0,100000,200000,2024481442,szo,10752,10752,1344,"[1344, 1344, 1344, 1344, 1344, 1344, 1344, 1344]",122880,1344,1344,0.7299035787582397,0.011550911702215672,0.1,0.001,1
DGFM,DGFM,720,720,8,x_bar,4.405865430831909,0,100000,200000,2024481442,szo,11520,11520,1440,"[1440, 1440, 1440, 1440, 1440, 1440, 1440, 1440]",131072,1440,1440,0.7299127578735352,0.010554613545536995,0.1,0.001,1
DGFM,DGFM,768,768,8,x_bar,4.706294298171997,0,100000,200000,2024481442,szo,12288,12288,1536,"[1536, 1536, 1536, 1536, 1536, 1536, 1536, 1536]",139264,1536,1536,0.7299172282218933,0.01176414079964161,0.1,0.001,1
DGFM,DGFM,816,816,8,x_bar,4.999598979949951,0,100000,200000,2024481442,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",147456,1632,1632,0.7299491167068481,0.011000119149684906,0.1,0.001,1
DGFM,DGFM,864,864,8,x_bar,5.2947587966918945,0,100000,200000,2024481442,szo,13824,13824,1728,"[1728, 1728, 1728, 1728, 1728, 1728, 1728, 1728]",155648,1728,1728,0.7299674153327942,0.01086580939590931,0.1,0.001,1
DGFM,DGFM,912,912,8,x_bar,5.582012176513672,0,100000,200000,2024481442,szo,14592,14592,1824,"[1824, 1824, 1824, 1824, 1824, 1824, 1824, 1824]",163840,1824,1824,0.7299685478210449,0.01121334545314312,0.1,0.001,1
DGFM,DGFM,960,960,8,x_bar,5.868966579437256,0,100000,200000,2024481442,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7299729585647583,0.01195121556520462,0.1,0.001,1
