method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy
NOG-FO,NOG,12,12,1,2,y_bar,0.1,12,0.3,0.010783924721181393,0.25649356842041016,2,100002,200002,23703531,sfo,7168,7168,3584,"[3584, 3584]",8192,14,14,0.71750408411026,0.011290032416582108
NOG-FO,NOG,60,60,5,2,y_bar,0.1,12,0.3,0.009000186808407307,1.0710315704345703,2,100002,200002,23703531,sfo,31744,31744,15872,"[15872, 15872]",16384,62,62,0.7172176837921143,0.008247550576925278
NOG-FO,NOG,108,108,9,2,y_bar,0.1,12,0.3,0.009158364497125149,1.9090666770935059,2,100002,200002,23703531,sfo,56320,56320,28160,"[28160, 28160]",24576,110,110,0.7169815897941589,0.008187783882021904
NOG-FO,NOG,156,156,13,2,y_bar,0.1,12,0.3,0.008427560329437256,2.7421159744262695,2,100002,200002,23703531,sfo,80896,80896,40448,"[40448, 40448]",32768,158,158,0.7167123556137085,0.008117909543216228
NOG-FO,NOG,204,204,17,2,y_bar,0.1,12,0.3,0.008903756737709045,3.5758426189422607,2,100002,200002,23703531,sfo,105472,105472,52736,"[52736, 52736]",40960,206,206,0.7165247797966003,0.008790566585958004
NOG-FO,NOG,252,252,21,2,y_bar,0.1,12,0.3,0.008544213138520718,4.42409086227417,2,100002,200002,23703531,sfo,130048,130048,65024,"[65024, 65024]",49152,254,254,0.7163076400756836,0.007675149943679571
NOG-FO,NOG,300,300,25,2,y_bar,0.1,12,0.3,0.00846098456531763,5.236759662628174,2,100002,200002,23703531,sfo,154624,154624,77312,"[77312, 77312]",57344,302,302,0.7160570025444031,0.008497750386595726
NOG-FO,NOG,348,348,29,2,y_bar,0.1,12,0.3,0.00715707428753376,6.037514686584473,2,100002,200002,23703531,sfo,179200,179200,89600,"[89600, 89600]",65536,350,350,0.7158249020576477,0.0077647073194384575
NOG-FO,NOG,396,396,33,2,y_bar,0.1,12,0.3,0.008003834635019302,6.8614726066589355,2,100002,200002,23703531,sfo,203776,203776,101888,"[101888, 101888]",73728,398,398,0.7155609130859375,0.008189022541046143
NOG-FO,NOG,444,444,37,2,y_bar,0.1,12,0.3,0.007282999809831381,7.684056282043457,2,100002,200002,23703531,sfo,228352,228352,114176,"[114176, 114176]",81920,446,446,0.715327262878418,0.007276981137692928
NOG-FO,NOG,492,492,41,2,y_bar,0.1,12,0.3,0.008551649749279022,8.497583389282227,2,100002,200002,23703531,sfo,252928,252928,126464,"[126464, 126464]",90112,494,494,0.7149909138679504,0.008305574767291546
NOG-FO,NOG,540,540,45,2,y_bar,0.1,12,0.3,0.008630640804767609,9.293339490890503,2,100002,200002,23703531,sfo,277504,277504,138752,"[138752, 138752]",98304,542,542,0.7147534489631653,0.009030364453792572
NOG-FO,NOG,588,588,49,2,y_bar,0.1,12,0.3,0.007902687415480614,10.116779804229736,2,100002,200002,23703531,sfo,302080,302080,151040,"[151040, 151040]",106496,590,590,0.714518666267395,0.007103749085217714
NOG-FO,NOG,636,636,53,2,y_bar,0.1,12,0.3,0.007776331156492233,10.939158916473389,2,100002,200002,23703531,sfo,326656,326656,163328,"[163328, 163328]",114688,638,638,0.7142720222473145,0.007572406902909279
NOG-FO,NOG,684,684,57,2,y_bar,0.1,12,0.3,0.00817649532109499,11.773805618286133,2,100002,200002,23703531,sfo,351232,351232,175616,"[175616, 175616]",122880,686,686,0.7140913009643555,0.007801404222846031
NOG-FO,NOG,732,732,61,2,y_bar,0.1,12,0.3,0.009111435152590275,12.586168766021729,2,100002,200002,23703531,sfo,375808,375808,187904,"[187904, 187904]",131072,734,734,0.713855504989624,0.007921770215034485
NOG-FO,NOG,780,780,65,2,y_bar,0.1,12,0.3,0.007622563745826483,13.410995483398438,2,100002,200002,23703531,sfo,400384,400384,200192,"[200192, 200192]",139264,782,782,0.7136245965957642,0.007145738694816828
NOG-FO,NOG,828,828,69,2,y_bar,0.1,12,0.3,0.008453131653368473,14.22792649269104,2,100002,200002,23703531,sfo,424960,424960,212480,"[212480, 212480]",147456,830,830,0.7134438157081604,0.007893070578575134
NOG-FO,NOG,876,876,73,2,y_bar,0.1,12,0.3,0.008182310499250889,15.056881189346313,2,100002,200002,23703531,sfo,449536,449536,224768,"[224768, 224768]",155648,878,878,0.7133006453514099,0.009166675619781017
NOG-FO,NOG,924,924,77,2,y_bar,0.1,12,0.3,0.007840113714337349,15.910464763641357,2,100002,200002,23703531,sfo,474112,474112,237056,"[237056, 237056]",163840,926,926,0.7130853533744812,0.007574951276183128
NOG-FO,NOG,960,960,80,2,y_bar,0.1,12,0.3,0.007300972007215023,16.57045602798462,2,100002,200002,23703531,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7129416465759277,0.006778392940759659
