method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,small_batch,large_batch,restart_period,restart_mixing_rounds
DGFM+,DGFM+,1,1,8,x_bar,0.2738516330718994,1,100001,200001,169987917,szo,1024,1024,128,"[128, 128, 128, 128, 128, 128, 128, 128]",8192,2,2,0.7326478362083435,0.010427436791360378,0.1,0.001,8,64,48,1
DGFM+,DGFM+,48,48,8,x_bar,2.902147054672241,1,100001,200001,169987917,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",16384,96,96,0.7327466607093811,0.010109663009643555,0.1,0.001,8,64,48,1
DGFM+,DGFM+,96,96,8,x_bar,5.738864898681641,1,100001,200001,169987917,szo,26112,26112,3264,"[3264, 3264, 3264, 3264, 3264, 3264, 3264, 3264]",24576,192,192,0.7328084111213684,0.010251685976982117,0.1,0.001,8,64,48,1
DGFM+,DGFM+,144,144,8,x_bar,8.568418741226196,1,100001,200001,169987917,szo,39168,39168,4896,"[4896, 4896, 4896, 4896, 4896, 4896, 4896, 4896]",32768,288,288,0.7328433990478516,0.01204474363476038,0.1,0.001,8,64,48,1
DGFM+,DGFM+,192,192,8,x_bar,11.438524723052979,1,100001,200001,169987917,szo,52224,52224,6528,"[6528, 6528, 6528, 6528, 6528, 6528, 6528, 6528]",40960,384,384,0.7328565120697021,0.010842658579349518,0.1,0.001,8,64,48,1
DGFM+,DGFM+,240,240,8,x_bar,14.30844759941101,1,100001,200001,169987917,szo,65280,65280,8160,"[8160, 8160, 8160, 8160, 8160, 8160, 8160, 8160]",49152,480,480,0.7328522205352783,0.010152207687497139,0.1,0.001,8,64,48,1
DGFM+,DGFM+,288,288,8,x_bar,17.17546772956848,1,100001,200001,169987917,szo,78336,78336,9792,"[9792, 9792, 9792, 9792, 9792, 9792, 9792, 9792]",57344,576,576,0.7328911423683167,0.01111194770783186,0.1,0.001,8,64,48,1
DGFM+,DGFM+,336,336,8,x_bar,20.01618242263794,1,100001,200001,169987917,szo,91392,91392,11424,"[11424, 11424, 11424, 11424, 11424, 11424, 11424, 11424]",65536,672,672,0.7328936457633972,0.011286024935543537,0.1,0.001,8,64,48,1
DGFM+,DGFM+,384,384,8,x_bar,22.87851357460022,1,100001,200001,169987917,szo,104448,104448,13056,"[13056, 13056, 13056, 13056, 13056, 13056, 13056, 13056]",73728,768,768,0.732894778251648,0.010696950368583202,0.1,0.001,8,64,48,1
DGFM+,DGFM+,432,432,8,x_bar,25.76199460029602,1,100001,200001,169987917,szo,117504,117504,14688,"[14688, 14688, 14688, 14688, 14688, 14688, 14688, 14688]",81920,864,864,0.7329256534576416,0.01123923808336258,0.1,0.001,8,64,48,1
DGFM+,DGFM+,480,480,8,x_bar,28.66657018661499,1,100001,200001,169987917,szo,130560,130560,16320,"[16320, 16320, 16320, 16320, 16320, 16320, 16320, 16320]",90112,960,960,0.7329072952270508,0.009698411449790001,0.1,0.001,8,64,48,1
DGFM+,DGFM+,528,528,8,x_bar,31.51082420349121,1,100001,200001,169987917,szo,143616,143616,17952,"[17952, 17952, 17952, 17952, 17952, 17952, 17952, 17952]",98304,1056,1056,0.7329363822937012,0.010043847374618053,0.1,0.001,8,64,48,1
DGFM+,DGFM+,576,576,8,x_bar,34.36801886558533,1,100001,200001,169987917,szo,156672,156672,19584,"[19584, 19584, 19584, 19584, 19584, 19584, 19584, 19584]",106496,1152,1152,0.7329511046409607,0.01068082731217146,0.1,0.001,8,64,48,1
DGFM+,DGFM+,624,624,8,x_bar,37.23023200035095,1,100001,200001,169987917,szo,169728,169728,21216,"[21216, 21216, 21216, 21216, 21216, 21216, 21216, 21216]",114688,1248,1248,0.7329550385475159,0.01103364396840334,0.1,0.001,8,64,48,1
DGFM+,DGFM+,672,672,8,x_bar,40.09434247016907,1,100001,200001,169987917,szo,182784,182784,22848,"[22848, 22848, 22848, 22848, 22848, 22848, 22848, 22848]",122880,1344,1344,0.7329850792884827,0.009699329733848572,0.1,0.001,8,64,48,1
DGFM+,DGFM+,720,720,8,x_bar,42.966997146606445,1,100001,200001,169987917,szo,195840,195840,24480,"[24480, 24480, 24480, 24480, 24480, 24480, 24480, 24480]",131072,1440,1440,0.7329853177070618,0.010850172489881516,0.1,0.001,8,64,48,1
DGFM+,DGFM+,768,768,8,x_bar,45.83216738700867,1,100001,200001,169987917,szo,208896,208896,26112,"[26112, 26112, 26112, 26112, 26112, 26112, 26112, 26112]",139264,1536,1536,0.7329901456832886,0.009946427308022976,0.1,0.001,8,64,48,1
DGFM+,DGFM+,816,816,8,x_bar,48.730491638183594,1,100001,200001,169987917,szo,221952,221952,27744,"[27744, 27744, 27744, 27744, 27744, 27744, 27744, 27744]",147456,1632,1632,0.7330000400543213,0.011121856048703194,0.1,0.001,8,64,48,1
DGFM+,DGFM+,864,864,8,x_bar,51.58937621116638,1,100001,200001,169987917,szo,235008,235008,29376,"[29376, 29376, 29376, 29376, 29376, 29376, 29376, 29376]",155648,1728,1728,0.7330054640769958,0.01116469968110323,0.1,0.001,8,64,48,1
DGFM+,DGFM+,912,912,8,x_bar,54.45979571342468,1,100001,200001,169987917,szo,248064,248064,31008,"[31008, 31008, 31008, 31008, 31008, 31008, 31008, 31008]",163840,1824,1824,0.7330107688903809,0.011538034304976463,0.1,0.001,8,64,48,1
DGFM+,DGFM+,960,960,8,x_bar,57.487725019454956,1,100001,200001,169987917,szo,261120,261120,32640,"[32640, 32640, 32640, 32640, 32640, 32640, 32640, 32640]",172032,1920,1920,0.7330109477043152,0.010577481240034103,0.1,0.001,8,64,48,1
