method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,small_batch,large_batch,restart_period,restart_mixing_rounds
DGFM+,DGFM+,1,1,8,x_bar,0.273421049118042,0,100000,200000,310546480,szo,1024,1024,128,"[128, 128, 128, 128, 128, 128, 128, 128]",8192,2,2,0.7295483350753784,0.010513526387512684,0.1,0.001,8,64,48,1
DGFM+,DGFM+,48,48,8,x_bar,2.946190357208252,0,100000,200000,310546480,szo,13056,13056,1632,"[1632, 1632, 1632, 1632, 1632, 1632, 1632, 1632]",16384,96,96,0.7296490669250488,0.011063302867114544,0.1,0.001,8,64,48,1
DGFM+,DGFM+,96,96,8,x_bar,5.847764015197754,0,100000,200000,310546480,szo,26112,26112,3264,"[3264, 3264, 3264, 3264, 3264, 3264, 3264, 3264]",24576,192,192,0.7296711206436157,0.010535822249948978,0.1,0.001,8,64,48,1
DGFM+,DGFM+,144,144,8,x_bar,8.693225383758545,0,100000,200000,310546480,szo,39168,39168,4896,"[4896, 4896, 4896, 4896, 4896, 4896, 4896, 4896]",32768,288,288,0.729690432548523,0.01109952200204134,0.1,0.001,8,64,48,1
DGFM+,DGFM+,192,192,8,x_bar,11.56428337097168,0,100000,200000,310546480,szo,52224,52224,6528,"[6528, 6528, 6528, 6528, 6528, 6528, 6528, 6528]",40960,384,384,0.7297055125236511,0.010304087772965431,0.1,0.001,8,64,48,1
DGFM+,DGFM+,240,240,8,x_bar,14.454955816268921,0,100000,200000,310546480,szo,65280,65280,8160,"[8160, 8160, 8160, 8160, 8160, 8160, 8160, 8160]",49152,480,480,0.7297461032867432,0.010390096344053745,0.1,0.001,8,64,48,1
DGFM+,DGFM+,288,288,8,x_bar,17.29236078262329,0,100000,200000,310546480,szo,78336,78336,9792,"[9792, 9792, 9792, 9792, 9792, 9792, 9792, 9792]",57344,576,576,0.7297309041023254,0.010298226960003376,0.1,0.001,8,64,48,1
DGFM+,DGFM+,336,336,8,x_bar,20.153297424316406,0,100000,200000,310546480,szo,91392,91392,11424,"[11424, 11424, 11424, 11424, 11424, 11424, 11424, 11424]",65536,672,672,0.7297478318214417,0.010984445922076702,0.1,0.001,8,64,48,1
DGFM+,DGFM+,384,384,8,x_bar,23.072019577026367,0,100000,200000,310546480,szo,104448,104448,13056,"[13056, 13056, 13056, 13056, 13056, 13056, 13056, 13056]",73728,768,768,0.7297835350036621,0.010235662572085857,0.1,0.001,8,64,48,1
DGFM+,DGFM+,432,432,8,x_bar,25.918366193771362,0,100000,200000,310546480,szo,117504,117504,14688,"[14688, 14688, 14688, 14688, 14688, 14688, 14688, 14688]",81920,864,864,0.7298176288604736,0.01058079581707716,0.1,0.001,8,64,48,1
DGFM+,DGFM+,480,480,8,x_bar,28.760441064834595,0,100000,200000,310546480,szo,130560,130560,16320,"[16320, 16320, 16320, 16320, 16320, 16320, 16320, 16320]",90112,960,960,0.7298550009727478,0.01162533089518547,0.1,0.001,8,64,48,1
DGFM+,DGFM+,528,528,8,x_bar,31.62323021888733,0,100000,200000,310546480,szo,143616,143616,17952,"[17952, 17952, 17952, 17952, 17952, 17952, 17952, 17952]",98304,1056,1056,0.7298572063446045,0.010182833299040794,0.1,0.001,8,64,48,1
DGFM+,DGFM+,576,576,8,x_bar,34.47832250595093,0,100000,200000,310546480,szo,156672,156672,19584,"[19584, 19584, 19584, 19584, 19584, 19584, 19584, 19584]",106496,1152,1152,0.7298707962036133,0.011123175732791424,0.1,0.001,8,64,48,1
DGFM+,DGFM+,624,624,8,x_bar,37.34915280342102,0,100000,200000,310546480,szo,169728,169728,21216,"[21216, 21216, 21216, 21216, 21216, 21216, 21216, 21216]",114688,1248,1248,0.7298616766929626,0.011173710227012634,0.1,0.001,8,64,48,1
DGFM+,DGFM+,672,672,8,x_bar,40.228652000427246,0,100000,200000,310546480,szo,182784,182784,22848,"[22848, 22848, 22848, 22848, 22848, 22848, 22848, 22848]",122880,1344,1344,0.7298551797866821,0.01129771489650011,0.1,0.001,8,64,48,1
DGFM+,DGFM+,720,720,8,x_bar,43.13938021659851,0,100000,200000,310546480,szo,195840,195840,24480,"[24480, 24480, 24480, 24480, 24480, 24480, 24480, 24480]",131072,1440,1440,0.729834794998169,0.01050086971372366,0.1,0.001,8,64,48,1
DGFM+,DGFM+,768,768,8,x_bar,46.01566028594971,0,100000,200000,310546480,szo,208896,208896,26112,"[26112, 26112, 26112, 26112, 26112, 26112, 26112, 26112]",139264,1536,1536,0.7298480868339539,0.011589856818318367,0.1,0.001,8,64,48,1
DGFM+,DGFM+,816,816,8,x_bar,48.879274129867554,0,100000,200000,310546480,szo,221952,221952,27744,"[27744, 27744, 27744, 27744, 27744, 27744, 27744, 27744]",147456,1632,1632,0.7298494577407837,0.011113065294921398,0.1,0.001,8,64,48,1
DGFM+,DGFM+,864,864,8,x_bar,51.74257779121399,0,100000,200000,310546480,szo,235008,235008,29376,"[29376, 29376, 29376, 29376, 29376, 29376, 29376, 29376]",155648,1728,1728,0.7298069000244141,0.010796422138810158,0.1,0.001,8,64,48,1
DGFM+,DGFM+,912,912,8,x_bar,54.63127589225769,0,100000,200000,310546480,szo,248064,248064,31008,"[31008, 31008, 31008, 31008, 31008, 31008, 31008, 31008]",163840,1824,1824,0.7298253774642944,0.0105668930336833,0.1,0.001,8,64,48,1
DGFM+,DGFM+,960,960,8,x_bar,57.543684244155884,0,100000,200000,310546480,szo,261120,261120,32640,"[32640, 32640, 32640, 32640, 32640, 32640, 32640, 32640]",172032,1920,1920,0.7298373579978943,0.01127627119421959,0.1,0.001,8,64,48,1
