dimension,baseline,ratio_direction,epsilon,scope,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high
25,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.311984352773827,0.10461830562910913,2.268563300142248,2.3577951635846373,0.5779960881934567,0.026154576407277284,0.5664206970128024,0.5891447368421054
25,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.751634615384616,0.11981747219329245,2.69798076923077,2.800483173076923,0.687908653846154,0.02995436804832311,0.6746129807692308,0.7002409855769232
25,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.02,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.328397212543554,0.32323850548545296,3.2007730836236936,3.478397212543554,0.8320993031358885,0.08080962637136324,0.7992813588850174,0.8670851480836235
25,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.018,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.5023519163763064,0.32242392070996617,3.3651567944250873,3.653573606271776,0.8755879790940766,0.08060598017749154,0.8406995862369336,0.9109543771777002
25,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.016,descriptive,19,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",3.8248670456629377,0.5070146604022232,3.620850907757198,4.046135154960572,0.9562167614157344,0.1267536651005558,0.8996630295250321,1.0142352833302768
25,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.015,descriptive,18,20,False,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18",4.018364710225176,0.8519190502038421,3.6810469730527866,4.446760797342193,1.004591177556294,0.21297976255096052,0.9192246908453304,1.112731289221115
25,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
25,DGFM,DGFM/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.3212660028449505,0.2587045821012604,6.213513513513513,6.435135135135136,0.7901582503556188,0.03233807276265755,0.7768885579658606,0.8050242265291606
25,DGFM,DGFM/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.561410256410257,0.333298269722305,7.427496794871795,7.706277243589744,0.9451762820512821,0.04166228371528812,0.9284212740384616,0.9633764022435897
25,DGFM,DGFM/NOG-ZO,0.02,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.699709639953543,0.43296128797360384,8.513291231126598,8.876319686411149,1.0874637049941929,0.05412016099670048,1.0647363167828108,1.1103578687572588
25,DGFM,DGFM/NOG-ZO,0.018,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",9.041056910569106,0.5313572682848786,8.81915795586527,9.264715447154472,1.1301321138211382,0.06641965853560983,1.1020686338559813,1.1593102134146342
25,DGFM,DGFM/NOG-ZO,0.016,descriptive,19,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",9.565010086191085,0.6970987655450188,9.255613118161255,9.864051898037774,1.1956262607738857,0.08713734569312735,1.1569504936120787,1.2340313436029098
25,DGFM,DGFM/NOG-ZO,0.015,descriptive,18,20,False,"0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18",9.847914359542266,0.7351281937322734,9.507441245231943,10.165451581149254,1.2309892949427832,0.09189102421653418,1.1888800449120218,1.2696893841515933
25,DGFM,DGFM/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
25,DGFM+,DGFM+/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.084779516358465,0.66402503152101,6.809078947368421,7.381130867709814,0.9427809388335703,0.08798534257088354,0.9058171452702705,0.9785993065433854
25,DGFM+,DGFM+/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",10.857051282051282,2.7613761719956167,9.8464375,12.127921474358972,1.4439342948717946,0.3667962266616449,1.3081216446314103,1.6219361979166664
25,DGFM+,DGFM+/NOG-ZO,0.02,descriptive,8,20,False,"2,3,5,10,11,15,18,19",22.895180023228804,12.885776628428966,15.12091318234611,31.658805168408826,3.043612986353078,1.7115204511532838,1.9811775234102789,4.200543517711963
25,DGFM+,DGFM+/NOG-ZO,0.018,descriptive,1,20,False,3,29.19047619047619,0.0,29.19047619047619,29.19047619047619,3.880952380952381,0.0,3.880952380952381,3.880952380952381
25,DGFM+,DGFM+/NOG-ZO,0.016,descriptive,0,20,False,,,,,,,,,
25,DGFM+,DGFM+/NOG-ZO,0.015,descriptive,0,20,False,,,,,,,,,
25,DGFM+,DGFM+/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
50,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.29536231884058,0.06338662671949416,2.268768115942029,2.323338768115942,0.573840579710145,0.01584665667987354,0.5672459239130434,0.5806884057971015
50,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.7877448979591835,0.14593183314640318,2.7297127551020406,2.8520471938775507,0.6969362244897959,0.036482958286600795,0.6820083705357142,0.713287037627551
50,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.02,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.2979555822328934,0.21843812101078883,3.2051589735894357,3.390749399759904,0.8244888955582234,0.05460953025269721,0.8017024084633854,0.8465444777911163
