dimension,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
25,NOG-ZO,7,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,8,0.05,primary,True,148.0,151552.0,0.0477434359490871,960.0,983040.0,148.0,151552.0
25,NOG-ZO,8,0.03,primary,True,160.0,163840.0,0.0247059799730777,960.0,983040.0,160.0,163840.0
25,NOG-ZO,8,0.02,descriptive,True,164.0,167936.0,0.0179675985127687,960.0,983040.0,164.0,167936.0
25,NOG-ZO,8,0.018,descriptive,True,164.0,167936.0,0.0179675985127687,960.0,983040.0,164.0,167936.0
25,NOG-ZO,8,0.016,descriptive,True,168.0,172032.0,0.0130862165242433,960.0,983040.0,168.0,172032.0
25,NOG-ZO,8,0.015,descriptive,True,168.0,172032.0,0.0130862165242433,960.0,983040.0,168.0,172032.0
25,NOG-ZO,8,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,9,0.05,primary,True,148.0,151552.0,0.0459609776735305,960.0,983040.0,148.0,151552.0
25,NOG-ZO,9,0.03,primary,True,156.0,159744.0,0.0297622643411159,960.0,983040.0,156.0,159744.0
25,NOG-ZO,9,0.02,descriptive,True,164.0,167936.0,0.0161144956946373,960.0,983040.0,164.0,167936.0
25,NOG-ZO,9,0.018,descriptive,True,164.0,167936.0,0.0161144956946373,960.0,983040.0,164.0,167936.0
25,NOG-ZO,9,0.016,descriptive,True,168.0,172032.0,0.0114729180932044,960.0,983040.0,168.0,172032.0
25,NOG-ZO,9,0.015,descriptive,True,168.0,172032.0,0.0114729180932044,960.0,983040.0,168.0,172032.0
25,NOG-ZO,9,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,10,0.05,primary,True,148.0,151552.0,0.0480038896203041,960.0,983040.0,148.0,151552.0
25,NOG-ZO,10,0.03,primary,True,160.0,163840.0,0.0258460044860839,960.0,983040.0,160.0,163840.0
25,NOG-ZO,10,0.02,descriptive,True,164.0,167936.0,0.0193130485713481,960.0,983040.0,164.0,167936.0
25,NOG-ZO,10,0.018,descriptive,True,168.0,172032.0,0.0158241409808397,960.0,983040.0,168.0,172032.0
25,NOG-ZO,10,0.016,descriptive,True,168.0,172032.0,0.0158241409808397,960.0,983040.0,168.0,172032.0
25,NOG-ZO,10,0.015,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,10,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
