regime,method,epsilon,parameter,batch_total,num_seeds,hit_count,hit_rate,depth_mean_hits,depth_sd_hits,work_mean_hits,work_sd_hits
work_optimal,NOG-FO,0.00525,M=8;eta=2;batch=8,8,20,20,1.0,3742.4,1123.7665237939773,29939.2,8990.132190351818
work_optimal,ME-DOL-FO,0.00525,H=24;multiplier=200;batch=64,64,20,20,1.0,596.4,146.354436395456,38169.6,9366.683929309183
work_optimal,NOG-FO,0.005,M=8;eta=2;batch=16,16,20,20,1.0,2250.8,207.6417968268279,36012.8,3322.2687492292466
work_optimal,ME-DOL-FO,0.005,H=24;multiplier=200;batch=64,64,20,20,1.0,694.8,190.33090298629634,44467.2,12181.177791122966
work_optimal,NOG-FO,0.00475,M=8;eta=2;batch=16,16,20,20,1.0,2562.8,499.99006305915196,41004.8,7999.841008946431
work_optimal,ME-DOL-FO,0.00475,H=24;multiplier=200;batch=64,64,20,20,1.0,956.4,391.29453168465795,61209.6,25042.85002781811
work_optimal,NOG-FO,0.0045,M=8;eta=2;batch=16,16,20,20,1.0,3071.6,770.5575834898286,49145.6,12328.921335837258
work_optimal,ME-DOL-FO,0.0045,H=24;multiplier=150;batch=64,64,20,20,1.0,908.4,241.29440414913108,58137.6,15442.84186554439
work_optimal,NOG-FO,0.00425,M=12;eta=0.25;batch=16,16,20,20,1.0,3372.8,433.4344605346319,53964.8,6934.951368554111
work_optimal,ME-DOL-FO,0.00425,H=24;multiplier=150;batch=64,64,20,20,1.0,1270.8,641.9353631996884,81331.2,41083.863244780056
work_optimal,NOG-FO,0.004,M=12;eta=1;batch=16,16,20,20,1.0,3797.6,565.4976755501579,60761.6,9047.962808802526
work_optimal,ME-DOL-FO,0.004,H=24;multiplier=200;batch=128,128,20,20,1.0,606.0,142.27919180629553,77568.0,18211.736551205828
depth_optimal,NOG-FO,0.01,M=2;eta=1;batch=256,256,20,20,1.0,146.0,0.0,37376.0,0.0
depth_optimal,ME-DOL-FO,0.01,H=12;multiplier=400;batch=256,256,20,20,1.0,130.8,12.25002685281697,33484.8,3136.006874321144
depth_optimal,NOG-FO,0.00975,M=2;eta=1;batch=256,256,20,20,1.0,146.0,0.0,37376.0,0.0
depth_optimal,ME-DOL-FO,0.00975,H=12;multiplier=400;batch=256,256,20,20,1.0,133.2,12.25002685281697,34099.2,3136.006874321144
depth_optimal,NOG-FO,0.0095,M=2;eta=1;batch=256,256,20,20,1.0,146.0,0.0,37376.0,0.0
depth_optimal,ME-DOL-FO,0.0095,H=12;multiplier=400;batch=256,256,20,20,1.0,134.4,12.06299255880083,34406.4,3088.1260950530127
depth_optimal,NOG-FO,0.00925,M=2;eta=1;batch=256,256,20,20,1.0,146.0,0.0,37376.0,0.0
depth_optimal,ME-DOL-FO,0.00925,H=12;multiplier=400;batch=256,256,20,20,1.0,134.4,12.06299255880083,34406.4,3088.1260950530127
depth_optimal,NOG-FO,0.009,M=2;eta=1;batch=256,256,20,20,1.0,148.4,7.3870441350131095,37990.4,1891.083298563356
depth_optimal,ME-DOL-FO,0.009,H=12;multiplier=400;batch=128,128,20,20,1.0,144.0,0.0,18432.0,0.0
depth_optimal,NOG-FO,0.00875,M=2;eta=1;batch=256,256,20,20,1.0,148.4,7.3870441350131095,37990.4,1891.083298563356
depth_optimal,ME-DOL-FO,0.00875,H=12;multiplier=400;batch=128,128,20,20,1.0,144.0,0.0,18432.0,0.0
depth_optimal,NOG-FO,0.0085,M=2;eta=2;batch=256,256,20,20,1.0,150.8,9.84939218001748,38604.8,2521.444398084475
depth_optimal,ME-DOL-FO,0.0085,H=12;multiplier=400;batch=128,128,20,20,1.0,144.0,0.0,18432.0,0.0
depth_optimal,NOG-FO,0.00825,M=2;eta=2;batch=256,256,20,20,1.0,150.8,9.84939218001748,38604.8,2521.444398084475
depth_optimal,ME-DOL-FO,0.00825,H=12;multiplier=400;batch=128,128,20,20,1.0,144.0,0.0,18432.0,0.0
depth_optimal,NOG-FO,0.008,M=2;eta=2;batch=256,256,20,20,1.0,152.0,10.662279799663663,38912.0,2729.5436287138978
depth_optimal,ME-DOL-FO,0.008,H=12;multiplier=400;batch=256,256,20,20,1.0,142.8,5.366563145999495,36556.8,1373.8401653758708
depth_optimal,NOG-FO,0.00775,M=2;eta=2;batch=256,256,20,20,1.0,154.4,11.74465163831023,39526.4,3006.630819407419
depth_optimal,ME-DOL-FO,0.00775,H=12;multiplier=400;batch=256,256,20,20,1.0,142.8,5.366563145999495,36556.8,1373.8401653758708
depth_optimal,NOG-FO,0.0075,M=2;eta=2;batch=256,256,20,20,1.0,158.0,12.311740225021849,40448.0,3151.8054976055932
depth_optimal,ME-DOL-FO,0.0075,H=12;multiplier=400;batch=256,256,20,20,1.0,144.0,0.0,36864.0,0.0
depth_optimal,NOG-FO,0.00725,M=2;eta=2;batch=256,256,20,20,1.0,164.0,10.662279799663663,41984.0,2729.5436287138978
depth_optimal,ME-DOL-FO,0.00725,H=12;multiplier=400;batch=256,256,20,20,1.0,144.0,0.0,36864.0,0.0
depth_optimal,NOG-FO,0.007,M=2;eta=2;batch=256,256,20,20,1.0,166.4,8.792341164780558,42598.4,2250.8393381838227
depth_optimal,ME-DOL-FO,0.007,H=12;multiplier=400;batch=256,256,20,20,1.0,144.0,0.0,36864.0,0.0
depth_optimal,NOG-FO,0.00675,M=2;eta=2;batch=256,256,20,20,1.0,168.8,14.515327651903187,43212.8,3715.923878887216
depth_optimal,ME-DOL-FO,0.00675,H=12;multiplier=400;batch=256,256,20,20,1.0,145.2,5.366563145999495,37171.2,1373.8401653758708
depth_optimal,NOG-FO,0.0065,M=2;eta=2;batch=256,256,20,20,1.0,173.6,23.714086420034025,44441.6,6070.8061235287105
depth_optimal,ME-DOL-FO,0.0065,H=12;multiplier=400;batch=256,256,20,20,1.0,147.6,8.792341164780558,37785.6,2250.8393381838227
depth_optimal,NOG-FO,0.00625,M=2;eta=4;batch=256,256,20,20,1.0,176.0,10.662279799663663,45056.0,2729.5436287138978
depth_optimal,ME-DOL-FO,0.00625,H=12;multiplier=400;batch=256,256,20,20,1.0,151.2,11.283896303559054,38707.2,2888.677453711118
depth_optimal,NOG-FO,0.006,M=2;eta=4;batch=256,256,20,20,1.0,176.0,10.662279799663663,45056.0,2729.5436287138978
depth_optimal,ME-DOL-FO,0.006,H=12;multiplier=400;batch=256,256,20,20,1.0,154.8,12.25002685281697,39628.8,3136.006874321144
depth_optimal,NOG-FO,0.00575,M=2;eta=4;batch=256,256,20,20,1.0,195.2,27.50234439767674,49971.2,7040.6001658052455
depth_optimal,ME-DOL-FO,0.00575,H=12;multiplier=400;batch=256,256,20,20,1.0,157.2,12.25002685281697,40243.2,3136.006874321144
depth_optimal,NOG-FO,0.0055,M=2;eta=4;batch=256,256,20,20,1.0,227.6,54.17165699009614,58265.6,13867.944189464612
depth_optimal,ME-DOL-FO,0.0055,H=12;multiplier=400;batch=256,256,20,20,1.0,164.4,21.002255517970095,42086.4,5376.577412600344
depth_optimal,NOG-FO,0.00525,M=2;eta=4;batch=256,256,20,20,1.0,305.6,157.14237593911287,78233.6,40228.448240412894
depth_optimal,ME-DOL-FO,0.00525,H=12;multiplier=400;batch=256,256,20,20,1.0,174.0,26.832815729997478,44544.0,6869.200826879354
depth_optimal,NOG-FO,0.005,M=4;eta=1;batch=256,256,20,20,1.0,340.4,30.056788356638997,87142.4,7694.537819299583
depth_optimal,ME-DOL-FO,0.005,H=12;multiplier=400;batch=256,256,20,20,1.0,187.2,35.34134301799791,47923.2,9047.383812607464
depth_optimal,NOG-FO,0.00475,M=4;eta=1;batch=256,256,20,20,1.0,353.6,27.280993962444757,90521.6,6983.934454385858
depth_optimal,ME-DOL-FO,0.00475,H=12;multiplier=400;batch=256,256,20,20,1.0,224.4,43.545982955709555,57446.4,11147.771636661646
depth_optimal,NOG-FO,0.0045,M=4;eta=2;batch=256,256,20,20,1.0,369.2,19.231553020464762,94515.2,4923.277573238979
depth_optimal,ME-DOL-FO,0.0045,H=24;multiplier=400;batch=256,256,20,20,1.0,243.6,28.370481323486842,62361.6,7262.843218812632
depth_optimal,NOG-FO,0.00425,M=4;eta=2;batch=256,256,20,20,1.0,390.8,37.82730843131579,100044.8,9683.790958416843
depth_optimal,ME-DOL-FO,0.00425,H=12;multiplier=300;batch=256,256,20,20,1.0,296.4,49.4159573630347,75878.4,12650.485084936883
depth_optimal,NOG-FO,0.004,M=4;eta=4;batch=256,256,20,20,1.0,425.6,55.7573691141029,108953.6,14273.886493210342
depth_optimal,ME-DOL-FO,0.004,H=24;multiplier=400;batch=256,256,20,20,1.0,336.0,94.7284206783293,86016.0,24250.4756936523
