regime,epsilon,num_seeds,paired_hit_count,ratios_use_capped_values,depth_ratio_mean,depth_ratio_sd,depth_ratio_ci_low,depth_ratio_ci_high,work_ratio_mean,work_ratio_sd,work_ratio_ci_low,work_ratio_ci_high
work_optimal,0.01,20,20,False,1.047286196765682,0.2338528777354886,0.9576870210199326,1.1566364096178314,0.9960119582126696,0.19963298002223814,0.911591358242781,1.0827423895548896
work_optimal,0.00975,20,20,False,1.190845444358774,0.18957982600851278,1.114914990929876,1.280314666327257,0.8585249712252463,0.12554289726269094,0.8031125968341266,0.9136403094185945
work_optimal,0.0095,20,20,False,1.1887048799115743,0.30263709502070724,1.0699775381559795,1.319748213967142,0.8856755081156237,0.19204509065179887,0.8036437691259889,0.9631168848070272
work_optimal,0.00925,20,20,False,1.1733440904447583,0.23708796551201794,1.0757144007354005,1.2761619383057978,0.8831907987879043,0.1642112462745499,0.8096166821390036,0.9515350899593962
work_optimal,0.009,20,20,False,2.151628987396545,0.5093380411335382,1.9352584397343147,2.366057433715608,0.981566795975981,0.23792816374554546,0.8840759726691205,1.087090437268652
work_optimal,0.00875,20,20,False,1.9455666874192152,0.3766909499188753,1.7919219349750455,2.1085082599821963,1.0666610689386145,0.21475294368158734,0.9810335277181498,1.162020869608882
work_optimal,0.0085,20,20,False,0.84866388486371,0.13957128917516617,0.7887170218348147,0.9081583991048482,1.2092773537210282,0.19992108291934776,1.125168644057672,1.2978410199534587
work_optimal,0.00825,20,20,False,0.9888629220611798,0.25937199134689337,0.8892082031683757,1.0998054547217522,1.0700798196204033,0.24499124645183895,0.9698931332103,1.1705188281842813
work_optimal,0.008,20,20,False,0.49849401890471184,0.11625507009084295,0.4493214254653543,0.5501471538061966,1.0647905877489319,0.2938763988786243,0.9495850543172853,1.1972058678884658
work_optimal,0.00775,20,20,False,0.5620781207037446,0.1075968901570652,0.5150603411807223,0.6036340978094363,0.9307405234875359,0.23322143566605696,0.83952899489088,1.0419244104143566
work_optimal,0.0075,20,20,False,0.6471332953381831,0.19576039925261984,0.5681018937437357,0.7327900281191828,0.8399579852584759,0.24372595569766534,0.7360613902402366,0.9420158580471804
work_optimal,0.00725,20,20,False,0.6139473233189185,0.07847899845865987,0.5794389188815984,0.647229417920843,0.8273729481155293,0.10986729776839907,0.7849085503794515,0.8768145138793901
work_optimal,0.007,20,20,False,1.1318147410206438,0.15592384836833148,1.0649136601586504,1.1998530489246713,0.9005545472460867,0.13235829263687857,0.8467382582571865,0.9615895395391172
work_optimal,0.00675,20,20,False,1.968802769139943,0.3376597847844707,1.8277360189963874,2.1171419236540494,1.0482423237230778,0.20933915245725435,0.9651479738213402,1.1355823730617733
work_optimal,0.0065,20,20,False,0.7198977219024251,0.3322345063860123,0.585099369532756,0.8712575278270257,0.8153878587770292,0.2984830669430834,0.6830813149663321,0.941958884936075
work_optimal,0.00625,20,20,False,0.2537589500338451,0.03121588653700552,0.24061506236004493,0.26678901235459307,0.999491430927543,0.12378817316929767,0.948383275821135,1.0531150594177852
