method,base_method,oracle_type,worker_count,formal_seed,threshold,hit,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_stat_proxy,final_stat_proxy
ME-DOL-ZO,ME-DOL,szo,8,2,0.008,False,,,,,0.011490817181766
ME-DOL-ZO,ME-DOL,szo,8,2,0.0075,False,,,,,0.011490817181766
ME-DOL-ZO,ME-DOL,szo,8,3,0.01,True,156.0,2496.0,312.0,0.0094069633632898,0.0097198886796832
ME-DOL-ZO,ME-DOL,szo,8,3,0.009,False,,,,,0.0097198886796832
ME-DOL-ZO,ME-DOL,szo,8,3,0.008,False,,,,,0.0097198886796832
ME-DOL-ZO,ME-DOL,szo,8,3,0.0075,False,,,,,0.0097198886796832
ME-DOL-ZO,ME-DOL,szo,8,4,0.01,False,,,,,0.0105339959263801
ME-DOL-ZO,ME-DOL,szo,8,4,0.009,False,,,,,0.0105339959263801
ME-DOL-ZO,ME-DOL,szo,8,4,0.008,False,,,,,0.0105339959263801
ME-DOL-ZO,ME-DOL,szo,8,4,0.0075,False,,,,,0.0105339959263801
NOG-FO,NOG,sfo,1,0,0.01,True,14.0,7168.0,7168.0,0.0091231642290949,0.0073287459090352
NOG-FO,NOG,sfo,1,0,0.009,True,62.0,31744.0,31744.0,0.0077881990000605,0.0073287459090352
NOG-FO,NOG,sfo,1,0,0.008,True,62.0,31744.0,31744.0,0.0077881990000605,0.0073287459090352
NOG-FO,NOG,sfo,1,0,0.0075,True,158.0,80896.0,80896.0,0.0073318243958055,0.0073287459090352
NOG-FO,NOG,sfo,1,1,0.01,True,62.0,31744.0,31744.0,0.0075329351238906,0.007079585455358
NOG-FO,NOG,sfo,1,1,0.009,True,62.0,31744.0,31744.0,0.0075329351238906,0.007079585455358
NOG-FO,NOG,sfo,1,1,0.008,True,62.0,31744.0,31744.0,0.0075329351238906,0.007079585455358
NOG-FO,NOG,sfo,1,1,0.0075,True,110.0,56320.0,56320.0,0.0072531313635408,0.007079585455358
NOG-FO,NOG,sfo,1,2,0.01,True,62.0,31744.0,31744.0,0.0083880126476287,0.0075487056747078
NOG-FO,NOG,sfo,1,2,0.009,True,62.0,31744.0,31744.0,0.0083880126476287,0.0075487056747078
NOG-FO,NOG,sfo,1,2,0.008,True,110.0,56320.0,56320.0,0.0075894189067184,0.0075487056747078
NOG-FO,NOG,sfo,1,2,0.0075,True,590.0,302080.0,302080.0,0.0068907593376934,0.0075487056747078
NOG-FO,NOG,sfo,1,3,0.01,True,14.0,7168.0,7168.0,0.0098669696599245,0.0073140803724527
NOG-FO,NOG,sfo,1,3,0.009,True,62.0,31744.0,31744.0,0.0075232833623886,0.0073140803724527
NOG-FO,NOG,sfo,1,3,0.008,True,62.0,31744.0,31744.0,0.0075232833623886,0.0073140803724527
NOG-FO,NOG,sfo,1,3,0.0075,True,158.0,80896.0,80896.0,0.0059731830842792,0.0073140803724527
NOG-FO,NOG,sfo,1,4,0.01,True,62.0,31744.0,31744.0,0.0084188785403966,0.0077500343322753
NOG-FO,NOG,sfo,1,4,0.009,True,62.0,31744.0,31744.0,0.0084188785403966,0.0077500343322753
NOG-FO,NOG,sfo,1,4,0.008,True,110.0,56320.0,56320.0,0.0079225171357393,0.0077500343322753
NOG-FO,NOG,sfo,1,4,0.0075,True,206.0,105472.0,105472.0,0.0070551503449678,0.0077500343322753
NOG-FO,NOG,sfo,2,0,0.01,True,14.0,7168.0,3584.0,0.009473499841988,0.0071578714996576
NOG-FO,NOG,sfo,2,0,0.009,True,62.0,31744.0,15872.0,0.0079606436192989,0.0071578714996576
NOG-FO,NOG,sfo,2,0,0.008,True,62.0,31744.0,15872.0,0.0079606436192989,0.0071578714996576
NOG-FO,NOG,sfo,2,0,0.0075,True,158.0,80896.0,40448.0,0.0067403120920062,0.0071578714996576
NOG-FO,NOG,sfo,2,1,0.01,True,14.0,7168.0,3584.0,0.0099512180313467,0.007132620550692
NOG-FO,NOG,sfo,2,1,0.009,True,62.0,31744.0,15872.0,0.0077388668432831,0.007132620550692
NOG-FO,NOG,sfo,2,1,0.008,True,62.0,31744.0,15872.0,0.0077388668432831,0.007132620550692
NOG-FO,NOG,sfo,2,1,0.0075,True,110.0,56320.0,28160.0,0.0074352449737489,0.007132620550692
NOG-FO,NOG,sfo,2,2,0.01,True,62.0,31744.0,15872.0,0.0082475505769252,0.0067783929407596
NOG-FO,NOG,sfo,2,2,0.009,True,62.0,31744.0,15872.0,0.0082475505769252,0.0067783929407596
NOG-FO,NOG,sfo,2,2,0.008,True,254.0,130048.0,65024.0,0.0076751499436795,0.0067783929407596
NOG-FO,NOG,sfo,2,2,0.0075,True,446.0,228352.0,114176.0,0.0072769811376929,0.0067783929407596
NOG-FO,NOG,sfo,2,3,0.01,True,14.0,7168.0,3584.0,0.0096296900883317,0.0074820700101554
NOG-FO,NOG,sfo,2,3,0.009,True,62.0,31744.0,15872.0,0.0078449929133057,0.0074820700101554
NOG-FO,NOG,sfo,2,3,0.008,True,62.0,31744.0,15872.0,0.0078449929133057,0.0074820700101554
NOG-FO,NOG,sfo,2,3,0.0075,True,158.0,80896.0,40448.0,0.006220428738743,0.0074820700101554
NOG-FO,NOG,sfo,2,4,0.01,True,62.0,31744.0,15872.0,0.008463897742331,0.0077073569409549
NOG-FO,NOG,sfo,2,4,0.009,True,62.0,31744.0,15872.0,0.008463897742331,0.0077073569409549
NOG-FO,NOG,sfo,2,4,0.008,True,110.0,56320.0,28160.0,0.0074840644374489,0.0077073569409549
NOG-FO,NOG,sfo,2,4,0.0075,True,110.0,56320.0,28160.0,0.0074840644374489,0.0077073569409549
NOG-FO,NOG,sfo,4,0,0.01,True,14.0,7168.0,1792.0,0.0088335266336798,0.0072129592299461
NOG-FO,NOG,sfo,4,0,0.009,True,14.0,7168.0,1792.0,0.0088335266336798,0.0072129592299461
NOG-FO,NOG,sfo,4,0,0.008,True,62.0,31744.0,7936.0,0.0078123831190168,0.0072129592299461
NOG-FO,NOG,sfo,4,0,0.0075,True,158.0,80896.0,20224.0,0.0073459227569401,0.0072129592299461
NOG-FO,NOG,sfo,4,1,0.01,True,14.0,7168.0,1792.0,0.0099477963522076,0.0071625602431595
NOG-FO,NOG,sfo,4,1,0.009,True,62.0,31744.0,7936.0,0.0074720149859786,0.0071625602431595
NOG-FO,NOG,sfo,4,1,0.008,True,62.0,31744.0,7936.0,0.0074720149859786,0.0071625602431595
NOG-FO,NOG,sfo,4,1,0.0075,True,62.0,31744.0,7936.0,0.0074720149859786,0.0071625602431595
NOG-FO,NOG,sfo,4,2,0.01,True,62.0,31744.0,7936.0,0.0083954008296132,0.0076412064954638
NOG-FO,NOG,sfo,4,2,0.009,True,62.0,31744.0,7936.0,0.0083954008296132,0.0076412064954638
NOG-FO,NOG,sfo,4,2,0.008,True,110.0,56320.0,14080.0,0.007802337873727,0.0076412064954638
NOG-FO,NOG,sfo,4,2,0.0075,True,590.0,302080.0,75520.0,0.0071586444973945,0.0076412064954638
NOG-FO,NOG,sfo,4,3,0.01,True,14.0,7168.0,1792.0,0.0099074272438883,0.0071942973881959
