method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
NOG-FO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.0074445316568017,62.61485815048218,1,100001,200001,129676976,sfo,492544,492544,61568,"[61568, 61568, 61568, 61568, 61568, 61568, 61568, 61568]",172032,962,962,0.731098473072052,0.0075390869751572,,,,,,,,
NOG-ZO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0707031264901161,5.822977542877197,1,100001,200001,455402669,szo,985088,985088,985088,[985088],172032,962,962,0.7329204678535461,0.0090193459764122,,,,,,,,
NOG-ZO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.073249727487564,9.947432041168211,1,100001,200001,883829,szo,985088,985088,492544,"[492544, 492544]",172032,962,962,0.7329391241073608,0.0088162729516625,,,,,,,,
NOG-ZO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.0759530216455459,18.287962675094604,1,100001,200001,10169594,szo,985088,985088,246272,"[246272, 246272, 246272, 246272]",172032,962,962,0.7329165935516357,0.0093973092734813,,,,,,,,
NOG-ZO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.0706644207239151,34.650731801986694,1,100001,200001,988732541,szo,985088,985088,123136,"[123136, 123136, 123136, 123136, 123136, 123136, 123136, 123136]",172032,962,962,0.7329385280609131,0.0084722861647605,,,,,,,,
NOG-FO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0086815562099218,9.144174575805664,2,100002,200002,1074901281,sfo,492544,492544,492544,[492544],172032,962,962,0.7128362059593201,0.0075487056747078,,,,,,,,
NOG-FO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.007300972007215,16.57045602798462,2,100002,200002,23703531,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7129416465759277,0.0067783929407596,,,,,,,,
NOG-FO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.0086818523705005,32.04259490966797,2,100002,200002,1473483745,sfo,492544,492544,123136,"[123136, 123136, 123136, 123136]",172032,962,962,0.7127951979637146,0.0076412064954638,,,,,,,,
NOG-FO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.0090961242094635,62.65395665168762,2,100002,200002,1095244158,sfo,492544,492544,61568,"[61568, 61568, 61568, 61568, 61568, 61568, 61568, 61568]",172032,962,962,0.7128653526306152,0.0072055254131555,,,,,,,,
NOG-ZO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0617393217980861,5.769993543624878,2,100002,200002,606279217,szo,985088,985088,985088,[985088],172032,962,962,0.717544436454773,0.0095376074314117,,,,,,,,
NOG-ZO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.0704679265618324,9.787257194519045,2,100002,200002,730580027,szo,985088,985088,492544,"[492544, 492544]",172032,962,962,0.7174777984619141,0.0103982985019683,,,,,,,,
NOG-ZO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.0650756806135177,18.12162446975708,2,100002,200002,39788718,szo,985088,985088,246272,"[246272, 246272, 246272, 246272]",172032,962,962,0.7174751162528992,0.0091718351468443,,,,,,,,
NOG-ZO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.073503129184246,34.42835474014282,2,100002,200002,1724320104,szo,985088,985088,123136,"[123136, 123136, 123136, 123136, 123136, 123136, 123136, 123136]",172032,962,962,0.7174190282821655,0.0092871347442269,,,,,,,,
NOG-FO,NOG,960,960,80.0,1,y_bar,0.1,12.0,0.3,0.0078591760247945,9.60109257698059,3,100003,200003,988213251,sfo,492544,492544,492544,[492544],172032,962,962,0.7275698781013489,0.0073140803724527,,,,,,,,
NOG-FO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.007801154628396,17.052897691726685,3,100003,200003,2091228043,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7275084257125854,0.0074820700101554,,,,,,,,
