method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
NOG-FO,NOG,204,204,17.0,2,y_bar,0.1,12.0,0.3,0.008252130821347237,3.7202892303466797,0,100000,200000,310902531,sfo,105472,105472,52736,"[52736, 52736]",40960,206,206,0.7293186187744141,0.007536991033703089,,,,,,,,
NOG-FO,NOG,252,252,21.0,2,y_bar,0.1,12.0,0.3,0.007923152297735214,4.571628570556641,0,100000,200000,310902531,sfo,130048,130048,65024,"[65024, 65024]",49152,254,254,0.7291892766952515,0.0070595508441329,,,,,,,,
NOG-FO,NOG,300,300,25.0,2,y_bar,0.1,12.0,0.3,0.007583787199109793,5.417096853256226,0,100000,200000,310902531,sfo,154624,154624,77312,"[77312, 77312]",57344,302,302,0.7291290760040283,0.007419586647301912,,,,,,,,
NOG-FO,NOG,348,348,29.0,2,y_bar,0.1,12.0,0.3,0.007740723434835672,6.280392408370972,0,100000,200000,310902531,sfo,179200,179200,89600,"[89600, 89600]",65536,350,350,0.7290260791778564,0.006833940744400024,,,,,,,,
NOG-FO,NOG,396,396,33.0,2,y_bar,0.1,12.0,0.3,0.0078346012160182,7.159670829772949,0,100000,200000,310902531,sfo,203776,203776,101888,"[101888, 101888]",73728,398,398,0.7289282083511353,0.007265981752425432,,,,,,,,
NOG-FO,NOG,444,444,37.0,2,y_bar,0.1,12.0,0.3,0.007398735731840134,8.039441585540771,0,100000,200000,310902531,sfo,228352,228352,114176,"[114176, 114176]",81920,446,446,0.7288546562194824,0.006379025988280773,,,,,,,,
NOG-FO,NOG,492,492,41.0,2,y_bar,0.1,12.0,0.3,0.006665019318461418,8.876997709274292,0,100000,200000,310902531,sfo,252928,252928,126464,"[126464, 126464]",90112,494,494,0.7287836074829102,0.0074567473493516445,,,,,,,,
NOG-FO,NOG,540,540,45.0,2,y_bar,0.1,12.0,0.3,0.008507014252245426,9.695222854614258,0,100000,200000,310902531,sfo,277504,277504,138752,"[138752, 138752]",98304,542,542,0.7286824584007263,0.007409428711980581,,,,,,,,
NOG-FO,NOG,588,588,49.0,2,y_bar,0.1,12.0,0.3,0.007593633607029915,10.595561742782593,0,100000,200000,310902531,sfo,302080,302080,151040,"[151040, 151040]",106496,590,590,0.7285593152046204,0.007514445576816797,,,,,,,,
NOG-FO,NOG,636,636,53.0,2,y_bar,0.1,12.0,0.3,0.006599621381610632,11.524004459381104,0,100000,200000,310902531,sfo,326656,326656,163328,"[163328, 163328]",114688,638,638,0.728452205657959,0.0075303358025848866,,,,,,,,
NOG-FO,NOG,684,684,57.0,2,y_bar,0.1,12.0,0.3,0.007987283170223236,12.43938136100769,0,100000,200000,310902531,sfo,351232,351232,175616,"[175616, 175616]",122880,686,686,0.7283721566200256,0.006876474712044001,,,,,,,,
NOG-FO,NOG,732,732,61.0,2,y_bar,0.1,12.0,0.3,0.00825404655188322,13.271018981933594,0,100000,200000,310902531,sfo,375808,375808,187904,"[187904, 187904]",131072,734,734,0.7282463908195496,0.007015251088887453,,,,,,,,
NOG-FO,NOG,780,780,65.0,2,y_bar,0.1,12.0,0.3,0.008428362198174,14.072772741317749,0,100000,200000,310902531,sfo,400384,400384,200192,"[200192, 200192]",139264,782,782,0.7281028032302856,0.006545076612383127,,,,,,,,
NOG-FO,NOG,828,828,69.0,2,y_bar,0.1,12.0,0.3,0.00813905056566,14.954031705856323,0,100000,200000,310902531,sfo,424960,424960,212480,"[212480, 212480]",147456,830,830,0.7279574871063232,0.007515399716794491,,,,,,,,
NOG-FO,NOG,876,876,73.0,2,y_bar,0.1,12.0,0.3,0.006603378336876631,15.836125612258911,0,100000,200000,310902531,sfo,449536,449536,224768,"[224768, 224768]",155648,878,878,0.7278284430503845,0.00806926004588604,,,,,,,,
NOG-FO,NOG,924,924,77.0,2,y_bar,0.1,12.0,0.3,0.00842007901519537,16.785056591033936,0,100000,200000,310902531,sfo,474112,474112,237056,"[237056, 237056]",163840,926,926,0.7277193665504456,0.006831157021224499,,,,,,,,
NOG-FO,NOG,960,960,80.0,2,y_bar,0.1,12.0,0.3,0.00843716785311699,17.447263479232788,0,100000,200000,310902531,sfo,492544,492544,246272,"[246272, 246272]",172032,962,962,0.7276249527931213,0.007157871499657631,,,,,,,,
NOG-FO,NOG,12,12,1.0,4,y_bar,0.1,12.0,0.3,0.01008149329572916,0.4608027935028076,0,100000,200000,2137108057,sfo,7168,7168,1792,"[1792, 1792, 1792, 1792]",8192,14,14,0.7295747995376587,0.008833526633679867,,,,,,,,
NOG-FO,NOG,60,60,5.0,4,y_bar,0.1,12.0,0.3,0.006817283108830452,2.1196820735931396,0,100000,200000,2137108057,sfo,31744,31744,7936,"[7936, 7936, 7936, 7936]",16384,62,62,0.7295520901679993,0.007812383119016886,,,,,,,,
NOG-FO,NOG,108,108,9.0,4,y_bar,0.1,12.0,0.3,0.0077809058129787445,3.9166905879974365,0,100000,200000,2137108057,sfo,56320,56320,14080,"[14080, 14080, 14080, 14080]",24576,110,110,0.7294728755950928,0.007773923221975565,,,,,,,,
NOG-FO,NOG,156,156,13.0,4,y_bar,0.1,12.0,0.3,0.007208877708762884,5.604976177215576,0,100000,200000,2137108057,sfo,80896,80896,20224,"[20224, 20224, 20224, 20224]",32768,158,158,0.7293803691864014,0.007345922756940126,,,,,,,,
NOG-FO,NOG,204,204,17.0,4,y_bar,0.1,12.0,0.3,0.008262544870376587,7.297660827636719,0,100000,200000,2137108057,sfo,105472,105472,26368,"[26368, 26368, 26368, 26368]",40960,206,206,0.7292738556861877,0.007452167570590973,,,,,,,,
NOG-FO,NOG,252,252,21.0,4,y_bar,0.1,12.0,0.3,0.007716414984315634,8.938891649246216,0,100000,200000,2137108057,sfo,130048,130048,32512,"[32512, 32512, 32512, 32512]",49152,254,254,0.7291780710220337,0.007019954267889261,,,,,,,,
NOG-FO,NOG,300,300,25.0,4,y_bar,0.1,12.0,0.3,0.006721153389662504,10.61659550666809,0,100000,200000,2137108057,sfo,154624,154624,38656,"[38656, 38656, 38656, 38656]",57344,302,302,0.7290613651275635,0.007148779928684235,,,,,,,,
NOG-FO,NOG,348,348,29.0,4,y_bar,0.1,12.0,0.3,0.007493844721466303,12.252114534378052,0,100000,200000,2137108057,sfo,179200,179200,44800,"[44800, 44800, 44800, 44800]",65536,350,350,0.7289888262748718,0.00703032361343503,,,,,,,,
NOG-FO,NOG,396,396,33.0,4,y_bar,0.1,12.0,0.3,0.007678622379899025,13.89467740058899,0,100000,200000,2137108057,sfo,203776,203776,50944,"[50944, 50944, 50944, 50944]",73728,398,398,0.7288696765899658,0.007347847335040569,,,,,,,,
NOG-FO,NOG,444,444,37.0,4,y_bar,0.1,12.0,0.3,0.007559364661574364,15.533504247665405,0,100000,200000,2137108057,sfo,228352,228352,57088,"[57088, 57088, 57088, 57088]",81920,446,446,0.7288354635238647,0.006439764518290758,,,,,,,,
NOG-FO,NOG,492,492,41.0,4,y_bar,0.1,12.0,0.3,0.007985918782651424,17.166851043701172,0,100000,200000,2137108057,sfo,252928,252928,63232,"[63232, 63232, 63232, 63232]",90112,494,494,0.728720486164093,0.007238249760121107,,,,,,,,
NOG-FO,NOG,540,540,45.0,4,y_bar,0.1,12.0,0.3,0.006505033001303673,18.89117455482483,0,100000,200000,2137108057,sfo,277504,277504,69376,"[69376, 69376, 69376, 69376]",98304,542,542,0.7286165952682495,0.006820485927164555,,,,,,,,
NOG-FO,NOG,588,588,49.0,4,y_bar,0.1,12.0,0.3,0.006983309052884579,20.519267559051514,0,100000,200000,2137108057,sfo,302080,302080,75520,"[75520, 75520, 75520, 75520]",106496,590,590,0.7285475134849548,0.007414256688207388,,,,,,,,
NOG-FO,NOG,636,636,53.0,4,y_bar,0.1,12.0,0.3,0.007110553327947855,22.070374488830566,0,100000,200000,2137108057,sfo,326656,326656,81664,"[81664, 81664, 81664, 81664]",114688,638,638,0.7284080386161804,0.00719419913366437,,,,,,,,
NOG-FO,NOG,684,684,57.0,4,y_bar,0.1,12.0,0.3,0.007988648489117622,23.701513528823853,0,100000,200000,2137108057,sfo,351232,351232,87808,"[87808, 87808, 87808, 87808]",122880,686,686,0.7282840609550476,0.006639264058321714,,,,,,,,
NOG-FO,NOG,732,732,61.0,4,y_bar,0.1,12.0,0.3,0.008506014943122864,25.35250735282898,0,100000,200000,2137108057,sfo,375808,375808,93952,"[93952, 93952, 93952, 93952]",131072,734,734,0.7281560897827148,0.00673484243452549,,,,,,,,
NOG-FO,NOG,780,780,65.0,4,y_bar,0.1,12.0,0.3,0.007115353364497423,27.01333975791931,0,100000,200000,2137108057,sfo,400384,400384,100096,"[100096, 100096, 100096, 100096]",139264,782,782,0.7280316352844238,0.0070833745412528515,,,,,,,,
NOG-FO,NOG,828,828,69.0,4,y_bar,0.1,12.0,0.3,0.007973349653184414,28.69116187095642,0,100000,200000,2137108057,sfo,424960,424960,106240,"[106240, 106240, 106240, 106240]",147456,830,830,0.727909505367279,0.007468125317245722,,,,,,,,
NOG-FO,NOG,876,876,73.0,4,y_bar,0.1,12.0,0.3,0.008264018222689629,30.347854375839233,0,100000,200000,2137108057,sfo,449536,449536,112384,"[112384, 112384, 112384, 112384]",155648,878,878,0.7278074026107788,0.007730744779109955,,,,,,,,
NOG-FO,NOG,924,924,77.0,4,y_bar,0.1,12.0,0.3,0.007775713689625263,31.983548164367676,0,100000,200000,2137108057,sfo,474112,474112,118528,"[118528, 118528, 118528, 118528]",163840,926,926,0.7276940941810608,0.007324409671127796,,,,,,,,
NOG-FO,NOG,960,960,80.0,4,y_bar,0.1,12.0,0.3,0.00805521011352539,33.19728374481201,0,100000,200000,2137108057,sfo,492544,492544,123136,"[123136, 123136, 123136, 123136]",172032,962,962,0.7275747060775757,0.0072129592299461365,,,,,,,,
NOG-FO,NOG,12,12,1.0,8,y_bar,0.1,12.0,0.3,0.009220153093338013,0.8741328716278076,0,100000,200000,497076658,sfo,7168,7168,896,"[896, 896, 896, 896, 896, 896, 896, 896]",8192,14,14,0.7296084761619568,0.009370324201881886,,,,,,,,
NOG-FO,NOG,60,60,5.0,8,y_bar,0.1,12.0,0.3,0.007091712672263384,3.8708624839782715,0,100000,200000,497076658,sfo,31744,31744,3968,"[3968, 3968, 3968, 3968, 3968, 3968, 3968, 3968]",16384,62,62,0.7295594215393066,0.007738833781331778,,,,,,,,
NOG-FO,NOG,108,108,9.0,8,y_bar,0.1,12.0,0.3,0.007234045770019293,7.038814306259155,0,100000,200000,497076658,sfo,56320,56320,7040,"[7040, 7040, 7040, 7040, 7040, 7040, 7040, 7040]",24576,110,110,0.7294703722000122,0.007972032763063908,,,,,,,,
NOG-FO,NOG,156,156,13.0,8,y_bar,0.1,12.0,0.3,0.007906677201390266,10.030974626541138,0,100000,200000,497076658,sfo,80896,80896,10112,"[10112, 10112, 10112, 10112, 10112, 10112, 10112, 10112]",32768,158,158,0.7293739914894104,0.007435524836182594,,,,,,,,
NOG-FO,NOG,204,204,17.0,8,y_bar,0.1,12.0,0.3,0.007708802819252014,13.189477682113647,0,100000,200000,497076658,sfo,105472,105472,13184,"[13184, 13184, 13184, 13184, 13184, 13184, 13184, 13184]",40960,206,206,0.7292733788490295,0.00788690522313118,,,,,,,,
NOG-FO,NOG,252,252,21.0,8,y_bar,0.1,12.0,0.3,0.0069621349684894085,16.42517066001892,0,100000,200000,497076658,sfo,130048,130048,16256,"[16256, 16256, 16256, 16256, 16256, 16256, 16256, 16256]",49152,254,254,0.7291976809501648,0.007298172917217016,,,,,,,,
NOG-FO,NOG,300,300,25.0,8,y_bar,0.1,12.0,0.3,0.007908636704087257,19.867857217788696,0,100000,200000,497076658,sfo,154624,154624,19328,"[19328, 19328, 19328, 19328, 19328, 19328, 19328, 19328]",57344,302,302,0.7290768623352051,0.007832909934222698,,,,,,,,
NOG-FO,NOG,348,348,29.0,8,y_bar,0.1,12.0,0.3,0.007390450686216354,23.24950122833252,0,100000,200000,497076658,sfo,179200,179200,22400,"[22400, 22400, 22400, 22400, 22400, 22400, 22400, 22400]",65536,350,350,0.7289895415306091,0.007129203528165817,,,,,,,,
NOG-FO,NOG,396,396,33.0,8,y_bar,0.1,12.0,0.3,0.007920412346720695,26.61397910118103,0,100000,200000,497076658,sfo,203776,203776,25472,"[25472, 25472, 25472, 25472, 25472, 25472, 25472, 25472]",73728,398,398,0.7289182543754578,0.007951763458549976,,,,,,,,
NOG-FO,NOG,444,444,37.0,8,y_bar,0.1,12.0,0.3,0.007498837076127529,30.023530960083008,0,100000,200000,497076658,sfo,228352,228352,28544,"[28544, 28544, 28544, 28544, 28544, 28544, 28544, 28544]",81920,446,446,0.7288646101951599,0.006637222599238157,,,,,,,,
NOG-FO,NOG,492,492,41.0,8,y_bar,0.1,12.0,0.3,0.008243170566856861,33.415836334228516,0,100000,200000,497076658,sfo,252928,252928,31616,"[31616, 31616, 31616, 31616, 31616, 31616, 31616, 31616]",90112,494,494,0.7287082076072693,0.00752835301682353,,,,,,,,
NOG-FO,NOG,540,540,45.0,8,y_bar,0.1,12.0,0.3,0.007147865369915962,36.61825156211853,0,100000,200000,497076658,sfo,277504,277504,34688,"[34688, 34688, 34688, 34688, 34688, 34688, 34688, 34688]",98304,542,542,0.728649914264679,0.007289514876902103,,,,,,,,
