method,oracle_type,worker_count,communication_round,total_work,num_seeds,stat_proxy_mean,stat_proxy_std,objective_mean,objective_std
NOG-ZO,szo,4,398,407552,5,0.00990988034754988,0.0004359175341715077,0.7275588989257813,0.005891996327084138
NOG-ZO,szo,4,446,456704,5,0.009610911272466159,0.00026332889461330364,0.7275522112846374,0.005910695792656881
NOG-ZO,szo,4,494,505856,5,0.009322830103337721,0.0009223019605960174,0.7275473594665527,0.005904133175587258
NOG-ZO,szo,4,542,555008,5,0.00940957907587286,0.0010435768029266595,0.7275457262992859,0.005894665167763552
NOG-ZO,szo,4,590,604160,5,0.00936721116304394,0.0007663640504395485,0.727547550201416,0.005890842861654312
NOG-ZO,szo,4,638,653312,5,0.009731916710734301,0.000987933155433072,0.7275415778160095,0.005918422251477983
NOG-ZO,szo,4,686,702464,5,0.00967099294066422,0.000437125011851145,0.7275519132614136,0.005923473154236058
NOG-ZO,szo,4,734,751616,5,0.00949833616614336,0.00036204854787678063,0.7275490045547486,0.005920278854123068
NOG-ZO,szo,4,782,800768,5,0.00934441499412056,0.0005360445264917151,0.7275370121002197,0.005923186907416999
NOG-ZO,szo,4,830,849920,5,0.008914675004780239,0.0012951194283421699,0.7275365710258483,0.005927414230940076
NOG-ZO,szo,4,878,899072,5,0.00952470190823076,0.0005030148453372087,0.7275395512580871,0.00592455626410952
NOG-ZO,szo,4,926,948224,5,0.009233661182224701,0.0007987342232987768,0.7275249600410462,0.005920411809557367
NOG-ZO,szo,4,962,985088,5,0.009326072782278,0.0003777917451832493,0.7275197267532348,0.005922252879831805
NOG-ZO,szo,8,14,14336,5,0.0108866406604647,0.0008662728715245792,0.7273924350738525,0.0058010848015866015
NOG-ZO,szo,8,62,63488,5,0.01087136063724752,0.0007575323470509322,0.7275079846382141,0.0058094467913648185
NOG-ZO,szo,8,110,112640,5,0.010746094211935939,0.0006083040541578542,0.7275432825088501,0.0058182501925955945
NOG-ZO,szo,8,158,161792,5,0.0102316284552216,0.0011139548488292555,0.7275817394256592,0.005832386101838386
NOG-ZO,szo,8,206,210944,5,0.01060650665313,0.0010212934186973573,0.7275840759277343,0.00581799044928775
NOG-ZO,szo,8,254,260096,5,0.01050729304552074,0.0008529839848306805,0.7275890588760376,0.005826476292382206
NOG-ZO,szo,8,302,309248,5,0.0106808096170425,0.0011185371308825398,0.7275903582572937,0.005840003249179945
NOG-ZO,szo,8,350,358400,5,0.00979997888207432,0.0008426210504574941,0.7275941371917725,0.005852299819821832
NOG-ZO,szo,8,398,407552,5,0.00961399711668486,0.0008067800455577502,0.7275732398033142,0.0058635624443388054
