worker_count,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_per_worker_work,first_hit_stat_proxy,censor_depth,censor_work,censor_per_worker_work,capped_depth,capped_work,capped_per_worker_work
1,NOG-ZO,6,0.03,descriptive,True,228.0,233472.0,233472.0,0.0280389189720153,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,6,0.02,descriptive,True,236.0,241664.0,241664.0,0.0194699671119451,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,6,0.018,descriptive,True,240.0,245760.0,245760.0,0.016256358474493,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,6,0.016,descriptive,True,244.0,249856.0,249856.0,0.0148071963340044,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,6,0.015,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,6,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,7,0.05,primary,True,216.0,221184.0,221184.0,0.0457577407360076,960.0,983040.0,983040.0,216.0,221184.0,221184.0
1,NOG-ZO,7,0.03,descriptive,True,228.0,233472.0,233472.0,0.0289684105664491,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,7,0.02,descriptive,True,236.0,241664.0,241664.0,0.0194357894361019,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,7,0.018,descriptive,True,240.0,245760.0,245760.0,0.015651885420084,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,7,0.016,descriptive,True,240.0,245760.0,245760.0,0.015651885420084,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,7,0.015,descriptive,True,244.0,249856.0,249856.0,0.0128028010949492,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,7,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
