method,epsilon,workers,common_complete_seeds,common_seed_ids,depth_slope,depth_slope_ci_low,depth_slope_ci_high,depth_mean_m1,depth_mean_m8,work_slope,work_slope_ci_low,work_slope_ci_high,work_mean_m1,work_mean_m8,per_worker_work_slope,per_worker_work_slope_ci_low,per_worker_work_slope_ci_high,per_worker_work_mean_m1,per_worker_work_mean_m8
NOG-ZO,0.05,"1,2,4,8",20,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.0002691593660802734,-0.0010781665935437267,0.001618375762913278,214.2,214.4,0.000269159366080682,-0.0010778954948342243,0.001616874180419701,219340.8,219545.6,-0.99973084063392,-1.0010789062251897,-0.9983835082173088,219340.8,27443.2
ME-DOL-ZO,0.05,"1,2,4,8",20,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.1747248464605955,0.1463615863339976,0.2036012611800676,348.0,496.2,1.174724846460596,1.14596540723137,1.2027400456972834,11136.0,127027.2,0.17472484646059727,0.14676616488158886,0.20351582689521047,11136.0,15878.4
DGFM,0.05,"1,2,4,8",20,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",-0.03448972610779674,-0.0507410391185244,-0.01748845279886085,1385.6,1296.0,0.965510273892203,0.948512101690511,0.9817286939828502,22169.6,165888.0,-0.03448972610779798,-0.050209382655849163,-0.018213073597596816,22169.6,20736.0
DGFM+,0.05,"1,2,4,8",18,"0,1,2,3,4,5,6,7,8,9,11,13,14,15,16,17,18,19",-1.1161473630503482,-1.2308943498835858,-0.9815829622376758,12935.111111111111,1404.888888888889,-0.11533781948457829,-0.23515818240555203,0.015972426527360948,219911.11111111112,191388.44444444444,-1.1153378194845807,-1.2335787248358259,-0.9799663772195368,219911.11111111112,23923.555555555555
