sequence,runtime_task_id,phase,repeat,runtime_config_id,method,epsilons,worker_count,rounds,checkpoint_count,expected_config_sha256,observed_config_sha256,partial_sha256,final_depth,final_total_work,final_per_worker_work,training_time,communication_time,evaluation_time,end_to_end_time,passed,errors
11,runtime-task-c26888b413f9f4df,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],4,4,1,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,32cf94da62c5f622a06ca9d830a924ae9a99094a1cd392c9dc84b849448ce53f,6,1536,384,0.2994963228702545,0.028960585594177246,0.03651082515716553,4.522137761116028,True,
12,runtime-task-053d383037798005,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],8,4,1,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,50c9330357c108d54b215b95938deaaab316658e42511c534c6d42fcdd7a259b,6,3072,384,0.4208240807056427,0.05208158493041992,0.035631656646728516,4.0879224836826324,True,
13,runtime-task-5ff1287e5733da25,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],8,4,1,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,3e875ed2cdcf1b45ca1e27d4810495f9393358012685e70812ee2a5581cb51f7,6,1536,192,0.45013725757598877,0.04923653602600098,0.039271339774131775,4.803949549794197,True,
14,runtime-task-1ff7fa704a092ada,warmup,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],8,8,1,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,4452366a59e9dbd3ca06351dd2b423abc6f23dc3e2fca4c6c1ecb94acb00512b,10,5120,640,0.6172352731227875,0.07613536715507507,0.040475428104400635,4.187268152832985,True,
15,runtime-task-b514fa2032e7a6aa,warmup,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",8,12,1,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,33f035987cb9e70f61361a29c822e2d5e8617c3635c0981b1f42280d3286ccb3,12,96,12,0.5997021645307541,0.07017473876476288,0.04330267012119293,4.924481511116028,True,
16,runtime-task-644515f873853b21,warmup,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",16,12,1,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,9cccc59803f2f709c5c64b6950a4b5c70d5ff979e8d0ea51a6037775fe4b51b9,aa8602190ddc84e7e30d664ade504908834e40e0b4eb0c7f6b14caabf32a26e7,12,192,12,0.9645824581384659,0.11372874677181244,0.042933717370033264,6.553759545087814,True,
17,runtime-task-8097de1e67e5a204,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],16,4,1,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,9f97b7ba333898997d838ad0a1ded35de2cda88ee95d0a41f5977e75b409b45d,6096b6d2f9f3912b46d6161216ae087bc740155979b23bc01b0fb79d9178a5a7,6,1536,96,0.6235035210847855,0.08703705668449402,0.04183487594127655,6.388863444328308,True,
18,runtime-task-6ede39f1c1525e23,warmup,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],16,8,1,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,13bc1e25e393424ffb3ede902c9b08646e78fd0b80cbee52872546964c4e8591,10,5120,320,0.9616419523954391,0.11657668650150299,0.04259003698825836,5.053279891610146,True,
19,runtime-task-62ff90098a2de64f,warmup,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],16,4,1,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,8c386f41d971e184e436f356ef27a79c2328d6cd9d079e2d05deacc2e8cd8570,817e7a346cc8c6d4a91fbde8618560c505a156fb96977470fdf84d98db2d0ff1,6,3072,192,0.7110834419727325,0.10184885561466217,0.040154457092285156,5.513675585389137,True,
20,runtime-task-a0d2020d3ed01b55,warmup,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],32,8,1,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,20d2a2df9c84f0e2d8d291815e0709c4c41b31190dd48dbef8585b8883525437,5ff9a334c2bfc6236399482334b7a7ec6bdd47435de716e11496f6685ecc4954,10,5120,160,1.6011121720075607,0.22939477860927582,0.04109843075275421,9.408221334218979,True,
