method,epsilon,worker_count,repeat_count,runtime_config_id,parameters,rounds,depth,total_work,per_worker_work,training_time_median,training_time_min,training_time_max,communication_time_median,communication_time_min,communication_time_max,communication_fraction_median,communication_fraction_min,communication_fraction_max,evaluation_time_median,evaluation_time_min,evaluation_time_max,end_to_end_time_median,end_to_end_time_min,end_to_end_time_max,non_training_overhead_median,non_training_overhead_min,non_training_overhead_max,training_speedup_vs_m1,training_efficiency_vs_m1,end_to_end_speedup_vs_m1,end_to_end_efficiency_vs_m1,is_strong_scaling_workload
ME-DOL-FO,0.008,1,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,1920,1920,17.225471153855324,16.655969187617302,116.6138966679573,0.22379833459854126,0.22318649291992188,0.2681717574596405,0.012956771453532598,0.0022996552308274564,0.013436524292139162,1.5907289236783981,1.5631043612957,2.010729745030403,21.76975344121456,21.150362819433212,121.57109671831131,2.9464703053236008,2.9312892705202103,2.9535533636808395,1.0,1.0,1.0,1.0,False
ME-DOL-FO,0.008,2,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,3840,1920,27.602379336953163,24.120694547891617,28.650084421038628,1.40749953687191,1.3811006993055344,1.4710234254598618,0.0532933558916243,0.049127238725982264,0.05725791587648358,1.6202588081359863,1.6073380410671234,1.6770906150341034,32.30230502784252,29.72813668847084,34.39700862765312,4.0001040995121,3.079666882753372,4.069833591580391,0.6240574750305828,0.3120287375152914,0.6739380803459823,0.3369690401729912,False
ME-DOL-FO,0.008,4,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,7680,1920,36.77763286232948,30.4020444303751,59.975331246852875,3.069656655192375,2.991895020008087,3.201583221554756,0.08135094042641931,0.05338166801242561,0.10096875761833435,1.6786385029554367,1.6671114414930344,1.7877110689878464,42.69058778882027,36.28441569209099,66.08424654603004,4.245843484997749,4.203732758760452,4.321204230189323,0.46836813066071453,0.11709203266517863,0.5099426962426501,0.12748567406066252,False
ME-DOL-FO,0.008,8,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,15360,1920,54.09659779071808,51.25992260873318,66.95519396662712,5.502380430698395,5.404190301895142,6.0238939225673676,0.09989889424843637,0.0899690310145303,0.10734273776997376,1.734706923365593,1.6989363431930542,1.7877840846776962,59.6000185161829,57.50577461719513,73.36006589233875,4.511145085096359,3.8044843822717667,4.6170878410339355,0.31842060050606136,0.03980257506325767,0.36526420600529724,0.045658025750662155,False
ME-DOL-FO,0.008,16,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,30720,1920,93.4490001052618,90.24749924242496,118.70729157328606,11.674516648054123,11.142632156610489,12.011424079537392,0.11923757497736014,0.10118522561119951,0.12936110968231662,1.8659340143203735,1.8187563866376877,1.9197685271501541,99.77454125881195,97.49452944099903,126.52179265022278,5.4282738119363785,4.4596071392297745,5.894732549786568,0.18433018153701375,0.01152063634606336,0.21818946162573197,0.013636841351608248,False
ME-DOL-FO,0.008,32,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,61440,1920,164.86241944134235,163.12946662306786,167.87476873397827,24.19634500145912,24.044896215200424,24.883801817893982,0.1482283609714212,0.1458482551492309,0.14832602289669694,2.110686406493187,2.085196778178215,2.1628577262163162,174.00975342094898,172.75806026160717,177.02601844072342,7.066052928566933,6.984476253390312,7.517907232046127,0.10448391581432605,0.003265122369197689,0.12510651278581553,0.003909578524556735,False
ME-DOL-FO,0.009,1,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,1920,1920,17.225471153855324,16.655969187617302,116.6138966679573,0.22379833459854126,0.22318649291992188,0.2681717574596405,0.012956771453532598,0.0022996552308274564,0.013436524292139162,1.5907289236783981,1.5631043612957,2.010729745030403,21.76975344121456,21.150362819433212,121.57109671831131,2.9464703053236008,2.9312892705202103,2.9535533636808395,1.0,1.0,1.0,1.0,False
ME-DOL-FO,0.009,2,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,3840,1920,27.602379336953163,24.120694547891617,28.650084421038628,1.40749953687191,1.3811006993055344,1.4710234254598618,0.0532933558916243,0.049127238725982264,0.05725791587648358,1.6202588081359863,1.6073380410671234,1.6770906150341034,32.30230502784252,29.72813668847084,34.39700862765312,4.0001040995121,3.079666882753372,4.069833591580391,0.6240574750305828,0.3120287375152914,0.6739380803459823,0.3369690401729912,False
ME-DOL-FO,0.009,4,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,7680,1920,36.77763286232948,30.4020444303751,59.975331246852875,3.069656655192375,2.991895020008087,3.201583221554756,0.08135094042641931,0.05338166801242561,0.10096875761833435,1.6786385029554367,1.6671114414930344,1.7877110689878464,42.69058778882027,36.28441569209099,66.08424654603004,4.245843484997749,4.203732758760452,4.321204230189323,0.46836813066071453,0.11709203266517863,0.5099426962426501,0.12748567406066252,False
ME-DOL-FO,0.009,8,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,15360,1920,54.09659779071808,51.25992260873318,66.95519396662712,5.502380430698395,5.404190301895142,6.0238939225673676,0.09989889424843637,0.0899690310145303,0.10734273776997376,1.734706923365593,1.6989363431930542,1.7877840846776962,59.6000185161829,57.50577461719513,73.36006589233875,4.511145085096359,3.8044843822717667,4.6170878410339355,0.31842060050606136,0.03980257506325767,0.36526420600529724,0.045658025750662155,False
ME-DOL-FO,0.009,16,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,30720,1920,93.4490001052618,90.24749924242496,118.70729157328606,11.674516648054123,11.142632156610489,12.011424079537392,0.11923757497736014,0.10118522561119951,0.12936110968231662,1.8659340143203735,1.8187563866376877,1.9197685271501541,99.77454125881195,97.49452944099903,126.52179265022278,5.4282738119363785,4.4596071392297745,5.894732549786568,0.18433018153701375,0.01152063634606336,0.21818946162573197,0.013636841351608248,False
ME-DOL-FO,0.009,32,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,61440,1920,164.86241944134235,163.12946662306786,167.87476873397827,24.19634500145912,24.044896215200424,24.883801817893982,0.1482283609714212,0.1458482551492309,0.14832602289669694,2.110686406493187,2.085196778178215,2.1628577262163162,174.00975342094898,172.75806026160717,177.02601844072342,7.066052928566933,6.984476253390312,7.517907232046127,0.10448391581432605,0.003265122369197689,0.12510651278581553,0.003909578524556735,False
ME-DOL-FO,0.01,1,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,1920,1920,17.225471153855324,16.655969187617302,116.6138966679573,0.22379833459854126,0.22318649291992188,0.2681717574596405,0.012956771453532598,0.0022996552308274564,0.013436524292139162,1.5907289236783981,1.5631043612957,2.010729745030403,21.76975344121456,21.150362819433212,121.57109671831131,2.9464703053236008,2.9312892705202103,2.9535533636808395,1.0,1.0,1.0,1.0,False
ME-DOL-FO,0.01,2,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,3840,1920,27.602379336953163,24.120694547891617,28.650084421038628,1.40749953687191,1.3811006993055344,1.4710234254598618,0.0532933558916243,0.049127238725982264,0.05725791587648358,1.6202588081359863,1.6073380410671234,1.6770906150341034,32.30230502784252,29.72813668847084,34.39700862765312,4.0001040995121,3.079666882753372,4.069833591580391,0.6240574750305828,0.3120287375152914,0.6739380803459823,0.3369690401729912,False
ME-DOL-FO,0.01,4,3,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,7680,1920,36.77763286232948,30.4020444303751,59.975331246852875,3.069656655192375,2.991895020008087,3.201583221554756,0.08135094042641931,0.05338166801242561,0.10096875761833435,1.6786385029554367,1.6671114414930344,1.7877110689878464,42.69058778882027,36.28441569209099,66.08424654603004,4.245843484997749,4.203732758760452,4.321204230189323,0.46836813066071453,0.11709203266517863,0.5099426962426501,0.12748567406066252,False
