sequence,runtime_task_id,phase,include_in_summary,repeat,runtime_config_id,runtime_config_sha256,method,epsilons,rounds,worker_count,benchmark_seed,attempts_this_invocation,failure_attempt_count,output_root,estimated_end_to_end_seconds,status,task_status,error_type,message,task_key,partial_path,partial_sha256,checkpoint_count,training_time,communication_time,evaluation_time,end_to_end_time,final_depth,final_total_work,final_per_worker_work,timing_invariants
10,runtime-task-1b8e761fccb52cbe,warmup,False,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",12,4,0,1,0,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m4/warmup,5.119340598583221,complete,completed,,,ME-DOL-FO__m4__seed0__cfg7a9e77b0f17e,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m4/warmup/partials/ME-DOL-FO__m4__seed0__cfg7a9e77b0f17e.json,e823760495dfec798b165256b3fecf717469b4f580e34c3936335d2ef8e31cf9,1,0.44648489356040955,0.0392189621925354,0.04043148458003998,4.7363560646772385,12,48,12,True
11,runtime-task-c26888b413f9f4df,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],4,4,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m4/warmup,4.901932418346405,complete,completed,,,NOG-FO__m4__seed0__cfgf1fac520fff8,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m4/warmup/partials/NOG-FO__m4__seed0__cfgf1fac520fff8.json,32cf94da62c5f622a06ca9d830a924ae9a99094a1cd392c9dc84b849448ce53f,1,0.2994963228702545,0.028960585594177246,0.03651082515716553,4.522137761116028,6,1536,384,True
12,runtime-task-053d383037798005,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],4,8,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m8/warmup,7.077880144119263,complete,completed,,,NOG-FO__m8__seed0__cfg2b6caecd78f5,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m8/warmup/partials/NOG-FO__m8__seed0__cfg2b6caecd78f5.json,50c9330357c108d54b215b95938deaaab316658e42511c534c6d42fcdd7a259b,1,0.4208240807056427,0.05208158493041992,0.035631656646728516,4.0879224836826324,6,3072,384,True
13,runtime-task-5ff1287e5733da25,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],4,8,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m8/warmup,7.077880144119263,complete,completed,,,NOG-FO__m8__seed0__cfgb8400534b5e7,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m8/warmup/partials/NOG-FO__m8__seed0__cfgb8400534b5e7.json,3e875ed2cdcf1b45ca1e27d4810495f9393358012685e70812ee2a5581cb51f7,1,0.45013725757598877,0.04923653602600098,0.039271339774131775,4.803949549794197,6,1536,192,True
14,runtime-task-1ff7fa704a092ada,warmup,False,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],8,8,0,1,0,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m8/warmup,7.077880144119263,complete,completed,,,NOG-FO__m8__seed0__cfg8ada81055301,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m8/warmup/partials/NOG-FO__m8__seed0__cfg8ada81055301.json,4452366a59e9dbd3ca06351dd2b423abc6f23dc3e2fca4c6c1ecb94acb00512b,1,0.6172352731227875,0.07613536715507507,0.040475428104400635,4.187268152832985,10,5120,640,True
15,runtime-task-b514fa2032e7a6aa,warmup,False,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",12,8,0,1,0,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m8/warmup,8.220742389559746,complete,completed,,,ME-DOL-FO__m8__seed0__cfg70959a0d2a85,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m8/warmup/partials/ME-DOL-FO__m8__seed0__cfg70959a0d2a85.json,33f035987cb9e70f61361a29c822e2d5e8617c3635c0981b1f42280d3286ccb3,1,0.5997021645307541,0.07017473876476288,0.04330267012119293,4.924481511116028,12,96,12,True
16,runtime-task-644515f873853b21,warmup,False,,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,f1b9b7cb1027e18aecc1ecc0fe8db15c145d7bfdd48f4ec26ae8f9eb6fa83dcf,ME-DOL-FO,"[0.01, 0.009, 0.008]",12,16,0,1,0,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m16/warmup,12.180112197995186,complete,completed,,,ME-DOL-FO__m16__seed0__cfg7844556bd531,raw/ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027/m16/warmup/partials/ME-DOL-FO__m16__seed0__cfg7844556bd531.json,aa8602190ddc84e7e30d664ade504908834e40e0b4eb0c7f6b14caabf32a26e7,1,0.9645824581384659,0.11372874677181244,0.042933717370033264,6.553759545087814,12,192,12,True
17,runtime-task-8097de1e67e5a204,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,be6f4a373a71cb85cf3f7213b99a7ee0df3a5c384116c5681967d168f6971d81,NOG-FO,[0.009],4,16,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m16/warmup,11.926635071635246,complete,completed,,,NOG-FO__m16__seed0__cfg442b884a0ca8,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71/m16/warmup/partials/NOG-FO__m16__seed0__cfg442b884a0ca8.json,6096b6d2f9f3912b46d6161216ae087bc740155979b23bc01b0fb79d9178a5a7,1,0.6235035210847855,0.08703705668449402,0.04183487594127655,6.388863444328308,6,1536,96,True
18,runtime-task-6ede39f1c1525e23,warmup,False,,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,cbb2f9ab5aca574d777e6b91f4aae7c52b6c9f4beb94f9e2cf0221357263bac6,NOG-FO,[0.008],8,16,0,1,0,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m16/warmup,11.926635071635246,complete,completed,,,NOG-FO__m16__seed0__cfg4f4b23792bc5,raw/NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca/m16/warmup/partials/NOG-FO__m16__seed0__cfg4f4b23792bc5.json,13bc1e25e393424ffb3ede902c9b08646e78fd0b80cbee52872546964c4e8591,1,0.9616419523954391,0.11657668650150299,0.04259003698825836,5.053279891610146,10,5120,320,True
19,runtime-task-62ff90098a2de64f,warmup,False,,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,bf7a41c99cdff9dc05372fd89ceba2242211ac772f73009094f567360213c603,NOG-FO,[0.01],4,16,0,1,0,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m16/warmup,11.926635071635246,complete,completed,,,NOG-FO__m16__seed0__cfg83a162d78339,raw/NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf/m16/warmup/partials/NOG-FO__m16__seed0__cfg83a162d78339.json,817e7a346cc8c6d4a91fbde8618560c505a156fb96977470fdf84d98db2d0ff1,1,0.7110834419727325,0.10184885561466217,0.040154457092285156,5.513675585389137,6,3072,192,True
