runtime_config_id,method,epsilon,worker_count,repeat,benchmark_seed,rounds,parameters,depth,total_work,per_worker_work,training_time,communication_time,communication_fraction,evaluation_time,end_to_end_time,non_training_overhead,final_stat_proxy,final_objective
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.01,16,2,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,30720,1920,93.4490001052618,11.142632156610489,0.11923757497736014,1.8659340143203735,99.77454125881195,4.4596071392297745,0.00698100496083498,0.7177784442901611
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.01,32,0,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,61440,1920,164.86241944134235,24.044896215200424,0.1458482551492309,2.1628577262163162,174.00975342094898,6.984476253390312,0.007243712432682514,0.7177637815475464
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.01,32,1,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,61440,1920,167.87476873397827,24.883801817893982,0.1482283609714212,2.085196778178215,177.02601844072342,7.066052928566933,0.007243712432682514,0.7177637815475464
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.01,32,2,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,61440,1920,163.12946662306786,24.19634500145912,0.14832602289669694,2.110686406493187,172.75806026160717,7.517907232046127,0.007243712432682514,0.7177637815475464
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,1,0,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,492544,14.7972601801157,0.10905285179615021,0.007369800251447463,0.7898479700088501,18.78922589123249,3.2021177411079407,0.007835505530238152,0.7121160626411438
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,1,1,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,492544,12.478577211499214,0.11950293183326721,0.009576647225706413,0.8208758533000946,16.158193722367287,2.858740657567978,0.007835505530238152,0.7121160626411438
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,1,2,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,492544,12.60102592408657,0.12174816429615021,0.009661766036321804,0.8113620579242706,16.331035688519478,2.9186477065086365,0.007835505530238152,0.7121160626411438
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,2,0,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,246272,19.38324646651745,1.0518765598535538,0.05426730561727942,0.803012490272522,24.186716213822365,4.000457257032394,0.007593299262225628,0.7121952772140503
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,2,1,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,246272,17.874343007802963,1.0635553747415543,0.0595017883609632,0.7922527194023132,22.656256571412086,3.98966084420681,0.007593299262225628,0.7121952772140503
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,2,2,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,246272,17.680266976356506,0.9533010721206665,0.05391892969690437,0.7741898894309998,21.421791717410088,2.9673348516225815,0.007593299262225628,0.7121952772140503
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,0.01,4,0,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",962,492544,123136,26.74533674120903,2.284816950559616,0.0854286103281394,0.8656913489103317,31.723803341388702,4.1127752512693405,0.008223595097661018,0.711652934551239
