method,label,epsilon,hit_count,mean_depth_hits,mean_total_work_hits
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.01,5,321.6,41164.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00975,5,321.6,41164.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.0095,5,321.6,41164.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00925,5,326.4,41779.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.009,5,326.4,41779.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00875,5,331.2,42393.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.0085,5,331.2,42393.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00825,5,331.2,42393.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.008,5,336.0,43008.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00775,5,340.8,43622.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.0075,5,340.8,43622.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00725,5,350.4,44851.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.007,5,355.2,45465.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00675,5,360.0,46080.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.0065,5,360.0,46080.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00625,5,360.0,46080.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.006,5,369.6,47308.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00575,5,379.2,48537.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.0055,5,388.8,49766.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00525,5,393.6,50380.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.005,5,408.0,52224.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00475,5,436.8,55910.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.0045,5,465.6,59596.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.00425,5,542.4,69427.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-125__batch-total-128__rounds-15360,0.004,5,1473.6,188620.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.01,5,518.4,66355.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00975,5,518.4,66355.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.0095,5,518.4,66355.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00925,5,532.8,68198.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.009,5,537.6,68812.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00875,5,542.4,69427.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.0085,5,547.2,70041.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00825,5,547.2,70041.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.008,5,547.2,70041.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00775,5,561.6,71884.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.0075,5,571.2,73113.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00725,5,571.2,73113.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.007,5,571.2,73113.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00675,5,580.8,74342.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.0065,5,590.4,75571.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00625,5,595.2,76185.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.006,5,604.8,77414.4
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00575,5,609.6,78028.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.0055,5,619.2,79257.6
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00525,5,633.6,81100.8
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.005,5,648.0,82944.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00475,5,686.4,87859.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.0045,5,710.4,90931.2
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.00425,5,744.0,95232.0
ME-DOL-FO,ME-DOL-FO__epoch-6__mult-75__batch-total-128__rounds-15360,0.004,5,772.8,98918.4
