dataset,method,objective_mean,objective_std,stat_proxy_mean,stat_proxy_std,train_accuracy_mean,train_accuracy_std,depth_mean,total_work_mean,seeds
a9a,NOG-ZO,0.41633927822113037,,0.02391107566654682,,0.7985320091247559,,7680.0,983040.0,1
ijcnn1,NOG-ZO,0.1927315890789032,,0.014563806354999542,,0.9041808247566223,,7680.0,983040.0,1
