candidate_id,method,epsilon,formal_seed,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_stat_proxy,parameters
NOG-FO__M-4__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.008,100,False,True,,,,,,,960,962,123136,0.011061723344027996,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.008,101,False,True,,,,,,,960,962,123136,0.01034298911690712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.008,102,False,True,,,,,,,960,962,123136,0.01239327248185873,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.0075,100,False,True,,,,,,,960,962,123136,0.011061723344027996,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.0075,101,False,True,,,,,,,960,962,123136,0.01034298911690712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p1__smooth_B-2,NOG-FO,0.0075,102,False,True,,,,,,,960,962,123136,0.01239327248185873,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.1, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.011,100,True,False,4,6,768,96,0.47100670635700226,0.010356449522078037,960,962,123136,0.008599042892456055,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.011,101,True,False,4,6,768,96,0.46877171099185944,0.01048285886645317,960,962,123136,0.009574920870363712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.011,102,True,False,4,6,768,96,0.4228762090206146,0.010282695293426514,960,962,123136,0.008885013870894909,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.01,100,True,False,52,54,6912,864,2.4162668734788895,0.009396018460392952,960,962,123136,0.008599042892456055,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
