candidate_id,method,epsilon,num_seeds,hit_count,hit_rate,full_hit,median_final_stat_proxy,parameters,median_depth,median_total_work,median_per_worker_work,median_training_time,pareto_frontier,selected,selection_status
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.011,3,3,1.0,True,0.012973492965102196,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}",6,768,96,0.43235093355178833,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.01,3,2,0.6666666666666666,False,0.012973492965102196,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}",54.0,6912.0,864.0,1.9482314884662628,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.009,3,0,0.0,False,0.012973492965102196,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}",inf,inf,inf,inf,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.008,3,0,0.0,False,0.012973492965102196,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}",inf,inf,inf,inf,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-0p03__smooth_B-2,NOG-FO,0.0075,3,0,0.0,False,0.012973492965102196,"{""M"": 4, ""data_B_total"": 64, ""eta"": 0.03, ""smooth_B"": 2}",inf,inf,inf,inf,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.011,3,3,1.0,True,0.007813525386154652,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",6,768,96,0.40281452238559723,True,True,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.01,3,3,1.0,True,0.007813525386154652,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",54,6912,864,1.8716557621955872,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,3,3,1.0,True,0.007813525386154652,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",54,6912,864,1.8716557621955872,True,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.007813525386154652,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",198,25344,3168,5.9029863476753235,False,False,full-hit
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,3,1,0.3333333333333333,False,0.007813525386154652,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",390,49920,6240,12.263237476348877,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.011,3,3,1.0,True,0.008061197586357594,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}",10,1280,160,0.5130528509616852,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.01,3,3,1.0,True,0.008061197586357594,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}",58,7424,928,1.8012205511331558,False,False,full-hit
