candidate_id,method,epsilon,formal_seed,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_stat_proxy,parameters
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,102,True,False,52,54,6912,864,1.784782737493515,0.008276522159576416,1920,1922,246016,0.007813525386154652,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,100,True,False,196,198,25344,3168,5.9029863476753235,0.0073167975060641766,1920,1922,246016,0.007806126028299332,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,101,True,False,532,534,68352,8544,40.393944308161736,0.007629782892763615,1920,1922,246016,0.008382470346987247,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,102,True,False,100,102,13056,1632,3.0326623916625977,0.007502209860831499,1920,1922,246016,0.007813525386154652,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,100,True,False,388,390,49920,6240,12.263237476348877,0.0071108052507042885,1920,1922,246016,0.007806126028299332,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,101,False,True,,,,,,,1920,1922,246016,0.008382470346987247,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,102,False,True,,,,,,,1920,1922,246016,0.007813525386154652,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.011,100,True,False,8,10,1280,160,0.5130528509616852,0.00994393602013588,1920,1922,246016,0.007414021994918585,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.011,101,True,False,8,10,1280,160,0.773147240281105,0.010339207015931606,1920,1922,246016,0.008239579387009144,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.011,102,True,False,8,10,1280,160,0.5017054826021194,0.010107845067977905,1920,1922,246016,0.008061197586357594,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.01,100,True,False,8,10,1280,160,0.5130528509616852,0.00994393602013588,1920,1922,246016,0.007414021994918585,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.01,101,True,False,56,58,7424,928,2.222421333193779,0.008678531274199486,1920,1922,246016,0.008239579387009144,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.01,102,True,False,56,58,7424,928,1.8012205511331558,0.00819483958184719,1920,1922,246016,0.008061197586357594,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.009,100,True,False,56,58,7424,928,1.8029249012470245,0.008528415113687515,1920,1922,246016,0.007414021994918585,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.009,101,True,False,56,58,7424,928,2.222421333193779,0.008678531274199486,1920,1922,246016,0.008239579387009144,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.009,102,True,False,56,58,7424,928,1.8012205511331558,0.00819483958184719,1920,1922,246016,0.008061197586357594,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.008,100,True,False,200,202,25856,3232,5.831426337361336,0.007268526591360569,1920,1922,246016,0.007414021994918585,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.008,101,True,False,392,394,50432,6304,11.95462441444397,0.007714604027569294,1920,1922,246016,0.008239579387009144,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
NOG-FO__M-8__data_B_total-64__eta-0p3__smooth_B-2,NOG-FO,0.008,102,True,False,104,106,13568,1696,3.329800084233284,0.007379546295851469,1920,1922,246016,0.008061197586357594,"{""M"": 8, ""data_B_total"": 64, ""eta"": 0.3, ""smooth_B"": 2}"
