candidate_id,method,epsilon,formal_seed,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_stat_proxy,parameters
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,101,True,False,52,54,6912,864,5.009516596794128,0.008757384493947029,960,962,123136,0.008736100979149342,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,102,True,False,52,54,6912,864,2.5155916661024094,0.008276522159576416,960,962,123136,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,100,True,False,196,198,25344,3168,10.002032786607742,0.0073167975060641766,960,962,123136,0.007463385351002216,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,101,True,False,532,534,68352,8544,26.325742676854134,0.007629782892763615,960,962,123136,0.008736100979149342,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,102,True,False,100,102,13056,1632,4.308532118797302,0.007502209860831499,960,962,123136,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,100,True,False,388,390,49920,6240,18.34467911720276,0.0071108052507042885,960,962,123136,0.007463385351002216,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,101,False,True,,,,,,,960,962,123136,0.008736100979149342,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,102,False,True,,,,,,,960,962,123136,0.008035599254071712,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.011,100,True,False,4,6,1536,192,0.4279581904411316,0.009821404702961445,960,962,246272,0.00744083384051919,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.011,101,True,False,4,6,1536,192,0.39919961988925934,0.010290947742760181,960,962,246272,0.00830390676856041,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.011,102,True,False,4,6,1536,192,0.39929643273353577,0.010280003771185875,960,962,246272,0.008044366724789143,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.01,100,True,False,4,6,1536,192,0.4279581904411316,0.009821404702961445,960,962,246272,0.00744083384051919,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.01,101,True,False,52,54,13824,1728,2.0302404165267944,0.007797675672918558,960,962,246272,0.00830390676856041,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.01,102,True,False,52,54,13824,1728,1.9825121611356735,0.008095251396298409,960,962,246272,0.008044366724789143,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.009,100,True,False,52,54,13824,1728,2.199429750442505,0.00767159927636385,960,962,246272,0.00744083384051919,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.009,101,True,False,52,54,13824,1728,2.0302404165267944,0.007797675672918558,960,962,246272,0.00830390676856041,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.009,102,True,False,52,54,13824,1728,1.9825121611356735,0.008095251396298409,960,962,246272,0.008044366724789143,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.008,100,True,False,148,150,38400,4800,5.570510163903236,0.007609631400555372,960,962,246272,0.00744083384051919,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.008,101,True,False,388,390,99840,12480,13.244050279259682,0.00783652625977993,960,962,246272,0.00830390676856041,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.008,102,True,False,100,102,26112,3264,3.5196826606988907,0.007552442606538534,960,962,246272,0.008044366724789143,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.0075,100,True,False,196,198,50688,6336,7.274156451225281,0.0073584625497460365,960,962,246272,0.00744083384051919,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.0075,101,False,True,,,,,,,960,962,246272,0.00830390676856041,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}"
