candidate_id,method,epsilon,num_seeds,hit_count,hit_rate,full_hit,median_final_stat_proxy,parameters,median_depth,median_total_work,median_per_worker_work,median_training_time,pareto_frontier,selected,selection_status
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.009,3,3,1.0,True,0.008122613653540611,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",58,3712,464,4.217231050133705,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.008,3,3,1.0,True,0.008122613653540611,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",202,12928,1616,14.332512393593788,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-1,NOG-FO,0.0075,3,1,0.3333333333333333,False,0.008122613653540611,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 1}",202,12928,1616,14.332512393593788,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.011,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",10,1280,160,2.0113057643175125,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.01,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",58,7424,928,4.417646825313568,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.009,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",58,7424,928,7.592347949743271,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.008,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",106,13568,1696,18.55462971329689,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-2,NOG-FO,0.0075,3,3,1.0,True,0.0075655714608728886,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 2}",202,25856,3232,33.30201707780361,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.011,3,3,1.0,True,0.007483971770852804,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",10,2560,320,0.7573875039815903,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.01,3,3,1.0,True,0.007483971770852804,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",58,14848,1856,2.1096125692129135,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.009,3,3,1.0,True,0.007483971770852804,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",58,14848,1856,3.474849298596382,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.008,3,3,1.0,True,0.007483971770852804,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",58,14848,1856,3.826217070221901,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-4,NOG-FO,0.0075,3,3,1.0,True,0.007483971770852804,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",106,27136,3392,6.539225772023201,True,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,NOG-FO,0.011,3,3,1.0,True,0.007522081024944782,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",10,5120,640,0.5832420289516449,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,NOG-FO,0.01,3,3,1.0,True,0.007522081024944782,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",10,5120,640,0.5832420289516449,False,False,full-hit
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8,NOG-FO,0.009,3,3,1.0,True,0.007522081024944782,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",58,29696,3712,2.344397246837616,False,False,full-hit
