method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,test_accuracy,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,batch_size,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker,comparison_method,dataset_key,ablation_stage,ablation_method
NOG-ZO,NOG,865,865,865.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.2047767639160156,17.694278955459595,0,100000,200000,952307147,szo,110976,110976,13872,"[13872, 13872, 13872, 13872, 13872, 13872, 13872, 13872]",81920,867,867,0.7330455183982849,0.3672814071178436,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,961,961,961.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.6737993955612185,19.59153175354004,0,100000,200000,952307147,szo,123264,123264,15408,"[15408, 15408, 15408, 15408, 15408, 15408, 15408, 15408]",90112,963,963,0.7026698589324951,0.3672814071178436,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1057,1057,1057.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.5489771366119385,21.4197165966034,0,100000,200000,952307147,szo,135552,135552,16944,"[16944, 16944, 16944, 16944, 16944, 16944, 16944, 16944]",98304,1059,1059,0.6723902821540833,0.3672814071178436,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1153,1153,1153.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.322798728942871,23.304962635040283,0,100000,200000,952307147,szo,147840,147840,18480,"[18480, 18480, 18480, 18480, 18480, 18480, 18480, 18480]",106496,1155,1155,0.6417761445045471,0.367281436920166,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1249,1249,1249.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.511135458946228,25.10876774787903,0,100000,200000,952307147,szo,160128,160128,20016,"[20016, 20016, 20016, 20016, 20016, 20016, 20016, 20016]",114688,1251,1251,0.6108061075210571,0.3672814071178436,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1345,1345,1345.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.2024996280670166,27.087387084960938,0,100000,200000,952307147,szo,172416,172416,21552,"[21552, 21552, 21552, 21552, 21552, 21552, 21552, 21552]",122880,1347,1347,0.5807601809501648,0.367281436920166,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1441,1441,1441.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.7179462909698486,28.997291326522827,0,100000,200000,952307147,szo,184704,184704,23088,"[23088, 23088, 23088, 23088, 23088, 23088, 23088, 23088]",131072,1443,1443,0.550652265548706,0.357578843832016,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1537,1537,1537.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0214958190917969,30.822543621063232,0,100000,200000,952307147,szo,196992,196992,24624,"[24624, 24624, 24624, 24624, 24624, 24624, 24624, 24624]",139264,1539,1539,0.5233016610145569,0.3021689653396606,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1633,1633,1633.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.2754985094070437,32.70676016807556,0,100000,200000,952307147,szo,209280,209280,26160,"[26160, 26160, 26160, 26160, 26160, 26160, 26160, 26160]",147456,1635,1635,0.5034815073013306,0.202889859676361,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,1729,1729,1729.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9808741211891174,34.51059031486511,0,100000,200000,952307147,szo,221568,221568,27696,"[27696, 27696, 27696, 27696, 27696, 27696, 27696, 27696]",155648,1731,1731,0.491462767124176,0.1132193654775619,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
